time,open,high,low,close,symbol
2025-02-12 00:00:00+00:00,189.73,192.67,189.54,192.12,GBPJPY
2025-02-13 00:00:00+00:00,192.12,193.04,191.1,191.95,GBPJPY
2025-02-14 00:00:00+00:00,191.98,192.5,191.41,191.71,GBPJPY
2025-02-17 00:00:00+00:00,191.66,191.81,190.55,191.24,GBPJPY
2025-02-18 00:00:00+00:00,191.23,191.94,190.78,191.75,GBPJPY
2025-02-19 00:00:00+00:00,191.72,192.15,190.38,190.62,GBPJPY
2025-02-20 00:00:00+00:00,190.62,190.62,188.64,189.5,GBPJPY
2025-02-21 00:00:00+00:00,189.53,190.95,188.09,188.55,GBPJPY
2025-02-24 00:00:00+00:00,188.78,189.57,188.14,188.99,GBPJPY
2025-02-25 00:00:00+00:00,188.99,189.73,188.09,188.72,GBPJPY
2025-02-26 00:00:00+00:00,188.72,189.86,188.35,188.91,GBPJPY
2025-02-27 00:00:00+00:00,188.9,190.1,188.52,188.73,GBPJPY
2025-02-28 00:00:00+00:00,188.73,190.3,187.61,189.41,GBPJPY
2025-03-03 00:00:00+00:00,189.5,191.98,188.77,189.85,GBPJPY
2025-03-04 00:00:00+00:00,189.79,191.73,188.18,191.65,GBPJPY
2025-03-05 00:00:00+00:00,191.65,192.3,190.82,191.95,GBPJPY
2025-03-06 00:00:00+00:00,191.95,192.52,189.81,190.56,GBPJPY
2025-03-07 00:00:00+00:00,190.6,191.42,189.58,191.25,GBPJPY
2025-03-10 00:00:00+00:00,191.05,191.07,189.12,189.61,GBPJPY
2025-03-11 00:00:00+00:00,189.61,191.66,188.72,191.3,GBPJPY
2025-03-12 00:00:00+00:00,191.3,193.27,191.11,192.13,GBPJPY
2025-03-13 00:00:00+00:00,192.13,192.33,190.67,191.35,GBPJPY
2025-03-14 00:00:00+00:00,191.35,192.73,191.28,192.2,GBPJPY
2025-03-17 00:00:00+00:00,192.07,193.95,191.9,193.84,GBPJPY
2025-03-18 00:00:00+00:00,193.79,194.9,193.63,194.04,GBPJPY
2025-03-19 00:00:00+00:00,194.04,194.7,193.17,193.28,GBPJPY
2025-03-20 00:00:00+00:00,193.18,193.58,192.01,192.86,GBPJPY
2025-03-21 00:00:00+00:00,192.86,193.57,191.96,192.83,GBPJPY
2025-03-24 00:00:00+00:00,192.67,194.81,192.37,194.68,GBPJPY
2025-03-25 00:00:00+00:00,194.68,195.0,193.56,194.02,GBPJPY
2025-03-26 00:00:00+00:00,193.97,194.79,193.42,194.02,GBPJPY
2025-03-27 00:00:00+00:00,194.05,195.97,193.43,195.53,GBPJPY
2025-03-28 00:00:00+00:00,195.53,195.71,193.66,193.82,GBPJPY
2025-03-31 00:00:00+00:00,193.56,193.98,192.65,193.71,GBPJPY
2025-04-01 00:00:00+00:00,193.71,193.91,192.14,193.33,GBPJPY
2025-04-02 00:00:00+00:00,193.24,195.75,192.92,194.09,GBPJPY
2025-04-03 00:00:00+00:00,194.09,194.09,191.1,191.28,GBPJPY
2025-04-04 00:00:00+00:00,191.28,191.75,187.46,189.35,GBPJPY
2025-04-07 00:00:00+00:00,188.72,190.07,186.08,188.02,GBPJPY
2025-04-08 00:00:00+00:00,188.02,188.94,186.49,186.73,GBPJPY
2025-04-09 00:00:00+00:00,186.73,189.81,184.31,189.29,GBPJPY
2025-04-10 00:00:00+00:00,189.41,189.51,186.31,187.31,GBPJPY
2025-04-11 00:00:00+00:00,187.31,188.19,185.94,187.71,GBPJPY
2025-04-14 00:00:00+00:00,188.69,189.2,186.49,188.58,GBPJPY
2025-04-15 00:00:00+00:00,188.58,189.59,188.33,189.49,GBPJPY
2025-04-16 00:00:00+00:00,189.45,189.73,187.59,187.77,GBPJPY
2025-04-17 00:00:00+00:00,187.84,189.37,187.32,188.91,GBPJPY
2025-04-18 00:00:00+00:00,188.88,189.16,188.61,189.0,GBPJPY
2025-04-21 00:00:00+00:00,189.01,189.01,187.92,188.42,GBPJPY
2025-04-22 00:00:00+00:00,188.33,188.86,187.41,188.7,GBPJPY
2025-04-23 00:00:00+00:00,188.78,190.3,188.24,190.06,GBPJPY
2025-04-24 00:00:00+00:00,190.13,190.39,189.23,190.27,GBPJPY
2025-04-25 00:00:00+00:00,190.27,191.71,189.98,191.28,GBPJPY
2025-04-28 00:00:00+00:00,191.06,191.54,190.59,190.85,GBPJPY
2025-04-29 00:00:00+00:00,190.75,191.33,190.32,190.82,GBPJPY
2025-04-30 00:00:00+00:00,190.76,191.27,189.92,190.66,GBPJPY
2025-05-01 00:00:00+00:00,190.66,193.45,190.26,193.12,GBPJPY
2025-05-02 00:00:00+00:00,193.12,193.74,191.4,192.34,GBPJPY
2025-05-05 00:00:00+00:00,192.21,192.29,190.94,190.99,GBPJPY
2025-05-06 00:00:00+00:00,190.99,191.33,190.25,190.37,GBPJPY
2025-05-07 00:00:00+00:00,190.37,191.68,190.15,191.09,GBPJPY
2025-05-08 00:00:00+00:00,191.21,193.49,190.91,193.27,GBPJPY
2025-05-09 00:00:00+00:00,193.27,193.46,192.27,193.36,GBPJPY
2025-05-12 00:00:00+00:00,193.97,195.79,193.28,195.54,GBPJPY
2025-05-13 00:00:00+00:00,195.57,196.38,194.71,196.19,GBPJPY
2025-05-14 00:00:00+00:00,196.19,196.41,194.15,194.58,GBPJPY
2025-05-15 00:00:00+00:00,194.58,194.77,193.35,193.68,GBPJPY
2025-05-16 00:00:00+00:00,193.68,193.86,192.99,193.27,GBPJPY
2025-05-19 00:00:00+00:00,192.79,194.06,192.4,193.48,GBPJPY
2025-05-20 00:00:00+00:00,193.48,194.2,192.84,193.53,GBPJPY
2025-05-21 00:00:00+00:00,193.53,193.61,192.5,192.76,GBPJPY
2025-05-22 00:00:00+00:00,192.75,193.57,191.82,193.19,GBPJPY
2025-05-23 00:00:00+00:00,193.18,193.59,192.04,192.94,GBPJPY
