name,update_date,shares_owned,ownership_percentage,symbol
Trương Vương Quốc Vũ,2024-10-03T00:00:00,241000,12.41,DBM
Phan Thành Trinh,2024-10-30T00:00:00,166346,8.54,DBM
Tổng Công ty Lương thực Miền Bắc,2020-09-01T14:42:00.843,1530000,51.0,FHN
UBND Tỉnh Quảng Bình,2020-01-06T00:00:00,8986504,52.15,NQB
CTCP - Tổng công ty nước - môi trường Bình Dương,2023-06-05T00:00:00,7065000,41.01,NQB
CTCP Đầu tư Dịch vụ Tài chính Hoàng Huy,2025-06-05T00:00:00,251905777,58.31,HHS
Tổng Công ty Khí Việt Nam - CTCP,2023-12-31T00:00:00,19656000,56.0,CNG
Lê Hoàng Nam,2024-12-31T00:00:00,704568,7.32,HAM
Vũ Thị Thủy,2024-12-31T00:00:00,521307,5.41,HAM
Phạm Văn Khẩn,2024-05-31T00:00:00,447718,9.0,HMD
Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,2023-03-24T00:00:00,24049431,65.0,NBC
CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng,2024-12-31T00:00:00,25960344,64.9,LBM
AFC VF Limited,2025-11-19T00:00:00,3422200,8.55,LBM
Nguyễn Đình Dũng,2025-05-06T00:00:00,8686879,57.97,SC5
Phạm Văn Tư,2025-05-06T00:00:00,3000000,20.02,SC5
Phạm Thị Liên,2023-09-11T00:00:00,1000000,6.67,SC5
Tổng Công ty Sông Đà - CTCP,2020-10-17T00:00:00,2450000,49.0,S12
CTCP Kỹ thuật Xây dựng Hàn Quốc và Việt Nam,2024-12-31T00:00:00,399700,8.0,S12
Trương Đình Xuân,2023-04-07T00:00:00,940429,6.18,ATG
Tập Đoàn Công Nghiệp Than - Khoáng Sản Việt Nam,2025-02-28T00:00:00,40257883,65.0,TD6
Tổng Công ty Điện lực Thành phố Hồ Chí Minh,2020-09-01T11:37:59.41,7000000,29.37,HTE
Tổng Công ty Điện lực Miền Nam,2020-09-01T00:00:00,2025000,8.58,HTE
CTCP Dịch vụ Tổng hợp Sài Gòn,2020-09-01T00:00:00,1350000,5.72,HTE
Lê Đình Phan,2024-01-29T00:00:00,3338900,39.0,BIO
Công ty TNHH Y Dược Cali - USA,2020-09-07T00:00:00,2100000,24.53,BIO
Nguyễn Thị Kim Chung,2024-01-30T00:00:00,1838300,21.47,BIO
Công ty TNHH MTV Nhà xuất bản Giáo dục Việt Nam,2023-12-31T00:00:00,566377,29.41,DAE
CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng,2023-12-31T00:00:00,307500,15.97,DAE
Lý Xuân Hoàn,2025-08-19T00:00:00,212025,11.01,DAE
Nguyễn Hoàng Giang,2024-12-31T00:00:00,136852,7.11,DAE
Dương Khánh Vinh,2025-04-03T00:00:00,116300,6.04,DAE
Hồ Văn Lĩnh,2023-12-31T00:00:00,97788,5.08,DAE
Phan Chiến Thắng,2025-11-06T00:00:00,8504299,8.11,ELC
Trần Hùng Giang,2025-06-30T00:00:00,5664214,5.67,ELC
Nguyễn Mạnh Hải,2025-06-30T00:00:00,5560866,5.56,ELC
Tổng Công ty cổ phần Phát triển Khu công nghiệp,2024-12-31T00:00:00,911088,29.29,SDN
CTCP Xuất nhập khẩu Petrolimex,2021-12-31T00:00:00,165190,10.88,SDN
Liu Chien Hung,2021-12-31T00:00:00,149053,9.82,SDN
Đào Đình Đề,2024-12-31T00:00:00,155768,5.13,SDN
Chien Miao Lien,2023-09-05T00:00:00,76064,5.01,SDN
Không có cổ đông sở hữu trên 5%,2020-10-14T14:16:02.377,0,0.0,PVA
Tổng Công ty Nông nghiệp Sài Gòn - TNHH MTV,2022-12-31T00:00:00,1200000,40.0,SFN
Trương Công Minh,2023-03-02T00:00:00,320200,11.18,SFN
Cao Thị Thúy,2022-12-31T00:00:00,232500,7.75,SFN
UBND Tỉnh Ninh Thuận,2020-08-26T11:50:50.367,4940555,52.06,NNT
Công ty CP - Tổng công ty Nước - Môi trường Bình Dương,2026-01-08T00:00:00,2350000,24.76,NNT
Hiệp hội Mía Đường Lam Sơn,2025-11-04T00:00:00,18862260,22.0,LSS
CTCP Thương mại và Đầu tư Thăng Long Hà Nội,2024-12-31T00:00:00,7812430,10.48,LSS
Lê Trung Thành,2024-10-31T00:00:00,4544826,5.57,LSS
Lê Văn Tân,2024-12-21T00:00:00,4047338,5.05,LSS
Hòa Quang Thiệp,2021-12-31T00:00:00,276562,9.18,SIV
CTCP Sơn Hải Phòng,2020-09-03T14:17:18.24,202500,6.72,SIV
