update_date,name,charter_capital,ownership_percent,currency,type,symbol
2019-12-31T00:00:00,CTCP Chế biến Xuất nhập khẩu Nông sản Thực phẩm Đồng Nai,-1,51.5,,công ty con,DPP
2024-12-31T00:00:00,CTCP Tự động hóa và Công nghệ thông tin Sông Đà,9768000000,0.0,VND,công ty liên kết,SDA
2024-12-31T00:00:00,CTCP Rượu Việt Nam - Thụy Điển,56005000000,-1.0,VND,công ty liên kết,SDA
2024-12-31T00:00:00,CTCP Hữu hạn Myanmar SIMCO Sông Đà,-1,-1.0,,công ty liên kết,SDA
2024-12-31T00:00:00,CTCP YPHARCO HEALTHCARE,60000000000,-1.0,VND,công ty liên kết,DBT
2024-12-31T00:00:00,CTCP Bepharco Healthcare,-1,-1.0,,công ty liên kết,DBT
2024-12-31T00:00:00,CTCP Dược Phẩm Yên Bái,-1,-1.0,,công ty liên kết,DBT
2024-12-31T00:00:00,CTCP Dịch vụ Hàng Hải Cảng Cam Ranh,7000000000,51.0,VND,công ty con,CCR
2024-12-31T00:00:00,CTCP Thương mại và Vận tải thủy NOSCO Quảng Ninh,15000000000,51.0,VND,công ty con,NOS
2024-12-31T00:00:00,CTCP Sữa chữa tàu biển Nosco - Shipyard,340000000000,21.26,VND,công ty liên kết,NOS
2011-12-31T00:00:00,TCT Đức Giang,51855000000,40.5,VND,công ty liên kết,WSS
2011-12-31T00:00:00,CTCP Đầu Tư và Phát Triển Đô Thị Phố Wall,100000000000,14.95,VND,công ty liên kết,WSS
2011-12-31T00:00:00,CTCP Nghỉ dưỡng và Sân golf Đầm Vạc,391000000000,14.72,VND,công ty liên kết,WSS
2024-12-31T00:00:00,Viện Nghiên cứu Ứng dụng Công nghệ Sinh học Lotus Aroma,10000000000,100.0,VND,công ty con,DSN
2024-12-31T00:00:00,CTCP thực phẩm Lotus Aroma,10000000000,90.0,VND,công ty con,DSN
2024-12-31T00:00:00,CTCP Giáo dục An Đông,2760000000,52.77,VND,công ty con,STC
2024-12-31T00:00:00,CTCP Chợ Mơ,93500000000,49.0,VND,công ty liên kết,DST
2024-12-31T00:00:00,CTCP Sách và Thiết bị Giáo dục Nam Định,10000000000,48.31,VND,công ty liên kết,DST
2024-12-31T00:00:00,CTCP Đầu tư Xây dựng NewLand,300000000000,90.0,VND,công ty con,VPG
2024-12-31T00:00:00,Công ty TNHH Môi Trường Ngôi Sao Xanh,5000000000,2.27,VND,công ty liên kết,MBN
2024-12-31T00:00:00,CTCP Gang thép Hòa Phát,61610000000000,99.99,VND,công ty con,HPG
2024-12-31T00:00:00,CTCP Sản phẩm thép Hòa Phát,8380000000000,99.99,VND,công ty con,HPG
2024-12-31T00:00:00,CTCP Phát triển Nông nghiệp Hòa Phát,2800000000000,99.99,VND,công ty con,HPG
2024-12-31T00:00:00,CTCP Phát triển Bất động sản Hòa Phát,6800000000000,99.97,VND,công ty con,HPG
