owner_type,ownership_percentage,shares_owned,update_date,symbol
Tổ chức trong nước,49.43,2471300,2024-12-12T00:00:00,SDV
Cá nhân nước ngoài,0.11,5600,2024-12-12T00:00:00,SDV
Tổ chức nước ngoài,0.03,1500,2024-12-12T00:00:00,SDV
CĐ khác trong nước,99.36,377524649,2024-12-31T00:00:00,SAM
CĐ khác nước ngoài,0.64,2432159,2024-12-31T00:00:00,SAM
Công đoàn Công ty,0.0,4163,2024-12-31T00:00:00,SAM
Cá nhân trong nước,60.86,2913907,2024-12-31T00:00:00,MTH
Tổ chức trong nước,25.57,1224299,2024-12-31T00:00:00,MTH
Cá nhân nước ngoài,0.2,9700,2024-12-31T00:00:00,MTH
Tổ chức nước ngoài,13.37,640004,2024-12-31T00:00:00,MTH
CĐ trong nước,99.24,446007289,2024-12-31T00:00:00,KHG
CĐ nước ngoài,0.76,3427916,2024-12-31T00:00:00,KHG
Cá nhân trong nước,17.85,1463852,2024-12-31T00:00:00,BAX
Tổ chức trong nước,65.59,5378160,2024-12-31T00:00:00,BAX
Cá nhân nước ngoài,0.07,6047,2024-12-31T00:00:00,BAX
Tổ chức nước ngoài,16.49,1351941,2024-12-31T00:00:00,BAX
CĐ Nhà nước,94.31,8016100,2024-12-31T00:00:00,NWT
Cá nhân trong nước,5.69,483900,2024-12-31T00:00:00,NWT
CĐ trong nước,99.92,5463233,2024-12-31T00:00:00,SMT
CĐ nước ngoài,0.08,4199,2024-12-31T00:00:00,SMT
CĐ Nhà nước,51.0,1530000,2024-12-31T00:00:00,FHN
CĐ khác,49.0,1470000,2024-12-31T00:00:00,FHN
CĐ sáng lập,0.01,19000,2024-12-31T00:00:00,FIT
CĐ trong nước khác,69.55,236418003,2024-12-31T00:00:00,FIT
CĐ nước ngoài khác,0.03,96552,2024-12-31T00:00:00,FIT
CĐ lớn trong nước,30.42,103399479,2024-12-31T00:00:00,FIT
CĐ lớn,80.14,1555910,2024-12-31T00:00:00,DBM
CĐ khác,19.86,385678,2024-12-31T00:00:00,DBM
CĐ lớn,38.88,6699004,2024-12-31T00:00:00,NQB
Nhà nước khác,52.15,8986504,2024-12-31T00:00:00,NQB
Cá nhân trong nước,8.97,1544696,2024-12-31T00:00:00,NQB
CĐ trong nước,94.87,349111393,2024-12-31T00:00:00,HHS
CĐ nước ngoài,5.13,18874595,2024-12-31T00:00:00,HHS
Cá nhân trong nước,39.64,13913644,2024-12-31T00:00:00,CNG
Tổ chức trong nước,57.69,20247892,2024-12-31T00:00:00,CNG
Cá nhân nước ngoài,0.49,171681,2024-12-31T00:00:00,CNG
Tổ chức nước ngoài,2.18,766408,2024-12-31T00:00:00,CNG
CĐ trong nước,84.36,33745201,2024-12-31T00:00:00,LBM
CĐ nước ngoài,15.64,6254799,2024-12-31T00:00:00,LBM
Cá nhân trong nước,30.68,11352648,2025-03-26T00:00:00,NBC
Tổ chức trong nước,65.6,24269797,2025-03-26T00:00:00,NBC
Cá nhân nước ngoài,1.18,434799,2025-03-26T00:00:00,NBC
Tổ chức nước ngoài,2.55,941844,2025-03-26T00:00:00,NBC
Cá nhân trong nước,100.0,9638061,2024-12-31T00:00:00,HAM
Cá nhân trong nước,100.0,4974450,2024-12-31T00:00:00,HMD
CĐ sáng lập,0.56,83391,2024-12-31T00:00:00,SC5
Cổ  phiếu quỹ,0.01,1051,2024-12-31T00:00:00,SC5
CĐ trong nước sở hữu trên 5% số cổ phiếu,81.33,12186879,2024-12-31T00:00:00,SC5
