date,charter_capital,currency,symbol
2005-03-30,30000000000,VND,FHN
2022-06-29,3399330340000,VND,FIT
2021-11-08,2627302470000,VND,FIT
2017-02-13,2547302470000,VND,FIT
2016-08-01,1935489620000,VND,FIT
,1792124770000,VND,FIT
,892124880000,VND,FIT
,346499960000,VND,FIT
2013-09-23,157500000000,VND,FIT
2012-02-10,150000000000,VND,FIT
2011-03-22,110000000000,VND,FIT
2007-03-08,35000000000,VND,FIT
2014-08-01,19415880000,VND,DBM
2003-01-01,12943920000,VND,DBM
2016-09-13,172302040000,VND,NQB
2015-04-01,133683760000,VND,NQB
2006-03-28,38050000000,VND,NQB
2025-06-13,4319859680000,VND,HHS
2024-08-19,3679859680000,VND,HHS
2023-12-31,3471607130000,VND,HHS
2022-01-18,3214481530000,VND,HHS
2016-05-20,2747440630000,VND,HHS
,2330904000000,VND,HHS
2015-03-25,1109955570000,VND,HHS
2014-10-15,573642410000,VND,HHS
,382499480000,VND,HHS
2012-12-31,224999810000,VND,HHS
,150000000000,VND,HHS
2011-12-31,100000000000,VND,HHS
,90000000000,VND,HHS
2023-03-08,350996250000,VND,CNG
,270000000000,VND,CNG
,213276380000,VND,CNG
,203120380000,VND,CNG
,125000000000,VND,CNG
,67200000000,VND,CNG
,19200000000,VND,CNG
2024-08-15,400000000000,VND,LBM
2022-08-05,200000000000,VND,LBM
2019-05-21,100000000000,VND,LBM
2009-08-14,85000000000,VND,LBM
2009-06-24,69830180000,VND,LBM
2007-06-18,41391600000,VND,LBM
2007-04-13,20000000000,VND,LBM
2004-06-29,15000000000,VND,LBM
2003-05-28,10000000000,VND,LBM
2015-09-30,369991240000,VND,NBC
2013-12-02,279986260000,VND,NBC
2012-09-17,199994040000,VND,NBC
2011-08-15,120000000000,VND,NBC
,60000000000,VND,NBC
2022-12-31,96380610000,VND,HAM
2021-12-23,93380610000,VND,HAM
2011-06-24,62253990000,VND,HAM
2009-11-02,49803500000,VND,HAM
2007-06-08,24953600000,VND,HAM
,12476800000,VND,HAM
2025-08-27,69640750000,VND,HMD
2018-08-10,49744500000,VND,HMD
2014-07-31,41455130000,VND,HMD
2010-09-28,28590910000,VND,HMD
2007-08-08,27491260000,VND,HMD
2006-10-10,23131340000,VND,HMD
2003-12-10,14400000000,VND,HMD
2000-05-31,7427668310,VND,HMD
,3388000000,VND,HMD
2013-01-01,149845500000,VND,SC5
2011-11-01,136226400000,VND,SC5
2010-09-01,113519990000,VND,SC5
2008-08-01,103200000000,VND,SC5
2007-07-01,86000000000,VND,SC5
2007-05-01,61500000000,VND,SC5
2005-03-01,25000000000,VND,SC5
,12000000000,VND,SC5
2005-04-22,50000000000,VND,S12
2017-08-03,236081650000,VND,HTE
,234039498000,VND,HTE
2017-05-17,85620000000,VND,BIO
2016-09-01,34620000000,VND,BIO
2024-06-26,619352020000,VND,TD6
2015-03-09,152200000000,VND,ATG
,88200000000,VND,ATG
2023-08-01,19256580000,VND,DAE
2007-12-01,14986800000,VND,DAE
2007-09-24,6500000000,VND,DAE
,5000000000,VND,DAE
2025-10-29,1100889030000,VND,ELC
2025-08-29,1048474360000,VND,ELC
2025-04-18,999474360000,VND,ELC
2025-03-18,874539250000,VND,ELC
2024-05-15,832900770000,VND,ELC
2023-12-21,822900770000,VND,ELC
2022-12-01,587788430000,VND,ELC
2017-10-17,509282430000,VND,ELC
2017-05-30,475973750000,VND,ELC
2016-06-07,423719980000,VND,ELC
2015-09-01,409719980000,VND,ELC
,379399090000,VND,ELC
2013-12-13,373399090000,VND,ELC
,366249090000,VND,ELC
,293000000000,VND,ELC
,221250000000,VND,ELC
,177000000000,VND,ELC
,122700000000,VND,ELC
,97500000000,VND,ELC
,10000000000,VND,ELC
2023-09-29,30364360000,VND,SDN
2010-09-14,15182180000,VND,SDN
2008-09-22,13496410000,VND,SDN
2005-05-19,11400000000,VND,SDN
,7200000000,VND,SDN
2012-01-01,218460000000,VND,PVA
2009-04-01,100000000000,VND,PVA
2007-03-01,45000000000,VND,PVA
2006-04-01,10000000000,VND,PVA
2005-03-01,4482500000,VND,PVA
2006-02-24,30000000000,VND,SFN
2017-01-01,94908414916,VND,NNT
,86913554916,VND,NNT
2025-04-16,857416230000,VND,LSS
2024-06-05,801350510000,VND,LSS
2023-01-03,745479930000,VND,LSS
,700000000000,VND,LSS
,500000000000,VND,LSS
,400000000000,VND,LSS
,300000000000,VND,LSS
,260000000000,VND,LSS
,200624000000,VND,LSS
,200000000000,VND,LSS
,150000000000,VND,LSS
2025-08-29,34641780000,VND,SIV
,30123740000,VND,SIV
,20082500000,VND,SIV
,16066000000,VND,SIV
,7000000000,VND,SIV
2002-03-28,5000000000,VND,SIV
2026-09-01,61996980000,VND,PRC
,30998490000,VND,PRC
,12000000000,VND,PRC
,6000000000,VND,PRC
2017-10-31,500000000000,VND,VRC
,145047620000,VND,VRC
,131519420000,VND,VRC
,101169100000,VND,VRC
,72512370000,VND,VRC
,59757050000,VND,VRC
,37347990000,VND,VRC
,17091330000,VND,VRC
2025-05-08,1703017850000,VND,FRT
2023-05-07,1362423890000,VND,FRT
2022-11-07,1184725350000,VND,FRT
,789817920000,VND,FRT
,680000000000,VND,FRT
,400000000000,VND,FRT
,200000000000,VND,FRT
2012-08-03,88500000000,VND,FRT
2016-01-28,330000000000,VND,SKH
2020-09-25,463362780000,VND,PMG
2019-07-24,421240940000,VND,PMG
2018-09-14,379498470000,VND,PMG
,330000000000,VND,PMG
,180000000000,VND,PMG
,50000000000,VND,PMG
,25000000000,VND,PMG
2007-05-09,10000000000,VND,PMG
