event_id,stock_code,finance_url,content,title,file_url,type_name,transfer_type_id,position_cd,extra_position_nlq,extra_position_nlq_ex,extra_position_nn,relation_ship_type,dtthcd,dtthlq,dtlqlq,nvth,register_buy_volume,buy_volume,register_sell_volume,sell_volume,register_volume_before,register_volume_after,volume_before,volume_after,date_buy_expected,date_sell_expected,date_action_to,position_cd_ex,extra_position_idnn_ex,date_action_from,ndd_title,nddth,ndd_position,ndd_extra_position,transfer_title_type_id,register_buy_volume_percent,buy_volume_percent,register_sell_volume_percent,sell_volume_percent,register_volume_before_percent,register_volume_after_percent,volume_before_percent,volume_after_percent,status_name,symbol
197006,SSB,https://finance.vietstock.vn/SSB-ngan-hang-tmcp-dong-nam-a.htm,"<p>Nguyễn Hồng Quang, Lê Thanh Hải, Lê Quốc Long, Đặng Thu Trang, Nguyễn Tuấn Cường&nbsp;báo cáo kết quả giao dịch cổ phiếu ESOP của Người nội bộ Ngân hàng Thương mại Cổ phần Đông Nam Á như sau:</p><div><br></div>","SSB: Báo cáo kết quả giao dịch cổ phiếu ESOP của Người nội bộ Nguyễn Hồng Quang, Lê Thanh Hải, Lê Quốc Long, Đặng Thu Trang, Nguyễn Tuấn Cường",https://static2.vietstock.vn/vietstock/2025/2/17/20250217_20250217___ssb___bao_cao_ket_qua_giao_dich_cp__esop__cua_nguoi_noi_bo___le_thanh_hai_signature.pdf,GD CĐ nội bộ,2,Phó TGĐ,Blank,Blank,Blank,Blank,Lê Thanh Hải,,,,200000.0,200000.0,,,551101.0,751101.0,551101,751101,2025-02-10T00:00:00,2025-02-18T00:00:00,2025-02-17T00:00:00,Blank,23,2025-02-17T00:00:00,6,,23,23,2,,,,,,0.0,,0.0,Kết quả,SSB
197004,SSB,https://finance.vietstock.vn/SSB-ngan-hang-tmcp-dong-nam-a.htm,"<p>Nguyễn Hồng Quang, Lê Thanh Hải, Lê Quốc Long, Đặng Thu Trang, Nguyễn Tuấn Cường&nbsp;báo cáo kết quả giao dịch cổ phiếu ESOP của Người nội bộ Ngân hàng Thương mại Cổ phần Đông Nam Á như sau:</p><div><br></div>","SSB: Báo cáo kết quả giao dịch cổ phiếu ESOP của Người nội bộ Nguyễn Hồng Quang, Lê Thanh Hải, Lê Quốc Long, Đặng Thu Trang, Nguyễn Tuấn Cường",https://static2.vietstock.vn/vietstock/2025/2/17/20250217_20250217___ssb___bao_cao_ket_qua_giao_dich_cp__esop__cua_nguoi_noi_bo___le_quoc_long_signature.pdf,GD CĐ nội bộ,2,TGĐ,Blank,Blank,Blank,Blank,Lê Quốc Long,,,,300000.0,300000.0,,,4537635.0,4837635.0,4537635,4837635,2025-02-11T00:00:00,2025-02-18T00:00:00,2025-02-17T00:00:00,Blank,23,2025-02-17T00:00:00,6,,23,23,2,,,,,,,,,Kết quả,SSB
196902,SSB,https://finance.vietstock.vn/SSB-ngan-hang-tmcp-dong-nam-a.htm,"<p>Nguyễn Thị Hoài Phương, Lê Văn Tần, Vũ Thị Ngọc Quỳnh&nbsp;báo cáo kết quả giao dịch cổ phiếu ESOP của Người nội bộ Ngân hàng Thương mại Cổ phần Đông Nam Á như sau:</p><div><br></div>","SSB: Báo cáo kết quả giao dịch cổ phiếu ESOP của Người nội bộ Nguyễn Thị Hoài Phương, Lê Văn Tần, Vũ Thị Ngọc Quỳnh",https://static2.vietstock.vn/vietstock/2025/2/14/20250214_20250214___ssb___bao_cao_ket_qua_giao_dich_cp__esop__cua_nguoi_noi_bo___vu_thi_ngoc_quynh_signature.pdf,GD CĐ nội bộ,2,TV BKS,Blank,Blank,Blank,Blank,Vũ Thị Ngọc Quỳnh,,,,1195000.0,1195000.0,,,5944737.0,7139737.0,5944737,7139737,2025-02-10T00:00:00,2025-02-18T00:00:00,2025-02-14T00:00:00,Blank,23,2025-02-14T00:00:00,6,,23,23,2,,,,,,,,,Kết quả,SSB
196900,SSB,https://finance.vietstock.vn/SSB-ngan-hang-tmcp-dong-nam-a.htm,"<p>Nguyễn Thị Hoài Phương, Lê Văn Tần, Vũ Thị Ngọc Quỳnh&nbsp;báo cáo kết quả giao dịch cổ phiếu ESOP của Người nội bộ Ngân hàng Thương mại Cổ phần Đông Nam Á như sau:</p><div><br></div>","SSB: Báo cáo kết quả giao dịch cổ phiếu ESOP của Người nội bộ Nguyễn Thị Hoài Phương, Lê Văn Tần, Vũ Thị Ngọc Quỳnh",https://static2.vietstock.vn/vietstock/2025/2/14/20250214_20250214___ssb___bao_cao_ket_qua_giao_dich_cp__esop__cua_nguoi_noi_bo___le_van_tan_signature.pdf,GD CĐ nội bộ,2,CTHĐQT,Blank,Blank,Blank,Blank,Lê Văn Tần,,,,1500000.0,1500000.0,,,10075697.0,11575697.0,10075697,11575697,2025-02-11T00:00:00,2025-02-18T00:00:00,2025-02-14T00:00:00,Blank,23,2025-02-14T00:00:00,6,,23,23,2,,,,,,,,,Kết quả,SSB
196899,SSB,https://finance.vietstock.vn/SSB-ngan-hang-tmcp-dong-nam-a.htm,"<p>Nguyễn Thị Hoài Phương, Lê Văn Tần, Vũ Thị Ngọc Quỳnh&nbsp;báo cáo kết quả giao dịch cổ phiếu ESOP của Người nội bộ Ngân hàng Thương mại Cổ phần Đông Nam Á như sau:</p><div><br></div>","SSB: Báo cáo kết quả giao dịch cổ phiếu ESOP của Người nội bộ Nguyễn Thị Hoài Phương, Lê Văn Tần, Vũ Thị Ngọc Quỳnh",https://static2.vietstock.vn/vietstock/2025/2/14/20250214_20250214___ssb___bao_cao_ket_qua_giao_dich_cp__esop__cua_nguoi_noi_bo___nguyen_thi_hoai_phuong_signature.pdf,GD CĐ nội bộ,2,KTT,Blank,Blank,Blank,Blank,Nguyễn Thị Hoài Phương,,,,60000.0,60000.0,,,131777.0,191777.0,131777,191777,2025-02-10T00:00:00,2025-02-18T00:00:00,2025-02-14T00:00:00,Blank,23,2025-02-14T00:00:00,6,,23,23,2,,,,,,,,,Kết quả,SSB
196895,SSB,https://finance.vietstock.vn/SSB-ngan-hang-tmcp-dong-nam-a.htm,<p>Nguyễn Minh Thắng&nbsp;báo cáo kết quả giao dịch cổ phiếu của Người nội bộ Ngân hàng Thương mại Cổ phần Đông Nam Á như sau:</p>,SSB: Báo cáo kết quả giao dịch cổ phiếu của Người nội bộ Nguyễn Minh Thắng,https://static2.vietstock.vn/vietstock/2025/2/14/20250214_20250214___ssb___bao_cao_ket_qua_giao_dich_cp_cua_co_dong_lien_quan___nguyen_minh_thang_signed.pdf,GD của người liên quan,3,Blank,Blank,Blank,Blank,Blank,,Nguyễn Minh Thắng,Nhóm đại diện vốn,,,,,120000.0,,,265512,145512,,,2025-02-13T00:00:00,Blank,23,2025-02-11T00:00:00,6,,23,23,2,,,,,,,,,Kết quả,SSB
196887,SSB,https://finance.vietstock.vn/SSB-ngan-hang-tmcp-dong-nam-a.htm,"<p>Nguyễn Thị Nga, Đào Minh Nguyệt, Fergus Macdonald Clark, Bùi Quốc Hiệu&nbsp;báo cáo kết quả giao dịch cổ phiếu ESOP của Người nội bộ Ngân hàng Thương mại Cổ phần Đông Nam Á như sau:</p>","SSB: Báo cáo kết quả giao dịch cổ phiếu ESOP của Người nội bộ Nguyễn Thị Nga, Đào Minh Nguyệt, Fergus Macdonald Clark, Bùi Quốc Hiệu",https://static2.vietstock.vn/vietstock/2025/2/14/20250214_20250213___ssb___bao_cao_ket_qua_giao_dich_cp__esop__cua_nguoi_noi_bo___nguyen_thi_nga_signed.pdf,GD CĐ nội bộ,2,Phó CTHĐQT,Blank,Blank,Blank,Blank,Nguyễn Thị Nga,,,,,1500000.0,,,,,111583628,113083628,,,2025-02-13T00:00:00,Blank,23,2025-02-13T00:00:00,6,,23,23,2,,0.04,,,,,3.94,3.98,Kết quả,SSB
196890,SSB,https://finance.vietstock.vn/SSB-ngan-hang-tmcp-dong-nam-a.htm,"<p>Nguyễn Thị Nga, Đào Minh Nguyệt, Fergus Macdonald Clark, Bùi Quốc Hiệu&nbsp;báo cáo kết quả giao dịch cổ phiếu ESOP của Người nội bộ Ngân hàng Thương mại Cổ phần Đông Nam Á như sau:</p><div><br></div>","SSB: Báo cáo kết quả giao dịch cổ phiếu ESOP của Người nội bộ Nguyễn Thị Nga, Đào Minh Nguyệt, Fergus Macdonald Clark, Bùi Quốc Hiệu",https://static2.vietstock.vn/vietstock/2025/2/14/20250214_20250213___ssb___bao_cao_ket_qua_giao_dich_cp__esop__cua_nguoi_noi_bo___bui_quoc_hieu_signed.pdf,GD CĐ nội bộ,2,Phó TGĐ,Blank,Blank,Blank,Blank,Bùi Quốc Hiệu,,,,80000.0,80000.0,,,60028.0,140028.0,60028,140028,2025-02-10T00:00:00,2025-02-18T00:00:00,2025-02-12T00:00:00,Blank,23,2025-02-12T00:00:00,6,,23,23,2,,,,,,,,,Kết quả,SSB
196889,SSB,https://finance.vietstock.vn/SSB-ngan-hang-tmcp-dong-nam-a.htm,"<p>Nguyễn Thị Nga, Đào Minh Nguyệt, Fergus Macdonald Clark, Bùi Quốc Hiệu&nbsp;báo cáo kết quả giao dịch cổ phiếu ESOP của Người nội bộ Ngân hàng Thương mại Cổ phần Đông Nam Á như sau:</p><div><br></div>","SSB: Báo cáo kết quả giao dịch cổ phiếu ESOP của Người nội bộ Nguyễn Thị Nga, Đào Minh Nguyệt, Fergus Macdonald Clark, Bùi Quốc Hiệu",https://static2.vietstock.vn/vietstock/2025/2/14/20250214_20250213___ssb___bao_cao_ket_qua_giao_dich_cp__esop__cua_nguoi_noi_bo___dao_minh_nguyet_signature.pdf,GD CĐ nội bộ,2,Thành viên,Blank,Blank,Blank,Blank,Đào Minh Nguyệt,,,,30000.0,30000.0,,,100404.0,130404.0,100404,130404,2024-02-10T00:00:00,2025-02-18T00:00:00,2025-02-12T00:00:00,Blank,23,2025-02-12T00:00:00,6,,23,23,2,,,,,,,,,Kết quả,SSB
