id,officer_name,officer_position,position_short_name,update_date,officer_own_percent,quantity,symbol
3,Huỳnh Đức Trọng,Phó Giám đốc Kinh doanh/Thành viên Hội đồng Quản trị,Phó GĐ Kinh doanh/TV HĐQT,2025-08-04,0.0003087,7100,SKV
10,Trịnh Thị Hồng Vân,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-08-04,0.0002522,5800,SKV
1,Phạm Thị Lành,Kế toán trưởng,Kế toán trưởng,2024-08-26,0.0002044,4700,SKV
6,Phạm Duy Hưng,Thành viên Ban kiểm soát,TV BKS,2025-08-04,0.0001435,3300,SKV
7,Vũ Trần Nguyên Minh,Trưởng Ban kiểm soát,Trưởng BKS,2025-08-04,4.35e-05,1000,SKV
4,Vương Phạm Phương Thanh,Thành viên Hội đồng Quản trị,TV HĐQT,2025-08-04,4.35e-05,1000,SKV
8,Hồ Hải,Thành viên Ban kiểm soát,TV BKS,2025-08-04,1.33e-05,308,SKV
5,Lê Hồng Thuận,Thành viên Hội đồng Quản trị,TV HĐQT,2025-08-04,0.0,0,SKV
6,Nguyễn Đặng Toàn,Thành viên Hội đồng Quản trị,TV HĐQT,2025-07-28,0.0055,22200,HAD
8,Trần Vân Hà,Phó Giám đốc/Thành viên Hội đồng Quản trị,Phó GĐ/TV HĐQT,2025-09-03,0.0002275,910,HAD
4,Vũ Văn Khoan,Phó Giám đốc,Phó GĐ,2025-02-19,3.75e-05,150,HAD
5,Đặng Thị Minh Duyệt,Kế toán trưởng,Kế toán trưởng,2025-02-19,0.0,0,HAD
7,Trần Văn Trung,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-09-03,0.0,0,HAD
9,Trần Huy Loãn,Phó Chủ tịch Hội đồng Quản trị/Giám đốc/Phụ trách Công bố thông tin,Phó Chủ tịch HĐQT/GĐ/Phụ trách CBTT,2025-09-03,0.0,0,HAD
1,Bùi Bảo Ngọc,Thành viên Hội đồng Quản trị,TV HĐQT,2019-05-06,0.0,0,HAD
10,Bùi Thị Thanh Bình,Trưởng Ban kiểm soát,Trưởng BKS,2025-09-03,0.0,0,HAD
2,Phạm Mạnh Toàn,Thành viên Ban kiểm soát,TV BKS,2019-05-06,0.0,0,HAD
3,Trịnh Quang Huy,Thành viên Ban kiểm soát,TV BKS,2022-04-20,0.0,0,HAD
5,Nguyễn Minh Lộc,Trưởng Ban kiểm soát,Trưởng BKS,2025-04-02,0.023,115200,SSG
1,Lê Thanh Hà,Kế toán trưởng,Kế toán trưởng,2023-10-17,0.001004,5000,SSG
3,Đặng Hồng Trường,Người phụ trách quản trị công ty/Thành viên Hội đồng Quản trị/Giám đốc,Người phụ trách quản trị công ty/TV HĐQT/GĐ,2025-02-19,0.0010038,5000,SSG
4,Trần Ngọc Sơn,Thành viên Hội đồng Quản trị,TV HĐQT,2025-04-02,0.0,0,SSG
2,Phạm Thị Anh Thư,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2024-03-14,0.0,0,SSG
6,Lê Thanh Phúc,Thành viên Ban kiểm soát,TV BKS,2025-04-02,0.0,0,SSG
7,Nguyễn Phương Liên,Thành viên Ban kiểm soát,TV BKS,2025-04-22,0.0,0,SSG
8,Nguyễn Thị Hồng Hạnh,Phó Giám đốc,Phó GĐ,2025-07-02,0.0,0,SSG
9,Nguyễn Đức Mạnh,Thành viên Hội đồng Quản trị,TV HĐQT,2025-07-02,0.0,0,SSG
10,Nguyễn Đức Khiêm,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-02-13,0.07003,1470670,TVT
1,Nguyễn Hữu Phú,Phó Tổng Giám đốc,Phó TGĐ,2017-07-12,0.0109,229320,TVT
4,Trần Thị Thanh Phượng,Thành viên Hội đồng Quản trị,TV HĐQT,2022-08-09,0.0032,68000,TVT
11,Nguyễn Quang Minh,Tổng Giám đốc,TGĐ,2025-02-13,0.0024,51000,TVT
7,Lê Nguyên Ngọc,Thành viên Hội đồng Quản trị/Phó Tổng Giám đốc,TV HĐQT/Phó TGĐ,2024-09-17,0.0011,23560,TVT
5,Nguyễn Đức Lợi,Thành viên Ban kiểm soát,TV BKS,2024-09-17,0.00035,7460,TVT
8,Diệp Quốc Bình,Kế toán trưởng,Kế toán trưởng,2024-09-17,0.0,0,TVT
6,Đào Thị Nội,Thành viên Ban kiểm soát,TV BKS,2024-09-17,0.0,0,TVT
3,Phạm Minh Tuấn,Thành viên Hội đồng Quản trị,TV HĐQT,2020-03-04,0.0,0,TVT
2,Nguyễn Phi Hùng,Người phụ trách quản trị công ty,Người phụ trách quản trị công ty,2019-10-18,0.0,0,TVT
12,Vũ Thị Thùy Dương,Trưởng Ban kiểm soát,Trưởng BKS,2025-12-30,0.0,0,TVT
9,DIỀU CHÍ HẢO,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-13,0.0,0,TVT
1,Nguyễn Thế Phương,Phó Tổng Giám đốc,Phó TGĐ,2019-01-28,0.0,0,VRG
