id,officer_name,officer_position,position_short_name,update_date,officer_own_percent,quantity,symbol
2,Đoàn Văn Hưng,Thành viên Ban kiểm soát,TV BKS,2023-05-09,0.0,0,WSS
3,Trần Văn Huyến,Tổng Giám đốc/Phó Chủ tịch Hội đồng Quản trị,TGĐ/Phó Chủ tịch HĐQT,2026-01-22,0.57724,1731715,DPH
1,Nguyễn Văn Vẻ,Phó Giám đốc,Phó GĐ,2017-01-16,0.0269,80729,DPH
4,Nguyễn Thị Hường,Thành viên Ban kiểm soát,TV BKS,2026-01-22,0.0125,37495,DPH
2,VŨ PHÚ ĐỊNH,Trưởng Ban kiểm soát,Trưởng BKS,2024-12-09,0.0096,28884,DPH
5,Trần Đức Hạnh,Phó Giám đốc/Chủ tịch Hội đồng Quản trị,Phó GĐ/Chủ tịch HĐQT,2026-01-22,0.005,15000,DPH
6,Nguyễn Xuân Trường,Thành viên Ban kiểm soát,TV BKS,2026-01-22,0.0016,4829,DPH
7,Trần Anh Tuấn,Kế toán trưởng/Thành viên Hội đồng Quản trị,Kế toán trưởng/TV HĐQT,2026-01-22,3e-06,626,DPH
5,Phạm Duy Hưng,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2023-07-28,0.0034,41551,DSN
6,Đặng Ngọc Thiên Tử,Trưởng Ban kiểm soát,Trưởng BKS,2023-07-28,0.0023,27885,DSN
1,Đặng Ngọc Nghĩa,Phụ trách Công bố thông tin,Phụ trách CBTT,2016-09-12,0.0016,19134,DSN
11,Nguyễn Quang Trường,Phó Tổng Giám đốc/Người phụ trách quản trị công ty,Phó TGĐ/Người phụ trách quản trị công ty,2025-07-29,0.0013018,15730,DSN
12,Vũ Ngọc Tuấn,Tổng Giám đốc,TGĐ,2025-07-29,0.0006248,7550,DSN
13,Trần Thị Châu Dân,Kế toán trưởng,Kế toán trưởng,2025-07-29,8.9e-05,1075,DSN
7,Nguyễn Quốc Anh,Phó Chủ tịch Hội đồng Quản trị,Phó Chủ tịch HĐQT,2023-11-02,0.0,0,DSN
8,Lê Khắc Lân,Thành viên Hội đồng Quản trị,TV HĐQT,2023-12-22,0.0,0,DSN
9,Trần Việt Anh,Thành viên Hội đồng Quản trị,TV HĐQT,2025-07-29,0.0,0,DSN
10,Bùi Thị Kim Tuyền,Thành viên Ban kiểm soát,TV BKS,2025-07-29,0.0,0,DSN
4,Nguyễn Thị Nguyên,Thành viên Ban kiểm soát,TV BKS,2023-03-30,0.0,0,DSN
3,Phương Xuân Thụy,Thành viên Hội đồng Quản trị,TV HĐQT,2023-03-30,0.0,0,DSN
2,Lê Thị Lan Hương,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2023-03-30,0.0,0,DSN
8,Từ Trung Đan,Thành viên Hội đồng Quản trị/Tổng Giám đốc,TV HĐQT/TGĐ,2025-08-08,0.0662,375190,STC
2,Từ Văn Sơn,Tổng Giám đốc,TGĐ,2015-09-14,0.0047533063,26930,STC
1,Ngô Trần Vinh,Tổng Giám đốc,TGĐ,2015-09-14,0.001473825,8350,STC
3,Đỗ Thành Lâm,Thành viên Hội đồng Quản trị,TV HĐQT,2025-04-23,0.00086,4895,STC
5,Nguyễn Thị Nhớ,Thành viên Ban kiểm soát,TV BKS,2025-04-23,0.0007,4000,STC
11,Đỗ Thị Thanh Bình,Phó Tổng Giám đốc,Phó TGĐ,2025-08-08,0.0005,3320,STC
7,Phạm Nhật Quyên,Người phụ trách quản trị công ty,Người phụ trách quản trị công ty,2025-07-23,0.0003,1800,STC
6,Bùi Thị Ánh Tuyết,Trưởng Ban kiểm soát,Trưởng BKS,2025-04-23,0.0,0,STC
9,Nguyễn Văn Cung,Thành viên Hội đồng Quản trị,TV HĐQT,2025-08-08,0.0,0,STC
10,Đào Thị Thanh Thủy,Thành viên Ban kiểm soát,TV BKS,2025-08-08,0.0,0,STC
4,Nguyễn Chí Bính,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-04-23,0.0,0,STC
12,Phan Xuân Hiến,Phó Tổng Giám đốc,Phó TGĐ,2025-08-08,0.0,70,STC
13,Huỳnh Thị Bích Hạnh,Phụ trách Công bố thông tin/Kế toán trưởng/Thành viên Hội đồng Quản trị,Phụ trách CBTT/Kế toán trưởng/TV HĐQT,2025-08-08,0.0,0,STC
4,Vũ Ngọc Thuân,Thành viên Hội đồng Quản trị,TV HĐQT,2023-06-20,0.005,10000,CFM
1,Nguyễn Trọng Giang,Thành viên Ban kiểm soát,TV BKS,2021-01-11,0.005,10000,CFM
7,Nguyễn Quốc Trung,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-10-17,5e-05,100,CFM
6,Trần Thùy Linh,Giám đốc/Phó Chủ tịch Hội đồng Quản trị,GĐ/Phó Chủ tịch HĐQT,2025-10-17,5e-05,100,CFM
3,Đỗ Thị Minh Hiếu,Trưởng Ban kiểm soát,Trưởng BKS,2023-06-20,0.0,0,CFM
5,Lương Thị Nhị Hà,Kế toán trưởng,Kế toán trưởng,2025-04-18,0.0,0,CFM
2,Nguyễn Thị Thu Cúc,Thành viên Ban kiểm soát,TV BKS,2021-01-11,0.0,0,CFM
1,Hứa Thị Anh Đào,Phó Giám đốc,Phó GĐ,2015-09-14,0.0,0,DST
2,Phạm Minh Đức,Thành viên Ban kiểm soát,TV BKS,2015-09-14,0.0,0,DST
3,Ngô Quang Hòa,Thành viên Hội đồng Quản trị,TV HĐQT,2018-03-28,0.0,0,DST
4,Hà Tuấn Sơn,Thành viên Ban kiểm soát,TV BKS,2022-08-10,0.0,0,DST
5,Bùi Việt Dũng,Tổng Giám đốc/Thành viên Hội đồng Quản trị,TGĐ/TV HĐQT,2025-04-21,0.0,0,DST
6,Phạm Thị Nhài,Trưởng phòng Tài chính - Kế toán/Người phụ trách quản trị công ty,Trưởng phòng Tài chính - Kế toán/Người phụ trách quản trị công ty,2025-08-22,0.0,0,DST
7,Nguyễn Đức Hiếu,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-08-22,0.0,0,DST
8,Nguyễn Thị Lan Hương,Trưởng Ban kiểm soát,Trưởng BKS,2025-08-22,0.0,0,DST
4,Nguyễn Văn Bình,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-08-04,0.2579,22800880,VPG
5,Lê Thị Thanh Lệ,Phụ trách Công bố thông tin/Thành viên Hội đồng Quản trị,Phụ trách CBTT/TV HĐQT,2025-08-04,0.0453,4002075,VPG
