symbol,close_price,percent_change,total_trades,total_value
NQN,14.6,14.960629921259844,1400.0,20400000.0
PHS,10.8,14.893617021276595,1500.0,16110000.0
DCF,36.7,14.6875,900.0,32530000.0
TV1,32.8,14.685314685314685,91800.0,2724560000.0
CMF,450.0,12.669003505257887,200.0,85000000.0
GVT,79.0,11.267605633802818,100.0,7900000.0
NFC,66.4,9.390444810543658,100.0,6640000.0
HRC,42.35,6.944444444444445,1600.0,67760000.0
PGV,26.4,6.882591093117409,91500.0,2290455000.0
TPP,11.0,6.796116504854369,7100.0,74600000.0
STB,67.7,6.782334384858044,16427700.0,1096233840000.0
GVR,42.05,6.590621039290241,8739100.0,361576150000.0
PMC,150.0,6.534090909090909,300.0,43230000.0
IDC,50.2,5.684210526315789,3894700.0,192013460000.0
PSP,19.9,5.291005291005291,2000.0,38800000.0
XMC,10.0,5.263157894736842,5000.0,50000000.0
BSR,29.45,5.178571428571429,13970500.0,401393570000.0
SEA,45.6,5.0691244239631335,100.0,4560000.0
TV2,40.3,4.811443433029909,904600.0,35896310000.0
DRI,13.6,4.615384615384616,1639200.0,22236190000.0
HPG,29.6,4.593639575971731,94509000.0,2755840425000.0
SNZ,34.7,4.518072289156627,5300.0,177810000.0
TVN,9.4,4.444444444444445,1464900.0,13766550000.0
BCM,67.3,4.179566563467492,1921400.0,129455280000.0
VGC,53.0,4.12573673870334,1384200.0,72758610000.0
CKG,9.58,4.017372421281216,39800.0,380292000.0
NCS,40.0,3.896103896103896,1000.0,40000000.0
MVC,16.2,3.8461538461538463,12200.0,197710000.0
TIN,103.4,3.6072144288577155,1500.0,152760000.0
SZC,35.5,3.498542274052478,1511500.0,53544520000.0
