symbol,close_price,percent_change,total_trades,total_value
HNF,25.0,-14.965986394557824,300.0,7500000.0
BWS,34.3,-6.027397260273973,600.0,20600000.0
ECO,31.0,-5.487804878048781,24700.0,764650000.0
TDP,30.2,-5.477308294209703,15000.0,453100000.0
GEE,169.7,-5.195530726256983,496000.0,85099310000.0
HTM,9.7,-4.901960784313726,200.0,1920000.0
VEC,38.4,-4.0,5500.0,218260000.0
PIC,16.8,-4.0,100.0,1680000.0
VIC,156.4,-3.9901780233271946,2640400.0,417776110000.0
PNJ,115.7,-3.9834024896265556,1223800.0,142873560000.0
VHM,106.8,-3.783783783783784,2707200.0,292563180000.0
MCH,143.5,-3.691275167785235,84800.0,12185590000.0
TMP,57.7,-3.672787979966611,1200.0,69250000.0
QNP,31.6,-3.6585365853658534,600.0,18960000.0
SJS,50.1,-3.653846153846154,4100.0,207860000.0
TCH,15.95,-3.625377643504532,4748000.0,76866005000.0
VJC,180.0,-3.536977491961415,687600.0,123607590000.0
TN1,16.6,-3.488372093023256,7500.0,126095000.0
CTF,18.7,-3.1088082901554404,201900.0,3821635000.0
VRE,28.6,-3.050847457627119,5323500.0,154019355000.0
VPL,81.0,-2.9940119760479043,415600.0,34025800000.0
VSN,17.0,-2.857142857142857,2000.0,34000000.0
HHS,12.05,-2.82258064516129,1121300.0,13652005000.0
FPT,89.9,-2.810810810810811,30485000.0,2758983210000.0
GEX,39.2,-2.729528535980149,5263500.0,209219860000.0
HHP,14.6,-2.666666666666667,621200.0,9141565000.0
PVM,18.3,-2.6595744680851063,100.0,1830000.0
VPX,31.3,-2.1875,507800.0,16006810000.0
DCM,41.1,-2.142857142857143,1167900.0,48444755000.0
TFC,41.5,-2.1226415094339623,1900.0,79300000.0
