symbol,close_price,percent_change,market_cap,impact
GAS,113.9,3.076923076923077,274834977208400.0,9.3443892250856e+17
STB,67.7,6.782334384858044,127629103973200.0,5.4880514708476e+17
GVR,42.05,6.590621039290241,168200000000000.0,4.3732e+17
VCB,65.7,1.0769230769230769,548967853675800.0,3.8427749757306e+17
HPG,29.6,4.593639575971731,227193789308000.0,2.953519261004e+17
VNM,72.1,2.7065527065527064,150685787584500.0,2.8630299641055e+17
BSR,29.45,5.178571428571429,147464975752700.0,2.13824214841415e+17
BCM,67.3,4.179566563467492,69655500000000.0,1.8806985e+17
BID,49.2,0.9230769230769231,345451006316400.0,1.5545295284238e+17
MBB,28.9,2.3008849557522124,232789497370100.0,1.51313173290565e+17
CTG,38.65,1.1780104712041886,300192410220050.0,1.350865845990225e+17
PLX,59.2,2.5996533795493932,76597582395200.0,1.148963735928e+17
TCB,36.0,0.5586592178770949,255104654904000.0,5.10209309808e+16
PGV,26.4,6.882591093117409,29659556414400.0,5.042124590448e+16
VGC,53.0,4.12573673870334,23762550000000.0,4.9901355e+16
ACB,24.35,1.4583333333333333,125077588185650.0,4.37771558649775e+16
KBC,36.05,3.0,33950259061950.0,3.56477720150475e+16
GEL,41.4,2.096177558569667,36846000000000.0,3.13191e+16
SAB,49.2,0.819672131147541,63102068702400.0,2.524082748096e+16
REE,62.8,0.8025682182985553,34016131129200.0,1.70080655646e+16
