exchange,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_buy_value,foreign_sell_value,foreign_net_value
HOSE,79954027,62031892882,-61951938855,2470803438700.0,2649790036288590.0,-2647319232849890.0
HNX,1126729,7831884588,-7830757859,42690078700.0,180864162874037.0,-180821472795337.0
UPCOM,74899,14831778664,-14831703765,3500841000.0,321952491438900.0,-321948990597900.0
ALL,81155655,84695556134,-84614400479,2516994358400.0,3152606690601527.0,-3150089696243127.0
