exchange,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_buy_value,foreign_sell_value,foreign_net_value
HOSE,60667588,62102164262,-62041496674,2002677360880.0,2673005899701910.0,-2671003222341030.0
HNX,1559944,7831891547,-7830331603,39363745500.0,179475715277000.0,-179436351531500.0
UPCOM,45289,14795239013,-14795193724,2551743900.0,298919135058400.0,-298916583314500.0
ALL,62272821,84729294822,-84667022001,2044592850280.0,3151400750037310.0,-3149356157187030.0
