symbol,close_price,percent_change,market_cap,impact
VHM,109.4,-1.1743450767841013,449350873237600.0,-5.8415613520888e+17
VCB,65.8,-0.9036144578313252,549803421185200.0,-3.2988205271112e+17
GEE,182.0,-2.4128686327077746,66611991992000.0,-2.99753963964e+17
VJC,172.2,-1.5437392795883362,101875471714800.0,-2.7506377362996e+17
FPT,92.8,-1.7989417989417988,158085460828800.0,-2.6874528340896e+17
MCH,148.0,-0.6711409395973155,191585044660000.0,-1.9158504466e+17
MWG,91.0,-1.0869565217391304,133742079107000.0,-1.33742079107e+17
VPL,83.9,-0.9445100354191263,150457901630300.0,-1.2036632130424e+17
BID,48.75,-0.7128309572301426,342291393453750.0,-1.198019877088125e+17
FRT,168.3,-2.094240837696335,28661790415500.0,-1.031824454958e+17
CTG,38.45,-0.6459948320413437,298639021292650.0,-7.46597553231625e+16
VRE,29.4,-2.0,68467261254000.0,-4.10803567524e+16
PNJ,119.2,-0.8319467554076538,40685184987200.0,-4.06851849872e+16
LPB,42.25,-0.7050528789659225,126212668725000.0,-3.78638006175e+16
MSN,78.9,-0.3787878787878788,114082729557300.0,-3.422481886719e+16
SJS,50.0,-3.8461538461538463,14873741400000.0,-2.97474828e+16
HDB,28.0,-0.7092198581560284,140147737044000.0,-2.80295474088e+16
HVN,27.95,-0.8865248226950355,86966374997450.0,-2.17415937493625e+16
BCM,64.0,-0.46656298600311047,66240000000000.0,-1.9872e+16
VVS,110.1,-4.344048653344918,2369902500000.0,-1.18495125e+16
