symbol,close_price,percent_change,market_cap,impact
VIC,162.8,0.3080714725816389,1254541850707200.0,6.272709253536e+17
TCX,64.2,4.390243902439024,148385974948200.0,4.0064213236014e+17
GAS,110.2,1.3799448022079117,265907063111200.0,3.988605946668e+17
BSR,27.8,6.106870229007633,139202931270800.0,2.2272469003328e+17
PLX,57.8,3.9568345323741005,74786153081800.0,1.6452953677996e+17
GMD,79.3,5.033112582781457,33821062143700.0,1.2852003614606e+17
DGC,74.3,5.84045584045584,28217600949800.0,1.1569216389418e+17
STB,63.8,1.4308426073131957,120276762680800.0,1.0824908641272e+17
HPG,28.0,1.8181818181818181,214913043940000.0,1.0745652197e+17
BVH,82.8,1.8450184501845017,61464324859200.0,9.21964872888e+16
GVR,39.3,1.0282776349614395,157200000000000.0,6.288e+16
GEL,39.65,4.617414248021108,35288500000000.0,6.1754875e+16
SSI,32.3,2.2151898734177213,80526781806000.0,5.63687472642e+16
VIX,23.85,4.835164835164836,36524602113300.0,4.017706232463e+16
VPB,28.95,0.5208333333333333,229687088248950.0,3.44530632373425e+16
PDN,117.9,2.8795811518324608,6551210178000.0,2.16189935874e+16
BFC,65.8,6.991869918699186,3761653939400.0,1.617511193942e+16
DPM,26.15,2.952755905511811,17781758400150.0,1.33363188001125e+16
PHR,62.9,2.2764227642276422,8522899554200.0,1.193205937588e+16
HAH,60.9,1.5,10283647810800.0,9255283029720000.0
