symbol,close_price,percent_change,total_trades,total_value
HNF,29.4,-14.782608695652174,2900.0,85260000.0
HTM,10.7,-9.322033898305085,8700.0,88480000.0
PHS,9.1,-9.0,200.0,1780000.0
SZG,37.7,-7.823960880195599,200.0,7540000.0
DCF,32.0,-6.158357771260997,200.0,6400000.0
DCV,166.0,-4.979965655409273,200.0,34100000.0
ACC,12.05,-4.743083003952568,10900.0,132790000.0
L40,69.9,-4.638472032742155,74800.0,5455730000.0
VVS,110.1,-4.344048653344918,165600.0,18525150000.0
QNP,31.5,-3.9634146341463414,8500.0,267750000.0
SJS,50.0,-3.8461538461538463,11700.0,588100000.0
KLB125031,96.0,-3.5175879396984926,100.0,9600000.0
BSQ,17.0,-3.4090909090909087,3500.0,59700000.0
LIC,27.1,-3.214285714285714,2000.0,54120000.0
MH3,31.0,-3.125,400.0,12300000.0
BHN,31.6,-3.067484662576687,7700.0,244840000.0
MVC,16.1,-3.0120481927710845,20400.0,315920000.0
VRC,13.1,-2.9629629629629632,1300.0,17045000.0
AVC,52.5,-2.7777777777777777,1000.0,52500000.0
NDN,11.0,-2.6548672566371683,104900.0,1162880000.0
TNG,22.4,-2.608695652173913,825500.0,18809770000.0
TMP,58.5,-2.5,400.0,23400000.0
PGB,11.8,-2.479338842975207,5500.0,65450000.0
BCA,15.8,-2.4691358024691357,400.0,6320000.0
CNG,25.8,-2.4574669187145557,22100.0,578405000.0
CDN,32.0,-2.4390243902439024,13700.0,440540000.0
GEE,182.0,-2.4128686327077746,259700.0,47702130000.0
DMC,61.0,-2.2435897435897436,200.0,12240000.0
IDJ,4.4,-2.2222222222222223,100600.0,443660000.0
FRT,168.3,-2.094240837696335,191800.0,32463500000.0
