symbol,close_price,percent_change,total_trades,total_value
PAP,28.8,14.741035856573706,200.0,5380000.0
NVL122001,111.0,12.122344670148182,1.0,111000.0
PMC,152.0,9.27390366642703,600.0,91340000.0
VEC,40.0,8.108108108108109,4300.0,172530000.0
PEG,4.0,8.108108108108109,1900.0,7600000.0
BFC,65.8,6.991869918699186,437000.0,27925190000.0
FDC,18.4,6.976744186046512,100.0,1840000.0
FMC,44.2,6.892382103990327,712000.0,31411800000.0
HRC,39.6,6.882591093117409,600.0,23760000.0
BDG,39.8,6.702412868632708,1200.0,47720000.0
SGR,17.7,6.306306306306306,238000.0,4162945000.0
BSR,27.8,6.106870229007633,19539900.0,536952385000.0
DGC,74.3,5.84045584045584,7934200.0,586246080000.0
DNH,59.0,5.169340463458111,100.0,5900000.0
GMD,79.3,5.033112582781457,2946400.0,228412000000.0
VIX,23.85,4.835164835164836,38286900.0,902495655000.0
SBH,43.9,4.77326968973747,300.0,12970000.0
DHB,8.8,4.761904761904762,2200.0,18520000.0
GEL,39.65,4.617414248021108,7973200.0,318239465000.0
LSG,39.0,4.557640750670242,39100.0,1514710000.0
GSM,30.9,4.391891891891892,200.0,6150000.0
TCX,64.2,4.390243902439024,2227500.0,140528170000.0
LLM,22.7,4.128440366972478,57500.0,1299020000.0
PLX,57.8,3.9568345323741005,7069600.0,408094020000.0
NKG,15.95,3.908794788273615,7950600.0,125145170000.0
VIW,13.4,3.875968992248062,1200.0,14170000.0
CSV,30.95,3.859060402684564,903600.0,27847840000.0
SJG,22.5,3.686635944700461,100.0,2250000.0
TVN,9.0,3.4482758620689653,512400.0,4576490000.0
HAN,9.0,3.4482758620689653,100.0,900000.0
