symbol,exchange,close_price,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_net_value
VIC,HOSE,162.8,201870.0,3498455407.0,-3498253537.0,-569515675823600.0
VHM,HOSE,109.4,257422.0,1719968222.0,-1719710800.0,-188136361520000.0
TCX,HOSE,64.2,389400.0,2081967591.0,-2081578191.0,-133637319862200.0
GAS,HOSE,110.2,300005.0,1126232194.0,-1125932189.0,-124077727227800.0
MSN,HOSE,78.9,369400.0,1168495198.0,-1168125798.0,-92165125462200.0
ACV,UPCOM,54.6,600.0,1679416429.0,-1679415829.0,-91696104263400.0
VNM,HOSE,70.6,198000.0,1036023139.0,-1035825139.0,-73129254813400.0
VPL,HOSE,83.9,13700.0,860685028.0,-860671328.0,-72210324419200.0
VCK,HOSE,48.85,31400.0,1477322275.0,-1477290875.0,-72165659243750.0
MCH,HOSE,148.0,2215.0,451483553.0,-451481338.0,-66819238024000.0
BSR,HOSE,27.8,5311900.0,2357108278.0,-2351796378.0,-65379939308400.0
HPG,HOSE,28.0,15015280.0,2142092878.0,-2127077598.0,-59558172744000.0
VPX,HOSE,30.6,0.0,1779465129.0,-1779465129.0,-54451632947400.0
SSI,HOSE,32.3,1408079.0,1683075917.0,-1681667838.0,-54317871167400.0
VCB,HOSE,65.8,206410.0,769895490.0,-769689080.0,-50645541464000.0
BID,HOSE,48.75,430400.0,890818630.0,-890388230.0,-43406426212500.0
MSR,UPCOM,38.5,9400.0,1098790491.0,-1098781091.0,-42303072003500.0
KSF,HNX,84.0,25600.0,449745754.0,-449720154.0,-37776492936000.0
VIX,HOSE,23.85,1043600.0,1406306398.0,-1405262798.0,-33515517732300.0
GEE,HOSE,182.0,16670.0,180976281.0,-180959611.0,-32934649202000.0
