symbol,close_price,percent_change,total_trades,total_value
VFC,78.8,-14.902807775377969,100.0,7880000.0
POM,5.9,-14.492753623188406,1414900.0,8347910000.0
PVX,2.5,-13.793103448275861,4154000.0,10503940000.0
VSN,15.8,-10.227272727272728,100.0,1580000.0
NFC,61.1,-8.395802098950526,100.0,6110000.0
TDP,30.7,-6.969696969696971,261300.0,8232895000.0
TTE,36.4,-6.905370843989769,600.0,21840000.0
AIC,9.1,-4.2105263157894735,100.0,910000.0
PRT,10.4,-3.7037037037037033,10600.0,110880000.0
SBB,16.8,-3.4482758620689653,25700.0,428890000.0
LIC,26.0,-2.9850746268656714,1000.0,26020000.0
VRC,13.5,-2.877697841726619,38900.0,527480000.0
BSQ,17.5,-2.7777777777777777,1000.0,17550000.0
DPG,45.05,-2.699784017278618,644300.0,29184785000.0
FPT,96.3,-2.5303643724696356,18508400.0,1796668780000.0
VIW,12.0,-2.4390243902439024,100.0,1200000.0
NLG,29.0,-2.356902356902357,2292000.0,67099125000.0
IDJ,4.2,-2.3255813953488373,306600.0,1297790000.0
NVL,12.65,-2.3166023166023164,5097700.0,64984600000.0
DSE125018,100.02,-2.2287390029325516,289.0,29562420.0
VGI,105.0,-2.0522388059701493,1064100.0,110535450000.0
MIG,18.45,-1.8617021276595744,162800.0,3014385000.0
HTN,7.5,-1.832460732984293,111700.0,844036000.0
AGG,14.45,-1.7006802721088436,334300.0,4846880000.0
PDR,17.4,-1.694915254237288,5315600.0,93056810000.0
GSM,29.4,-1.6722408026755853,1300.0,38250000.0
TDM,58.9,-1.669449081803005,100.0,5890000.0
RTB,29.5,-1.6666666666666667,1000.0,29500000.0
DXP,12.1,-1.6260162601626018,67400.0,820760000.0
HVH,12.3,-1.6,67900.0,843310000.0
