exchange,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_buy_value,foreign_sell_value,foreign_net_value
HOSE,88706045,62168430913,-62079724868,3459781347650.0,2606920000005200.0,-2603460218657550.0
HNX,3651672,7833329150,-7829677478,103198108840.0,179973244358884.0,-179870046250044.0
UPCOM,199360,14804284931,-14804085571,6203591000.0,306360898365400.0,-306354694774400.0
ALL,92557077,84806044994,-84713487917,3569183047490.0,3093254142729484.0,-3089684959681994.0
