symbol,close_price,percent_change,total_trades,total_value
CII424002,188.9,25.933333333333337,30.0,4538900.0
RCC,21.0,14.754098360655737,100.0,2100000.0
HTM,10.4,13.043478260869565,300.0,3120000.0
PEG,4.0,11.11111111111111,600.0,2000000.0
NVL122001,111.0,11.0,1.0,111000.0
S55,65.7,9.866220735785953,400.0,26280000.0
GVT,80.2,9.863013698630137,100.0,8020000.0
MH3,31.6,8.59106529209622,3600.0,108370000.0
SZG,40.9,8.488063660477453,100.0,4090000.0
LLM,21.2,8.16326530612245,29600.0,614900000.0
TIS,5.3,8.16326530612245,8200.0,41750000.0
BCA,16.6,7.792207792207792,57000.0,930250000.0
MSR,37.3,7.492795389048991,3741000.0,136694970000.0
BCR,1.5,7.142857142857142,4863600.0,7130340000.0
CNN,75.0,7.142857142857142,100.0,7500000.0
GEX,37.6,6.970128022759601,15872000.0,586788910000.0
GEE,176.5,6.969696969696971,964100.0,168132240000.0
DTL,12.35,6.926406926406926,2000.0,24700000.0
HRC,34.7,6.769230769230769,1100.0,37830000.0
VNG,7.32,6.705539358600583,400.0,2898000.0
PVM,19.5,6.557377049180328,8800.0,163560000.0
DCV,175.5,6.170598911070781,2300.0,389150000.0
TLP,6.9,6.153846153846154,1100.0,7600000.0
VPX,29.95,5.64373897707231,553000.0,16205285000.0
CC1,37.5,5.633802816901409,9100.0,361150000.0
SID,15.1,5.594405594405594,100.0,1510000.0
CLM,77.0,5.47945205479452,200.0,15600000.0
VGV,51.0,5.371900826446281,3700.0,197660000.0
EVF,12.1,5.217391304347826,10160900.0,121983865000.0
TV1,28.4,5.185185185185185,72400.0,2000810000.0
