symbol,exchange,close_price,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_net_value
VIC,HOSE,160.0,2688118.0,3497220556.0,-3494532438.0,-559125190080000.0
VHM,HOSE,109.0,202041.0,1720837653.0,-1720635612.0,-187549281708000.0
TCX,HOSE,58.2,1922901.0,2083169791.0,-2081246890.0,-121128568998000.0
GAS,HOSE,101.6,409701.0,1125484913.0,-1125075212.0,-114307641539200.0
MSN,HOSE,78.0,935801.0,1168941543.0,-1168005742.0,-91104447876000.0
ACV,UPCOM,53.9,4355.0,1679381874.0,-1679377519.0,-90518448274100.0
VPL,HOSE,85.6,51701.0,860494167.0,-860442466.0,-73653875089600.0
VNM,HOSE,69.5,938176.0,1035694845.0,-1034756669.0,-71915588495500.0
VCK,HOSE,46.3,602000.0,1477784570.0,-1477182570.0,-68393552991000.0
MCH,HOSE,149.0,721.0,451386857.0,-451386136.0,-67256534264000.0
HPG,HOSE,26.85,2452098.0,2162987183.0,-2160535085.0,-58010367032250.0
BSR,HOSE,24.5,2373500.0,2363703732.0,-2361330232.0,-57852590684000.0
VPX,HOSE,29.95,355100.0,1779238829.0,-1778883729.0,-53277567683550.0
SSI,HOSE,31.4,2922304.0,1681857982.0,-1678935678.0,-52718580289200.0
VCB,HOSE,64.4,518861.0,765599970.0,-765081109.0,-49271223419600.0
BID,HOSE,46.9,767201.0,890705347.0,-889938146.0,-41738099047400.0
MSR,UPCOM,37.3,205.0,1098800686.0,-1098800481.0,-40985257941300.0
KSF,HNX,79.5,0.0,449789322.0,-449789322.0,-35758251099000.0
GEE,HOSE,176.5,11454.0,181019148.0,-181007694.0,-31947857991000.0
VIX,HOSE,22.55,2553400.0,1410395790.0,-1407842390.0,-31746845894500.0
