symbol,exchange,close_price,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_net_value
WCS,HNX,283.5,0.0,-832444.0,832444.0,235997874000.0
SZL,HOSE,48.4,0.0,-4730375.0,4730375.0,228950150000.0
SGT,HOSE,16.4,0.0,-8144997.0,8144997.0,133577950800.0
ACC,HOSE,12.7,0.0,-7847096.0,7847096.0,99658119200.0
DRC,HOSE,15.15,0.0,-5171962.0,5171962.0,78355224300.0
MBB,HOSE,28.3,2346857.0,0.0,2346857.0,66416053100.0
QTP,UPCOM,12.5,0.0,-4259510.0,4259510.0,53243875000.0
VSN,UPCOM,15.8,0.0,-3319920.0,3319920.0,52454736000.0
VGI,UPCOM,105.0,0.0,-477365.0,477365.0,50123325000.0
UIC,HOSE,60.5,0.0,-686560.0,686560.0,41536880000.0
EID,HNX,22.6,0.0,-1819302.0,1819302.0,41116225200.0
DCL,HOSE,57.5,0.0,-689663.0,689663.0,39655622500.0
TCB,HOSE,35.45,1029835.0,0.0,1029835.0,36507650750.0
PET,HOSE,34.55,0.0,-848935.0,848935.0,29330704250.0
TCT,HOSE,20.6,0.0,-1300390.0,1300390.0,26788034000.0
HCC,HNX,26.8,0.0,-906515.0,906515.0,24294602000.0
DAD,HNX,16.0,0.0,-1398904.0,1398904.0,22382464000.0
VNC,HNX,38.9,0.0,-538610.0,538610.0,20951929000.0
MH3,UPCOM,31.6,0.0,-643700.0,643700.0,20340920000.0
PDN,HOSE,114.2,0.0,-128023.0,128023.0,14620226600.0
