symbol,close_price,percent_change,market_cap,impact
FPT,96.3,-2.5303643724696356,164047735752300.0,-4.1011933938075e+17
BID,46.9,-1.3669821240799158,329301873907300.0,-2.14046218039745e+17
BVH,76.0,-0.7832898172323759,56416530064000.0,-3.38499180384e+16
SAB,48.5,-0.6147540983606558,62204275042000.0,-1.86612825126e+16
MWG,92.8,-0.1076426264800861,136387526825600.0,-1.363875268256e+16
REE,61.6,-0.6451612903225806,33366141362400.0,-1.334645654496e+16
MBB,28.3,-0.1763668430335097,227956497424700.0,-1.1397824871235e+16
VRE,29.8,-0.5008347245409015,69398788618000.0,-1.04098182927e+16
HPG,26.85,-0.18587360594795538,206086258206750.0,-1.03043129103375e+16
NLG,29.0,-2.356902356902357,14067824107000.0,-9847476874900000.0
NVL,12.65,-2.3166023166023164,28235034644850.0,-8470510393455000.0
PGV,24.25,-1.2219959266802443,27244100115500.0,-8173230034650000.0
KBC,34.15,-0.7267441860465116,32160925019850.0,-8040231254962500.0
TDM,58.9,-1.669449081803005,6543790000000.0,-6543790000000000.0
KDH,28.3,-0.7017543859649122,31758681641700.0,-6351736328340000.0
TDP,30.7,-6.969696969696971,2708423075000.0,-6229373072500000.0
DPG,45.05,-2.699784017278618,4540996391600.0,-5676245489500000.0
CTD,80.9,-0.7361963190184049,8794125365900.0,-5276475219540000.0
PDR,17.4,-1.694915254237288,17361883194600.0,-5208564958380000.0
BMP,159.0,-0.18832391713747645,13015889142000.0,-3904766742600000.0
