time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-02-11,35.642,36.509,35.642,35.835,32710,35.835,35.835,35.835,,0.0,0.0,0.0,,,,,CDN
2025-02-12,35.931,36.605,35.835,36.605,12808,36.22,36.22,36.22,,0.061424501424504285,0.012284900284900858,0.04913960113960343,,,2.14873726803404,,CDN
2025-02-13,36.027,36.991,35.546,36.22,37774,36.22,36.22,36.22,,0.07813686577220125,0.025455293382360935,0.05268157238984031,,,-1.0517688840322337,,CDN
2025-02-14,36.894,37.569,35.738,35.738,44446,36.0995,36.0995,36.0995,,0.051890007460315246,0.0307422361979518,0.021147771262363446,,,-1.3307564881281042,,CDN
2025-02-17,36.22,36.22,34.871,35.353,68674,35.9502,35.9502,35.9502,,2.2639752025099824e-05,0.02459831690876646,-0.02457567715674136,,,-1.077284682970503,,CDN
2025-02-18,35.353,36.22,35.064,35.353,20300,35.85066666666666,35.85066666666666,35.85066666666666,,-0.04061444480292664,0.011555764566427842,-0.05217020936935449,,,0.0,,CDN
2025-02-19,35.353,36.316,34.679,35.353,50651,35.77957142857143,35.77957142857143,35.77957142857143,,-0.07198977378697435,-0.005153343104252597,-0.06683643068272176,,,0.0,,CDN
2025-02-20,35.353,35.738,34.968,35.16,27801,35.702125,35.702125,35.702125,,-0.11114719935810768,-0.026352114355023618,-0.08479508500308407,,,-0.5459225525415223,,CDN
2025-02-21,35.257,35.642,35.064,35.546,26850,35.68477777777778,35.68477777777778,35.68477777777778,,-0.10976743649379728,-0.04303517878277835,-0.06673225771101893,,,1.0978384527872587,,CDN
2025-02-24,35.642,35.931,35.257,35.449,37878,35.661199999999994,35.661199999999994,35.661199999999994,,-0.11517340648336472,-0.05746282432289562,-0.05771058216046909,,,-0.27288583806898137,,CDN
2025-02-25,35.257,35.449,34.968,35.353,21513,35.63318181818182,35.63318181818182,35.63318181818182,,-0.12575445526170625,-0.07112115051065776,-0.054633304751048495,,,-0.27081158847921394,,CDN
2025-02-26,35.642,36.894,35.642,36.509,63326,35.70616666666667,35.70616666666667,35.70616666666667,,-0.04039482732152777,-0.06497588587283176,0.02458105855130399,,,3.2698780867253197,,CDN
2025-02-27,36.509,36.509,35.931,36.027,14840,35.73084615384615,35.73084615384615,35.73084615384615,,-0.011507428481543513,-0.054282194394574115,0.0427747659130306,,,-1.320222410912375,,CDN
2025-02-28,36.413,36.413,35.642,36.22,18253,35.76578571428571,35.76578571428571,35.76578571428571,57.35572638287226,0.02665229913931455,-0.038095295687796384,0.06474759482711093,,,0.5357093291142645,,CDN
2025-03-03,36.22,36.22,35.449,35.931,11352,35.7768,35.7768,35.7768,52.10836768641393,0.03319166067542767,-0.023837904415151576,0.05702956509057924,,,-0.7979017117614617,,CDN
2025-03-04,36.124,36.124,34.968,35.642,52030,35.768375,35.768375,35.768375,47.434827541347744,0.014882708480939755,-0.016093781835933314,0.03097649031687307,,,-0.8043193899418211,,CDN
2025-03-05,35.064,35.738,34.775,35.546,19100,35.75529411764706,35.75529411764706,35.75529411764706,45.96021266181537,-0.0072896353578357775,-0.014332952540313807,0.0070433171824780295,,,-0.26934515459290376,,CDN
2025-03-06,36.027,36.509,34.871,35.642,8211,35.748999999999995,35.748999999999995,35.748999999999995,47.71077731474496,-0.016919937392685824,-0.014850349510788211,-0.0020695878818976134,,,0.2700725820064198,,CDN
2025-03-07,35.738,35.835,35.353,35.642,10502,35.74336842105263,35.74336842105263,35.74336842105263,47.71077731474496,-0.02427222602519663,-0.016734724813669895,-0.007537501211526736,,,0.0,,CDN
2025-03-10,35.642,35.642,34.871,34.871,7251,35.69975,35.69975,35.69975,36.65185132301989,-0.09126023306177444,-0.031639826463290804,-0.05962040659848364,36.59126151954065,34.80823848045935,-2.1631782728241955,,CDN
