time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-02-11,20.8,20.8,19.6,19.6,3200,19.6,19.6,19.6,,0.0,0.0,0.0,,,,,DNP
2025-02-12,20.0,20.0,20.0,20.0,402,19.8,19.8,19.8,,0.03190883190883298,0.006381766381766596,0.025527065527066385,,,2.0408163265306145,,DNP
2025-02-13,20.0,20.0,19.6,19.6,600,19.733333333333334,19.733333333333334,19.733333333333334,,0.024636163667501876,0.010032645838913654,0.014603517828588222,,,-1.9999999999999907,,DNP
2025-02-14,20.0,20.8,19.6,19.6,1200,19.700000000000003,19.700000000000003,19.700000000000003,,0.018657450217254734,0.01175760671458187,0.006899843502672864,,,0.0,,DNP
2025-02-17,19.8,19.8,19.8,19.8,200,19.720000000000002,19.720000000000002,19.720000000000002,,0.02971506845176819,0.015349099062019134,0.014365969389749055,,,1.0204081632652962,,DNP
2025-02-18,19.5,20.9,19.1,20.9,3576,19.916666666666668,19.916666666666668,19.916666666666668,,0.12578909905200675,0.03743709906001666,0.08835199999199009,,,5.555555555555536,,DNP
2025-02-19,19.5,19.5,19.5,19.5,419,19.857142857142858,19.857142857142858,19.857142857142858,,0.08794636976100279,0.04753895320021388,0.0404074165607889,,,-6.698564593301426,,DNP
2025-02-20,19.7,19.7,19.6,19.6,800,19.825,19.825,19.825,,0.06527247792604385,0.05108565814537988,0.014186819780663967,,,0.512820512820511,,DNP
2025-02-21,19.6,20.1,19.6,20.1,800,19.855555555555558,19.855555555555558,19.855555555555558,,0.08665022673995182,0.058198571864294266,0.028451654875657553,,,2.5510204081632626,,DNP
2025-02-24,18.7,20.1,18.7,20.1,215,19.880000000000003,19.880000000000003,19.880000000000003,,0.1024117082694822,0.06704119914533185,0.03537050912415035,,,0.0,,DNP
2025-02-25,20.1,20.1,20.1,20.1,0,19.900000000000002,19.900000000000002,19.900000000000002,,0.11359336236505158,0.0763516317892758,0.037241730575775775,,,0.0,,DNP
2025-02-26,19.9,19.9,19.9,19.9,200,19.900000000000002,19.900000000000002,19.900000000000002,,0.10510499036168852,0.08210230350375836,0.023002686857930166,,,-0.9950248756219082,,DNP
2025-02-27,19.4,20.1,19.4,20.1,200,19.915384615384617,19.915384615384617,19.915384615384617,,0.11321119474239794,0.08832408175148629,0.024887112990911647,,,1.005025125628145,,DNP
2025-02-28,19.3,20.0,19.3,20.0,6700,19.921428571428574,19.921428571428574,19.921428571428574,53.40025374439153,0.11029484552793889,0.09271823450677683,0.017576611021162064,,,-0.4975124378109541,,DNP
2025-03-03,19.9,19.9,19.9,19.9,100,19.92,19.92,19.92,51.389890084426995,0.09877582724848466,0.0939297530551184,0.004846074193366259,,,-0.5000000000000115,,DNP
