time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-02-11,16.311,16.587,16.173,16.173,18900,16.173,16.173,16.173,,0.0,0.0,0.0,,,,,STK
2025-02-12,16.208,17.277,16.173,17.277,140500,16.725,16.725,16.725,,0.08806837606837803,0.017613675213675607,0.07045470085470243,,,6.826191801150072,,STK
2025-02-13,17.932,18.484,17.38,18.415,284900,17.28833333333333,17.28833333333333,17.28833333333333,,0.24684481457131113,0.06345990308520272,0.18338491148610842,,,6.586791688371818,,STK
2025-02-14,18.622,18.622,18.07,18.174,122200,17.50975,17.50975,17.50975,,0.34920419157991844,0.12060876078414587,0.22859543079577258,,,-1.3087157208797162,,STK
2025-02-17,18.174,18.967,18.174,18.484,238200,17.7046,17.7046,17.7046,,0.450150094460394,0.1865170275193955,0.26363306694099853,,,1.7057334653901357,,STK
2025-02-18,18.518,18.691,18.381,18.622,87400,17.857499999999998,17.857499999999998,17.857499999999998,,0.5351173962105094,0.2562371012576183,0.2788802949528911,,,0.7465916468296863,,STK
2025-02-19,18.76,18.76,18.346,18.587,78900,17.961714285714287,17.961714285714287,17.961714285714287,,0.5927969927815617,0.32354907956240697,0.26924791321915476,,,-0.1879497368703742,,STK
2025-02-20,18.587,18.587,18.346,18.381,75300,18.014125,18.014125,18.014125,,0.6147989901773236,0.38179906168539035,0.2329999284919333,,,-1.1083015010491137,,STK
2025-02-21,18.415,19.312,18.415,18.484,98300,18.066333333333333,18.066333333333333,18.066333333333333,,0.633247290243208,0.43208870739695393,0.2011585828462541,,,0.5603612425874704,,STK
2025-02-24,18.449,18.932,18.07,18.794,115400,18.1391,18.1391,18.1391,,0.6652139379843653,0.47871375351443624,0.1865001844699291,,,1.67712616316813,,STK
2025-02-25,18.794,18.794,18.277,18.415,87200,18.16418181818182,18.16418181818182,18.16418181818182,,0.6524446285167862,0.5134599285149062,0.13898470000188,,,-2.016601042886035,,STK
2025-02-26,18.415,18.518,18.312,18.346,58500,18.179333333333332,18.179333333333332,18.179333333333332,,0.629500643851113,0.5366680715821476,0.09283257226896546,,,-0.3746945424925263,,STK
2025-02-27,18.484,18.518,18.312,18.484,44600,18.20276923076923,18.20276923076923,18.20276923076923,,0.6153593379865434,0.5524063248630268,0.06295301312351664,,,0.752207565681906,,STK
2025-02-28,18.484,18.691,18.208,18.691,100400,18.237642857142855,18.237642857142855,18.237642857142855,74.36327596069084,0.6137801457794119,0.5646810890463038,0.049099056733108104,,,1.1198874702445183,,STK
2025-03-03,18.725,19.105,18.484,18.76,136700,18.272466666666666,18.272466666666666,18.272466666666666,75.11492708294205,0.6110525148959951,0.5739553742162421,0.037097140679753005,,,0.36916162859130797,,STK
2025-03-04,18.967,18.967,18.484,18.76,49200,18.3029375,18.3029375,18.3029375,75.11492708294205,0.6019519207292596,0.5795546835188456,0.02239723721041398,,,0.0,,STK
2025-03-05,18.725,18.76,18.415,18.484,27400,18.31358823529412,18.31358823529412,18.31358823529412,66.12148871420925,0.5659448806188081,0.5768327229388381,-0.010887842320030039,,,-1.4712153518123605,,STK
2025-03-06,18.484,18.622,18.415,18.484,33600,18.323055555555555,18.323055555555555,18.323055555555555,66.12148871420925,0.5312847223485839,0.5677231228207873,-0.03643840047220337,,,0.0,,STK
2025-03-07,18.622,18.622,18.277,18.449,54000,18.329684210526317,18.329684210526317,18.329684210526317,64.97732111763369,0.49528277814998845,0.5532350538866275,-0.05795227573663908,,,-0.18935295390608564,,STK
2025-03-10,18.587,18.967,18.484,18.587,79400,18.34255,18.34255,18.34255,67.37449732349239,0.4724404255368455,0.5370761282166712,-0.06463570267982566,19.54478221769472,17.140317782305278,0.7480080221150098,,STK
2025-03-11,18.277,18.553,18.277,18.415,68900,18.45465,18.346,18.346,61.705472936271235,0.43543926123267696,0.5167487548198724,-0.08130949358719541,19.089173368571377,17.820126631428625,-0.9253779523322736,2.296524615541765,STK
2025-03-12,18.277,18.898,18.277,18.794,170400,18.5305,18.366363636363637,18.366363636363637,68.0790597908797,0.4317210924902959,0.4997432223539571,-0.06802212986366118,18.863169901190208,18.197830098809792,2.058104805864791,1.8231012329125977,STK
2025-03-13,18.829,18.829,18.312,18.415,72300,18.5305,18.368478260869566,18.368478260869566,57.73136304097852,0.39365448059822583,0.47852547400281087,-0.08487099340458504,18.863169901190208,18.197830098809792,-2.016601042886035,1.2063665401842139,STK
2025-03-14,18.415,18.484,18.277,18.312,51500,18.5374,18.366125,18.366125,55.272567155886044,0.35112759685830497,0.4530458985739097,-0.10191830171560473,18.84360832262059,18.231191677379414,-0.5593266358946414,1.1745714816524813,STK
