time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-02-11,24.2,25.0,24.2,25.0,3700,25.0,25.0,25.0,,0.0,0.0,0.0,,,,,VCR
2025-02-12,24.7,28.4,24.7,28.4,50707,26.7,26.7,26.7,,0.2712250712250679,0.05424501424501358,0.21698005698005432,,,13.59999999999999,,VCR
2025-02-13,31.8,31.8,31.8,31.8,41217,28.400000000000002,28.400000000000002,28.400000000000002,,0.7518575336239124,0.19376751812079338,0.558090015503119,,,11.9718309859155,,VCR
2025-02-14,30.2,31.2,27.2,29.0,27105,28.55,28.55,28.55,,0.896491428282566,0.33431230015314795,0.5621791281294181,,,-8.805031446540879,,VCR
2025-02-17,30.0,32.2,30.0,32.2,40003,29.28,29.28,29.28,,1.2548628109549256,0.5184224023135036,0.736440408641422,,,11.03448275862069,,VCR
2025-02-18,33.2,36.5,30.4,31.2,13331,29.599999999999998,29.599999999999998,29.599999999999998,,1.4415656001032993,0.7030510418714627,0.7385145582318365,,,-3.105590062111807,,VCR
2025-02-19,30.8,31.0,30.7,31.0,4500,29.8,29.8,29.8,,1.5554602001471451,0.8735328735265993,0.6819273266205459,,,-0.6410256410256387,,VCR
2025-02-20,31.0,31.0,30.0,30.0,7000,29.825,29.825,29.825,,1.547195739211162,1.008265446663512,0.53893029254765,,,-3.2258064516129004,,VCR
2025-02-21,30.3,34.9,30.2,34.5,8800,30.34444444444445,30.34444444444445,30.34444444444445,,1.8820632329027802,1.1830250039113657,0.6990382289914145,,,14.999999999999991,,VCR
2025-02-24,36.5,36.5,31.0,31.1,1507,30.419999999999998,30.419999999999998,30.419999999999998,,1.8517507196081517,1.316770147050723,0.5349805725574288,,,-9.85507246376811,,VCR
2025-02-25,31.5,31.7,30.5,31.0,5603,30.472727272727273,30.472727272727273,30.472727272727273,,1.798921819225086,1.4132004814855956,0.38572133773949036,,,-0.3215434083601365,,VCR
2025-02-26,31.1,31.2,30.5,31.0,11203,30.516666666666666,30.516666666666666,30.516666666666666,,1.7370311215548746,1.4779666094994515,0.25906451205542314,,,0.0,,VCR
2025-02-27,30.4,31.0,30.4,31.0,700,30.553846153846152,30.553846153846152,30.553846153846152,,1.6687460322513772,1.5161224940498366,0.15262353820154062,,,0.0,,VCR
2025-02-28,31.0,32.0,30.0,30.7,13000,30.564285714285717,30.564285714285717,30.564285714285717,57.93491910832686,1.572297645677395,1.5273575243753483,0.04494012130204661,,,-0.9677419354838679,,VCR
2025-03-03,31.0,33.0,30.5,32.9,22400,30.720000000000002,30.720000000000002,30.720000000000002,64.33360464855917,1.6543133240518841,1.5527486843106555,0.10156463974122865,,,7.166123778501632,,VCR
2025-03-04,31.8,32.0,31.8,32.0,904,30.8,30.8,30.8,60.293051570406334,1.6279231766352957,1.5677835827755837,0.060139593859712015,,,-2.7355623100303927,,VCR
2025-03-05,33.8,33.8,30.7,30.7,3609,30.794117647058822,30.794117647058822,30.794117647058822,54.92678057082222,1.484991600435574,1.5512251863075819,-0.06623358587200778,,,-4.062500000000002,,VCR
