symbol,close_price,percent_change,market_cap,impact
VIC,159.0,5.437665782493369,1225258932816000.0,1.00471232490912e+19
VHM,109.0,5.825242718446602,447707908436000.0,2.686247450616e+18
MWG,92.9,1.088139281828074,136534496143300.0,1.365344961433e+17
PNJ,118.5,2.2433132010353756,40446261921000.0,1.051602809946e+17
GMD,74.5,4.488078541374474,31773885620500.0,1.016764339856e+17
BSR,23.9,1.9189765458422177,119674462495400.0,5.385350812293e+16
VCF,318.0,1.9557550496954152,8452164930000.0,5.1558206073e+16
EIB,22.35,4.439252336448598,41767917066450.0,3.96795212131275e+16
VRE,29.95,1.870748299319728,69748111379500.0,3.8361461258725e+16
TCB,35.45,0.424929178470255,251207222676300.0,3.7681083401445e+16
FPT,98.8,0.2028397565922921,168306503554800.0,3.366130071096e+16
VCK,46.35,0.9803921568627451,70536621195000.0,3.174147953775e+16
BMP,159.3,1.4649681528662422,13040447423400.0,2.999302907382e+16
CTG,38.0,0.2638522427440633,295143896206000.0,2.95143896206e+16
HVN,27.05,1.3108614232209739,84166026607550.0,2.94581093126425e+16
TCX,56.0,0.35842293906810035,129433249176000.0,2.58866498352e+16
ACB,23.85,0.8456659619450317,122509259886150.0,2.450185197723e+16
CRV,29.9,3.281519861830743,20105257536000.0,1.90999946592e+16
VVS,110.5,6.9699903194578905,2378512500000.0,1.712529e+16
BFC,60.5,6.890459363957597,3458663576500.0,1.348878794835e+16
