exchange,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_buy_value,foreign_sell_value,foreign_net_value
HOSE,60445272,62281407149,-62220961877,2774625300350.0,2586394761969060.0,-2583620136668710.0
HNX,1860973,7838366599,-7836505626,60547632300.0,185586461193800.0,-185525913561500.0
UPCOM,71451,14836028686,-14835957235,2862233800.0,279415232287300.0,-279412370053500.0
ALL,62377696,84955802434,-84893424738,2838035166450.0,3051396455450160.0,-3048558420283710.0
