symbol,exchange,close_price,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_net_value
VIC,HOSE,159.0,2754520.0,3498372964.0,-3495618444.0,-555803332596000.0
VHM,HOSE,109.0,1635996.0,1719515354.0,-1717879358.0,-187248850022000.0
TCX,HOSE,56.0,438100.0,2084457893.0,-2084019793.0,-116705108408000.0
GAS,HOSE,101.4,521600.0,1124931689.0,-1124410089.0,-114015183024600.0
MSN,HOSE,78.0,816110.0,1168680485.0,-1167864375.0,-91093421250000.0
ACV,UPCOM,53.8,19601.0,1679378329.0,-1679358728.0,-90349499566400.0
VPL,HOSE,85.4,53540.0,860470208.0,-860416668.0,-73479583447200.0
VNM,HOSE,69.0,627800.0,1036324579.0,-1035696779.0,-71463077751000.0
VCK,HOSE,46.35,500000.0,1478332370.0,-1477832370.0,-68497530349500.0
MCH,HOSE,149.0,86900.0,451147539.0,-451060639.0,-67208035211000.0
HPG,HOSE,26.9,3290910.0,2159230682.0,-2155939772.0,-57994779866800.0
BSR,HOSE,23.9,1196200.0,2365542577.0,-2364346377.0,-56507878410300.0
SSI,HOSE,31.25,729400.0,1684238781.0,-1683509381.0,-52609668156250.0
VPX,HOSE,28.35,100.0,1779576119.0,-1779576019.0,-50450980138650.0
VCB,HOSE,64.2,3582770.0,758984781.0,-755402011.0,-48496809106200.0
BID,HOSE,47.55,605617.0,887405426.0,-886799809.0,-42167330917950.0
MSR,UPCOM,34.8,46100.0,1098791591.0,-1098745491.0,-38236343086800.0
KSF,HNX,80.0,1400.0,449791172.0,-449789772.0,-35983181760000.0
VIX,HOSE,21.9,52020.0,1411994480.0,-1411942460.0,-30921539874000.0
GEE,HOSE,165.0,1540.0,181017271.0,-181015731.0,-29867595615000.0
