symbol,close_price,percent_change,total_trades,total_value
VEC,34.6,14.950166112956811,9500.0,315570000.0
VGV,48.8,14.823529411764705,2000.0,96820000.0
PSP,19.5,14.705882352941178,100.0,1950000.0
BNW,18.5,13.496932515337424,600.0,11200000.0
SLD,10.8,12.5,100.0,1080000.0
HPW,24.4,10.909090909090908,300.0,6840000.0
SBB,17.4,8.75,100.0,1740000.0
TED,73.0,8.630952380952381,100.0,7300000.0
SAF,57.0,8.571428571428571,2200.0,125400000.0
DHB,8.5,7.59493670886076,100.0,850000.0
VVS,110.5,6.9699903194578905,100600.0,11032010000.0
HRC,32.5,6.907894736842106,1100.0,35750000.0
RTB,31.0,6.896551724137931,200.0,6000000.0
BFC,60.5,6.890459363957597,371400.0,21906350000.0
MSR,34.8,6.748466257668712,1653200.0,57367540000.0
VRC,13.9,6.106870229007633,344000.0,4492130000.0
VHM,109.0,5.825242718446602,6584900.0,701210300000.0
XMC,9.5,5.555555555555555,100.0,950000.0
VIC,159.0,5.437665782493369,4346600.0,686113110000.0
CRE,7.9,5.333333333333334,232100.0,1773735000.0
HHS,12.2,5.172413793103448,3220300.0,38347010000.0
HHP,14.4,5.109489051094891,2151800.0,30540320000.0
PVM,18.6,4.49438202247191,7300.0,133900000.0
GMD,74.5,4.488078541374474,4712200.0,347328970000.0
EIB,22.35,4.439252336448598,19915800.0,444695155000.0
NVT,7.31,4.428571428571428,400.0,2831000.0
GVT,73.0,4.285714285714286,200.0,14590000.0
PRE,22.9,4.090909090909091,15900.0,365030000.0
FIC,16.3,3.821656050955414,13300.0,218120000.0
MZG,11.0,3.7735849056603774,341500.0,3726750000.0
