symbol,close_price,percent_change,market_cap,impact
BID,47.55,-1.958762886597938,333865759153350.0,-3.171724711956825e+17
VCB,64.2,-0.7727975270479135,536434341034800.0,-2.682171705174e+17
MCH,149.0,-0.6666666666666667,192879538205000.0,-1.92879538205e+17
MBB,28.35,-2.2413793103448274,228359247420150.0,-1.484335108230975e+17
GAS,101.4,-0.5882352941176471,244673105258400.0,-1.4680386315504e+17
GEE,165.0,-1.1976047904191618,60389992740000.0,-1.2077998548e+17
BVH,76.6,-2.1711366538952745,56861923722400.0,-9.666527032808e+16
VPL,85.4,-0.6976744186046512,153147852195800.0,-9.188871131748e+16
BCM,62.8,-1.1023622047244095,64998000000000.0,-4.54986e+16
LPB,41.85,-0.47562425683709864,125017755885000.0,-2.5003551177e+16
GEX,35.15,-1.9525801952580195,31719323022200.0,-2.220352611554e+16
VTP,102.0,-1.639344262295082,12421870284000.0,-2.11171794828e+16
DGC,67.8,-1.0218978102189782,25749035590800.0,-1.802432491356e+16
TMP,57.7,-6.178861788617886,4039000000000.0,-1.53482e+16
VNM,69.0,-0.1447178002894356,144206925705000.0,-1.44206925705e+16
DCM,38.9,-1.5189873417721518,20593660000000.0,-1.2356196e+16
VPB,28.25,-0.17667844522968199,224133341728250.0,-1.12066670864125e+16
CTD,81.5,-1.4510278113663846,8859347556500.0,-1.06312170678e+16
SHB,15.35,-0.967741935483871,70520970368400.0,-1.057814555526e+16
VIX,21.9,-1.3513513513513513,33538313890200.0,-1.006149416706e+16
