last_updated,name,value,unit,source
2025-03-09,Tỷ giá trung tâm (từ 04/01/2016),24754.0,USD/VNĐ,
2025-04-09,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-04-09,Tỷ giá trung tâm (từ 04/01/2016),24964.0,USD/VNĐ,
2025-01-10,Tỷ giá trung tâm (từ 04/01/2016),24341.0,USD/VNĐ,
2025-01-10,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-02-10,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-02-10,Tỷ giá trung tâm (từ 04/01/2016),24522.0,USD/VNĐ,
2025-03-10,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-10,Tỷ giá trung tâm (từ 04/01/2016),24763.0,USD/VNĐ,
2025-02-11,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-02-11,Tỷ giá trung tâm (từ 04/01/2016),24550.0,USD/VNĐ,
2025-03-11,Tỷ giá trung tâm (từ 04/01/2016),24758.0,USD/VNĐ,
2025-03-11,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-01-12,Tỷ giá trung tâm (từ 04/01/2016),24343.0,USD/VNĐ,
2025-01-12,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-02-12,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-02-12,Tỷ giá trung tâm (từ 04/01/2016),24572.0,USD/VNĐ,
2025-03-12,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-12,Tỷ giá trung tâm (từ 04/01/2016),24758.0,USD/VNĐ,
2025-01-13,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-01-13,Tỷ giá trung tâm (từ 04/01/2016),24346.0,USD/VNĐ,
2025-02-13,Tỷ giá trung tâm (từ 04/01/2016),24562.0,USD/VNĐ,
2025-02-13,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-13,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-13,Tỷ giá trung tâm (từ 04/01/2016),24779.0,USD/VNĐ,
2025-01-14,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-01-14,Tỷ giá trung tâm (từ 04/01/2016),24338.0,USD/VNĐ,
2025-02-14,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-02-14,Tỷ giá trung tâm (từ 04/01/2016),24562.0,USD/VNĐ,
2025-03-14,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-14,Tỷ giá trung tâm (từ 04/01/2016),24779.0,USD/VNĐ,
2025-01-15,Tỷ giá trung tâm (từ 04/01/2016),24333.0,USD/VNĐ,
2025-01-15,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-01-16,Tỷ giá trung tâm (từ 04/01/2016),24341.0,USD/VNĐ,
2025-01-16,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-02-16,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-02-16,Tỷ giá trung tâm (từ 04/01/2016),24577.0,USD/VNĐ,
2025-03-16,Tỷ giá trung tâm (từ 04/01/2016),24794.0,USD/VNĐ,
2025-03-16,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-01-17,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-01-17,Tỷ giá trung tâm (từ 04/01/2016),24341.0,USD/VNĐ,
2025-02-17,Tỷ giá trung tâm (từ 04/01/2016),24602.0,USD/VNĐ,
2025-02-17,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-17,Tỷ giá trung tâm (từ 04/01/2016),24793.0,USD/VNĐ,
2025-03-17,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
