last_updated,group_name,name,value,unit,source
2017-05-05,Tổng FDI,Giải ngân,1.68,Tỷ USD,Cục Đầu tư nước ngoài
2017-05-05,Tổng FDI,Giải ngân,1.6,Tỷ USD,Cục Đầu tư nước ngoài
2017-05-05,Tổng FDI,Đăng ký,0.49,Tỷ USD,Cục Đầu tư nước ngoài
2024-11-29,Tổng FDI,Đăng ký,0.49,Tỷ USD,Cục Đầu tư nước ngoài
2024-11-29,Tổng FDI,Giải ngân,1.6,Tỷ USD,Cục Đầu tư nước ngoài
2017-05-05,Tổng FDI,Đăng ký,1.58,Tỷ USD,Cục Đầu tư nước ngoài
2017-05-05,Tổng FDI,Giải ngân,0.85,Tỷ USD,Cục Đầu tư nước ngoài
2017-05-05,Tổng FDI,Đăng ký,1.82,Tỷ USD,Cục Đầu tư nước ngoài
2017-05-05,Tổng FDI,Giải ngân,0.7,Tỷ USD,Cục Đầu tư nước ngoài
2017-05-05,Tổng FDI,Đăng ký,4.31,Tỷ USD,Cục Đầu tư nước ngoài
2017-05-05,Tổng FDI,Giải ngân,2.07,Tỷ USD,Cục Đầu tư nước ngoài
2017-07-02,Tổng FDI,Đăng ký,3.24,Tỷ USD,Cục Đầu tư nước ngoài
2017-07-02,Tổng FDI,Giải ngân,1.18,Tỷ USD,Cục Đầu tư nước ngoài
2017-07-02,Tổng FDI,Đăng ký,1.18,Tỷ USD,Cục Đầu tư nước ngoài
2017-07-02,Tổng FDI,Giải ngân,1.35,Tỷ USD,Cục Đầu tư nước ngoài
2017-07-02,Tổng FDI,Đăng ký,7.09,Tỷ USD,Cục Đầu tư nước ngoài
2017-07-02,Tổng FDI,Giải ngân,1.57,Tỷ USD,Cục Đầu tư nước ngoài
2017-07-27,Tổng FDI,Giải ngân,1.33,Tỷ USD,Cục Đầu tư nước ngoài
2017-07-27,Tổng FDI,Đăng ký,2.71,Tỷ USD,Cục Đầu tư nước ngoài
2017-08-27,Tổng FDI,Đăng ký,1.43,Tỷ USD,Cục Đầu tư nước ngoài
2017-08-27,Tổng FDI,Giải ngân,1.25,Tỷ USD,Cục Đầu tư nước ngoài
2017-10-02,Tổng FDI,Đăng ký,2.12,Tỷ USD,Cục Đầu tư nước ngoài
2017-10-02,Tổng FDI,Giải ngân,2.2,Tỷ USD,Cục Đầu tư nước ngoài
2017-10-30,Tổng FDI,Đăng ký,2.76,Tỷ USD,Cục Đầu tư nước ngoài
2017-10-30,Tổng FDI,Giải ngân,1.7,Tỷ USD,Cục Đầu tư nước ngoài
2017-11-27,Tổng FDI,Đăng ký,4.85,Tỷ USD,Cục Đầu tư nước ngoài
2017-11-27,Tổng FDI,Giải ngân,1.8,Tỷ USD,Cục Đầu tư nước ngoài
2017-12-27,Tổng FDI,Đăng ký,2.79,Tỷ USD,Cục Đầu tư nước ngoài
2017-12-27,Tổng FDI,Giải ngân,1.5,Tỷ USD,Cục Đầu tư nước ngoài
2018-02-01,Tổng FDI,Đăng ký,1.25,Tỷ USD,Cục Đầu tư nước ngoài
2018-02-01,Tổng FDI,Giải ngân,1.05,Tỷ USD,Cục Đầu tư nước ngoài
