last_updated,group_name,name,value,unit,source
2015-12-08,Tăng trưởng,Toàn ngành công nghiệp,-2.8,%,
2015-12-08,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",1.1,%,
2015-12-08,Tăng trưởng,Khai khoáng,-2.3,%,
2015-12-08,Tăng trưởng,"Công nghiệp chế biến, chế tạo",-3.3,%,
2015-12-08,Tăng trưởng,Sản xuất và Phân phối điện,0.5,%,
2015-03-01,Tăng trưởng,Khai khoáng,-14.0,%,
2015-03-01,Tăng trưởng,"Công nghiệp chế biến, chế tạo",-21.2,%,
2015-03-01,Tăng trưởng,Sản xuất và Phân phối điện,-17.7,%,
2015-03-01,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",0.0,%,
2015-03-01,Tăng trưởng,Toàn ngành công nghiệp,-19.2,%,
2015-06-09,Tăng trưởng,Toàn ngành công nghiệp,25.8,%,
2015-06-09,Tăng trưởng,Khai khoáng,19.4,%,
2015-06-09,Tăng trưởng,"Công nghiệp chế biến, chế tạo",28.0,%,
2015-06-09,Tăng trưởng,Sản xuất và Phân phối điện,28.6,%,
2015-06-09,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",1.6,%,
2015-06-09,Tăng trưởng,Toàn ngành công nghiệp,-0.4,%,
2015-06-09,Tăng trưởng,Khai khoáng,-5.2,%,
2015-06-09,Tăng trưởng,"Công nghiệp chế biến, chế tạo",1.1,%,
2015-06-09,Tăng trưởng,Sản xuất và Phân phối điện,-1.5,%,
2015-06-09,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",3.2,%,
2015-06-09,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",4.5,%,
2015-06-09,Tăng trưởng,Sản xuất và Phân phối điện,4.9,%,
2015-06-09,Tăng trưởng,Khai khoáng,-3.8,%,
2015-06-09,Tăng trưởng,Toàn ngành công nghiệp,2.1,%,
2015-06-09,Tăng trưởng,"Công nghiệp chế biến, chế tạo",3.7,%,
2015-08-03,Tăng trưởng,Toàn ngành công nghiệp,1.5,%,
2015-08-03,Tăng trưởng,Khai khoáng,1.4,%,
2015-08-03,Tăng trưởng,"Công nghiệp chế biến, chế tạo",1.8,%,
2015-08-03,Tăng trưởng,Sản xuất và Phân phối điện,-0.9,%,
2015-08-03,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",2.3,%,
2015-08-03,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",-0.3,%,
2015-08-03,Tăng trưởng,Sản xuất và Phân phối điện,1.2,%,
2015-08-03,Tăng trưởng,"Công nghiệp chế biến, chế tạo",2.6,%,
2015-08-03,Tăng trưởng,Toàn ngành công nghiệp,1.1,%,
2015-08-03,Tăng trưởng,Khai khoáng,-3.6,%,
2015-08-30,Tăng trưởng,Toàn ngành công nghiệp,-1.3,%,
2015-08-30,Tăng trưởng,Khai khoáng,-8.1,%,
2015-08-30,Tăng trưởng,"Công nghiệp chế biến, chế tạo",0.6,%,
2015-08-30,Tăng trưởng,Sản xuất và Phân phối điện,-0.4,%,
2015-08-30,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",1.9,%,
2015-10-01,Tăng trưởng,Sản xuất và Phân phối điện,-3.4,%,
2015-10-01,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",1.9,%,
2015-10-01,Tăng trưởng,Khai khoáng,2.4,%,
2015-10-01,Tăng trưởng,"Công nghiệp chế biến, chế tạo",2.3,%,
2015-10-01,Tăng trưởng,Toàn ngành công nghiệp,1.8,%,
2015-12-08,Tăng trưởng,Toàn ngành công nghiệp,3.4,%,
2015-12-08,Tăng trưởng,Khai khoáng,2.7,%,
2015-12-08,Tăng trưởng,"Công nghiệp chế biến, chế tạo",3.7,%,
2015-12-08,Tăng trưởng,Sản xuất và Phân phối điện,2.6,%,
2015-12-08,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",1.6,%,
2015-11-26,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",2.6,%,
2015-11-26,Tăng trưởng,Sản xuất và Phân phối điện,3.4,%,
2015-11-26,Tăng trưởng,Khai khoáng,-3.4,%,
2015-11-26,Tăng trưởng,Toàn ngành công nghiệp,1.5,%,
2015-11-26,Tăng trưởng,"Công nghiệp chế biến, chế tạo",11.3,%,
2015-12-27,Tăng trưởng,Toàn ngành công nghiệp,3.5,%,
2015-12-27,Tăng trưởng,Khai khoáng,-3.9,%,
2015-12-27,Tăng trưởng,"Công nghiệp chế biến, chế tạo",6.5,%,
2015-12-27,Tăng trưởng,Sản xuất và Phân phối điện,-3.5,%,
2015-12-27,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",3.4,%,
2016-07-06,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",-0.4,%,
2016-07-06,Tăng trưởng,Sản xuất và Phân phối điện,0.3,%,
2016-07-06,Tăng trưởng,"Công nghiệp chế biến, chế tạo",-2.9,%,
2016-07-06,Tăng trưởng,Toàn ngành công nghiệp,-2.6,%,
2016-07-06,Tăng trưởng,Khai khoáng,-2.8,%,
2016-02-28,Tăng trưởng,Toàn ngành công nghiệp,-22.3,%,
2016-02-28,Tăng trưởng,Khai khoáng,-17.9,%,
2016-02-28,Tăng trưởng,"Công nghiệp chế biến, chế tạo",-24.5,%,
2016-02-28,Tăng trưởng,Sản xuất và Phân phối điện,-18.0,%,
2016-02-28,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",1.9,%,
2016-03-29,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",1.3,%,
2016-03-29,Tăng trưởng,Sản xuất và Phân phối điện,22.9,%,
2016-03-29,Tăng trưởng,Khai khoáng,10.0,%,
2016-03-29,Tăng trưởng,Toàn ngành công nghiệp,23.8,%,
2016-03-29,Tăng trưởng,"Công nghiệp chế biến, chế tạo",28.6,%,
2016-04-26,Tăng trưởng,Toàn ngành công nghiệp,-11.7,%,
2016-04-26,Tăng trưởng,Khai khoáng,-10.2,%,
2016-04-26,Tăng trưởng,"Công nghiệp chế biến, chế tạo",0.5,%,
2016-04-26,Tăng trưởng,Sản xuất và Phân phối điện,2.7,%,
2016-04-26,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",2.4,%,
2016-05-29,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",2.4,%,
2016-05-29,Tăng trưởng,Sản xuất và Phân phối điện,7.6,%,
2016-05-29,Tăng trưởng,Khai khoáng,0.9,%,
2016-05-29,Tăng trưởng,Toàn ngành công nghiệp,2.4,%,
2016-05-29,Tăng trưởng,"Công nghiệp chế biến, chế tạo",2.3,%,
2016-07-06,Tăng trưởng,Toàn ngành công nghiệp,1.1,%,
2016-07-06,Tăng trưởng,Khai khoáng,1.3,%,
2016-07-06,Tăng trưởng,"Công nghiệp chế biến, chế tạo",1.2,%,
2016-07-06,Tăng trưởng,Sản xuất và Phân phối điện,-0.9,%,
2016-07-06,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",3.2,%,
2016-07-31,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",-1.0,%,
2016-07-31,Tăng trưởng,Sản xuất và Phân phối điện,3.5,%,
2016-07-31,Tăng trưởng,"Công nghiệp chế biến, chế tạo",2.7,%,
2016-07-31,Tăng trưởng,Toàn ngành công nghiệp,2.1,%,
2016-07-31,Tăng trưởng,Khai khoáng,-0.1,%,
2016-09-05,Tăng trưởng,Toàn ngành công nghiệp,0.8,%,
2016-09-05,Tăng trưởng,Khai khoáng,-3.7,%,
2016-09-05,Tăng trưởng,"Công nghiệp chế biến, chế tạo",2.3,%,
2016-09-05,Tăng trưởng,Sản xuất và Phân phối điện,0.6,%,
2016-09-05,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",1.2,%,
2016-09-28,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",1.0,%,
2016-09-28,Tăng trưởng,Sản xuất và Phân phối điện,-4.6,%,
2016-09-28,Tăng trưởng,Toàn ngành công nghiệp,3.4,%,
2016-09-28,Tăng trưởng,Khai khoáng,5.3,%,
2016-09-28,Tăng trưởng,"Công nghiệp chế biến, chế tạo",3.6,%,
2016-10-30,Tăng trưởng,Toàn ngành công nghiệp,6.0,%,
2016-10-30,Tăng trưởng,Khai khoáng,9.0,%,
2016-10-30,Tăng trưởng,"Công nghiệp chế biến, chế tạo",5.5,%,
2016-10-30,Tăng trưởng,Sản xuất và Phân phối điện,1.7,%,
2016-10-30,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",1.3,%,
2016-11-27,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",1.0,%,
2016-11-27,Tăng trưởng,Sản xuất và Phân phối điện,-3.0,%,
2016-11-27,Tăng trưởng,"Công nghiệp chế biến, chế tạo",4.7,%,
2016-11-27,Tăng trưởng,Toàn ngành công nghiệp,2.0,%,
2016-11-27,Tăng trưởng,Khai khoáng,-5.1,%,
2017-01-02,Tăng trưởng,Toàn ngành công nghiệp,4.7,%,
2017-01-02,Tăng trưởng,Khai khoáng,6.0,%,
2017-01-02,Tăng trưởng,"Công nghiệp chế biến, chế tạo",4.6,%,
2017-01-02,Tăng trưởng,Sản xuất và Phân phối điện,1.9,%,
2017-01-02,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",2.6,%,
2017-02-20,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",-0.5,%,
2017-02-20,Tăng trưởng,Sản xuất và Phân phối điện,-5.0,%,
2017-02-20,Tăng trưởng,Toàn ngành công nghiệp,-6.2,%,
2017-02-20,Tăng trưởng,Khai khoáng,-5.1,%,
2017-02-20,Tăng trưởng,"Công nghiệp chế biến, chế tạo",-6.8,%,
2017-02-27,Tăng trưởng,Toàn ngành công nghiệp,-2.1,%,
2017-02-27,Tăng trưởng,Khai khoáng,-4.1,%,
2017-02-27,Tăng trưởng,"Công nghiệp chế biến, chế tạo",-1.6,%,
2017-02-27,Tăng trưởng,Sản xuất và Phân phối điện,1.1,%,
2017-02-27,Tăng trưởng,"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",0.4,%,
