last_updated,name,value,unit,source
2015-01-27,TỔNG SỐ:,275454.2,Tỷ VNĐ,Tổng cục thống kê
2015-01-27,Dịch vụ khác,30761.3,Tỷ VNĐ,Tổng cục thống kê
2015-01-27,Bán lẻ hàng hóa,211431.4,Tỷ VNĐ,Tổng cục thống kê
2015-01-27,"Dịch vụ lưu trú, ăn uống",31023.5,Tỷ VNĐ,Tổng cục thống kê
2015-01-27,Du lịch lữ hành,2238.0,Tỷ VNĐ,Tổng cục thống kê
2015-03-01,Bán lẻ hàng hóa,210875.2,Tỷ VNĐ,Tổng cục thống kê
2015-03-01,"Dịch vụ lưu trú, ăn uống",32465.4,Tỷ VNĐ,Tổng cục thống kê
2015-03-01,Du lịch lữ hành,2260.7,Tỷ VNĐ,Tổng cục thống kê
2015-03-01,Dịch vụ khác,30623.7,Tỷ VNĐ,Tổng cục thống kê
2015-03-01,TỔNG SỐ:,276225.0,Tỷ VNĐ,Tổng cục thống kê
2015-06-09,TỔNG SỐ:,253500.0,Tỷ VNĐ,Tổng cục thống kê
2015-06-09,Bán lẻ hàng hóa,195900.0,Tỷ VNĐ,Tổng cục thống kê
2015-06-09,"Dịch vụ lưu trú, ăn uống",26300.0,Tỷ VNĐ,Tổng cục thống kê
2015-06-09,Du lịch lữ hành,2000.0,Tỷ VNĐ,Tổng cục thống kê
2015-06-09,Dịch vụ khác,29300.0,Tỷ VNĐ,Tổng cục thống kê
2015-06-09,TỔNG SỐ:,255600.0,Tỷ VNĐ,Tổng cục thống kê
2015-06-09,Bán lẻ hàng hóa,196800.0,Tỷ VNĐ,Tổng cục thống kê
2015-06-09,"Dịch vụ lưu trú, ăn uống",26800.0,Tỷ VNĐ,Tổng cục thống kê
2015-06-09,Du lịch lữ hành,2000.0,Tỷ VNĐ,Tổng cục thống kê
2015-06-09,Dịch vụ khác,30000.0,Tỷ VNĐ,Tổng cục thống kê
2015-06-09,Dịch vụ khác,30000.0,Tỷ VNĐ,Tổng cục thống kê
2015-06-09,Du lịch lữ hành,2100.0,Tỷ VNĐ,Tổng cục thống kê
2015-06-09,Bán lẻ hàng hóa,199100.0,Tỷ VNĐ,Tổng cục thống kê
2015-06-09,TỔNG SỐ:,260500.0,Tỷ VNĐ,Tổng cục thống kê
2015-06-09,"Dịch vụ lưu trú, ăn uống",29200.0,Tỷ VNĐ,Tổng cục thống kê
2015-08-03,TỔNG SỐ:,266700.0,Tỷ VNĐ,Tổng cục thống kê
2015-08-03,Bán lẻ hàng hóa,200300.0,Tỷ VNĐ,Tổng cục thống kê
2015-08-03,"Dịch vụ lưu trú, ăn uống",32900.0,Tỷ VNĐ,Tổng cục thống kê
2015-08-03,Du lịch lữ hành,2700.0,Tỷ VNĐ,Tổng cục thống kê
2015-08-03,Dịch vụ khác,30700.0,Tỷ VNĐ,Tổng cục thống kê
2015-08-03,Dịch vụ khác,30200.0,Tỷ VNĐ,Tổng cục thống kê
2015-08-03,Du lịch lữ hành,2800.0,Tỷ VNĐ,Tổng cục thống kê
2015-08-03,"Dịch vụ lưu trú, ăn uống",34000.0,Tỷ VNĐ,Tổng cục thống kê
2015-08-03,TỔNG SỐ:,271800.0,Tỷ VNĐ,Tổng cục thống kê
2015-08-03,Bán lẻ hàng hóa,204800.0,Tỷ VNĐ,Tổng cục thống kê
2015-08-31,TỔNG SỐ:,271680.4,Tỷ VNĐ,Tổng cục thống kê
2015-08-31,Bán lẻ hàng hóa,207102.3,Tỷ VNĐ,Tổng cục thống kê
