last_updated,name,value,unit,source
2015-12-20,Tăng trưởng tín dụng,0.03,%,Ngân hàng Nhà nước Việt Nam
2015-12-20,Cung tiền M2,5192194.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-12-20,Tăng trưởng Cung tiền M2,0.25,%,Ngân hàng Nhà nước Việt Nam
2015-12-20,Tín dụng,3971912.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-07-29,Cung tiền M2,5308012.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-07-29,Tăng trưởng tín dụng,0.65,%,Ngân hàng Nhà nước Việt Nam
2015-07-29,Tăng trưởng Cung tiền M2,2.49,%,Ngân hàng Nhà nước Việt Nam
2015-07-29,Tín dụng,3996271.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-07-29,Tăng trưởng Cung tiền M2,2.35,%,Ngân hàng Nhà nước Việt Nam
2015-07-29,Cung tiền M2,5300817.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-07-29,Tăng trưởng tín dụng,2.65,%,Ngân hàng Nhà nước Việt Nam
2015-07-29,Tín dụng,4075612.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-07-29,Tăng trưởng tín dụng,3.98,%,Ngân hàng Nhà nước Việt Nam
2015-07-29,Tăng trưởng Cung tiền M2,2.88,%,Ngân hàng Nhà nước Việt Nam
2015-07-29,Tín dụng,4128770.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-07-29,Cung tiền M2,5328232.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-07-29,Tăng trưởng tín dụng,5.22,%,Ngân hàng Nhà nước Việt Nam
2015-07-29,Tăng trưởng Cung tiền M2,3.81,%,Ngân hàng Nhà nước Việt Nam
2015-07-29,Tín dụng,4177852.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-07-29,Cung tiền M2,5376435.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-09-27,Tín dụng,4282604.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-09-27,Cung tiền M2,5492731.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-09-27,Tăng trưởng tín dụng,7.86,%,Ngân hàng Nhà nước Việt Nam
2015-09-27,Tăng trưởng Cung tiền M2,10.04,%,Ngân hàng Nhà nước Việt Nam
2015-09-27,Tăng trưởng Cung tiền M2,6.3,%,Ngân hàng Nhà nước Việt Nam
2015-09-27,Tín dụng,4312496.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-09-27,Cung tiền M2,5505640.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-09-27,Tăng trưởng tín dụng,8.61,%,Ngân hàng Nhà nước Việt Nam
2015-10-29,Tăng trưởng tín dụng,10.21,%,Ngân hàng Nhà nước Việt Nam
2015-10-29,Tăng trưởng Cung tiền M2,7.96,%,Ngân hàng Nhà nước Việt Nam
2015-10-29,Tín dụng,4376026.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-10-29,Cung tiền M2,5591611.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-11-29,Tăng trưởng tín dụng,12.12,%,Ngân hàng Nhà nước Việt Nam
2015-11-29,Tăng trưởng Cung tiền M2,9.97,%,Ngân hàng Nhà nước Việt Nam
2015-11-29,Tín dụng,4451893.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-11-29,Cung tiền M2,5695769.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-12-20,Cung tiền M2,5722963.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2015-12-20,Tăng trưởng Cung tiền M2,10.5,%,Ngân hàng Nhà nước Việt Nam
2015-12-20,Tăng trưởng tín dụng,13.39,%,Ngân hàng Nhà nước Việt Nam
2015-12-20,Tín dụng,4502229.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2016-02-29,Tăng trưởng tín dụng,15.51,%,Ngân hàng Nhà nước Việt Nam
2016-02-29,Tăng trưởng Cung tiền M2,12.17,%,Ngân hàng Nhà nước Việt Nam
2016-02-29,Tín dụng,4586430.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2016-02-29,Cung tiền M2,5809442.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tăng trưởng tín dụng,17.26,%,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tăng trưởng Cung tiền M2,16.23,%,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tín dụng,4655890.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2016-09-14,Cung tiền M2,6019609.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tăng trưởng tín dụng,0.76,%,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tăng trưởng Cung tiền M2,1.47,%,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tín dụng,4691374.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2016-09-14,Cung tiền M2,6107942.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2016-09-14,Cung tiền M2,6138610.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tăng trưởng tín dụng,0.65,%,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tăng trưởng Cung tiền M2,1.98,%,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tín dụng,4686152.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tăng trưởng tín dụng,3.04,%,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tăng trưởng Cung tiền M2,4.13,%,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tín dụng,4797202.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2016-09-14,Cung tiền M2,6267958.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tăng trưởng tín dụng,4.06,%,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tăng trưởng Cung tiền M2,5.1,%,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tín dụng,4845059.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2016-09-14,Cung tiền M2,6326334.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2016-09-14,Cung tiền M2,6427397.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tín dụng,4911308.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tăng trưởng tín dụng,5.49,%,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tăng trưởng Cung tiền M2,6.77,%,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tăng trưởng tín dụng,8.21,%,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tăng trưởng Cung tiền M2,9.52,%,Ngân hàng Nhà nước Việt Nam
2016-09-14,Tín dụng,5037936.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2016-09-14,Cung tiền M2,6592394.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-05-07,Tăng trưởng tín dụng,9.64,%,Ngân hàng Nhà nước Việt Nam
2017-05-07,Tăng trưởng Cung tiền M2,9.8,%,Ngân hàng Nhà nước Việt Nam
2017-05-07,Tín dụng,5104873.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-05-07,Cung tiền M2,6609446.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-05-07,Tăng trưởng tín dụng,9.64,%,Ngân hàng Nhà nước Việt Nam
2017-05-07,Tăng trưởng Cung tiền M2,11.01,%,Ngân hàng Nhà nước Việt Nam
2017-05-07,Tín dụng,5104873.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-05-07,Cung tiền M2,6682211.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-05-07,Cung tiền M2,6829893.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-05-07,Tín dụng,5198026.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-05-07,Tăng trưởng tín dụng,11.64,%,Ngân hàng Nhà nước Việt Nam
2017-05-07,Tăng trưởng Cung tiền M2,13.46,%,Ngân hàng Nhà nước Việt Nam
2017-05-07,Tăng trưởng tín dụng,12.66,%,Ngân hàng Nhà nước Việt Nam
2017-05-07,Tăng trưởng Cung tiền M2,14.02,%,Ngân hàng Nhà nước Việt Nam
2017-05-07,Tín dụng,5245192.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-05-07,Cung tiền M2,6863455.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-05-07,Tăng trưởng tín dụng,14.93,%,Ngân hàng Nhà nước Việt Nam
2017-05-07,Tăng trưởng Cung tiền M2,15.81,%,Ngân hàng Nhà nước Việt Nam
2017-05-07,Tín dụng,5350800.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-05-07,Cung tiền M2,6971061.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-05-07,Tăng trưởng tín dụng,18.25,%,Ngân hàng Nhà nước Việt Nam
2017-05-07,Tăng trưởng Cung tiền M2,18.38,%,Ngân hàng Nhà nước Việt Nam
2017-05-07,Tín dụng,5505406.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-05-07,Cung tiền M2,7125801.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-06-07,Cung tiền M2,7308746.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-06-07,Tăng trưởng tín dụng,1.8,%,Ngân hàng Nhà nước Việt Nam
2017-06-07,Tăng trưởng Cung tiền M2,2.57,%,Ngân hàng Nhà nước Việt Nam
2017-06-07,Tín dụng,5604499.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-06-07,Tăng trưởng tín dụng,1.77,%,Ngân hàng Nhà nước Việt Nam
2017-06-07,Tăng trưởng Cung tiền M2,1.78,%,Ngân hàng Nhà nước Việt Nam
2017-06-07,Tín dụng,5602778.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-06-07,Cung tiền M2,7252377.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-07-02,Tăng trưởng tín dụng,4.37,%,Ngân hàng Nhà nước Việt Nam
2017-07-02,Tăng trưởng Cung tiền M2,3.49,%,Ngân hàng Nhà nước Việt Nam
2017-07-02,Tín dụng,5746188.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-07-02,Cung tiền M2,7374307.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-08-23,Tăng trưởng tín dụng,5.66,%,Ngân hàng Nhà nước Việt Nam
2017-08-23,Tăng trưởng Cung tiền M2,3.89,%,Ngân hàng Nhà nước Việt Nam
2017-08-23,Tín dụng,5817176.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-08-23,Cung tiền M2,7403116.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-08-23,Cung tiền M2,7466760.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-08-23,Tăng trưởng tín dụng,7.02,%,Ngân hàng Nhà nước Việt Nam
2017-08-23,Tăng trưởng Cung tiền M2,4.78,%,Ngân hàng Nhà nước Việt Nam
2017-08-23,Tín dụng,5891669.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-09-30,Tăng trưởng tín dụng,9.01,%,Ngân hàng Nhà nước Việt Nam
2017-09-30,Tăng trưởng Cung tiền M2,6.89,%,Ngân hàng Nhà nước Việt Nam
2017-09-30,Tín dụng,6001383.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-09-30,Cung tiền M2,7616856.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-10-31,Tăng trưởng tín dụng,9.58,%,Ngân hàng Nhà nước Việt Nam
2017-10-31,Tăng trưởng Cung tiền M2,7.62,%,Ngân hàng Nhà nước Việt Nam
2017-10-31,Tín dụng,6032680.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-10-31,Cung tiền M2,7668850.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-10-31,Cung tiền M2,7762372.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-10-31,Tín dụng,6099921.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-10-31,Tăng trưởng tín dụng,10.8,%,Ngân hàng Nhà nước Việt Nam
2017-10-31,Tăng trưởng Cung tiền M2,8.93,%,Ngân hàng Nhà nước Việt Nam
2017-12-05,Tăng trưởng tín dụng,12.21,%,Ngân hàng Nhà nước Việt Nam
2017-12-05,Tăng trưởng Cung tiền M2,10.55,%,Ngân hàng Nhà nước Việt Nam
2017-12-05,Tín dụng,6177691.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2017-12-05,Cung tiền M2,7877753.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-01-02,Tăng trưởng tín dụng,13.72,%,Ngân hàng Nhà nước Việt Nam
2018-01-02,Tăng trưởng Cung tiền M2,10.89,%,Ngân hàng Nhà nước Việt Nam
2018-01-02,Tín dụng,6260763.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-01-02,Cung tiền M2,7901462.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-02-01,Tăng trưởng tín dụng,15.71,%,Ngân hàng Nhà nước Việt Nam
2018-02-01,Tăng trưởng Cung tiền M2,13.15,%,Ngân hàng Nhà nước Việt Nam
2018-02-01,Tín dụng,6370509.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-02-01,Cung tiền M2,8062576.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-05-01,Cung tiền M2,8192548.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-05-01,Tín dụng,6329715.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-05-01,Tăng trưởng tín dụng,14.97,%,Ngân hàng Nhà nước Việt Nam
2018-05-01,Tăng trưởng Cung tiền M2,14.97,%,Ngân hàng Nhà nước Việt Nam
2018-05-01,Tăng trưởng tín dụng,0.96,%,Ngân hàng Nhà nước Việt Nam
2018-05-01,Tăng trưởng Cung tiền M2,1.27,%,Ngân hàng Nhà nước Việt Nam
2018-05-01,Tín dụng,6390566.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-05-01,Cung tiền M2,8296475.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-05-01,Tăng trưởng tín dụng,1.37,%,Ngân hàng Nhà nước Việt Nam
2018-05-01,Tăng trưởng Cung tiền M2,2.55,%,Ngân hàng Nhà nước Việt Nam
2018-05-01,Tín dụng,6416397.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-05-01,Cung tiền M2,8401534.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-05-31,Tăng trưởng tín dụng,3.56,%,Ngân hàng Nhà nước Việt Nam
2018-05-31,Tăng trưởng Cung tiền M2,4.01,%,Ngân hàng Nhà nước Việt Nam
2018-05-31,Tín dụng,6555278.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-05-31,Cung tiền M2,8521098.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-07-04,Cung tiền M2,8661255.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-07-04,Tăng trưởng tín dụng,5.13,%,Ngân hàng Nhà nước Việt Nam
2018-07-04,Tăng trưởng Cung tiền M2,5.72,%,Ngân hàng Nhà nước Việt Nam
2018-07-04,Tín dụng,6654158.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-11-25,Tăng trưởng tín dụng,6.22,%,Ngân hàng Nhà nước Việt Nam
2018-11-25,Tăng trưởng Cung tiền M2,6.9,%,Ngân hàng Nhà nước Việt Nam
2018-11-25,Tín dụng,6723248.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-11-25,Cung tiền M2,8757588.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-11-25,Tăng trưởng tín dụng,7.86,%,Ngân hàng Nhà nước Việt Nam
2018-11-25,Tăng trưởng Cung tiền M2,8.39,%,Ngân hàng Nhà nước Việt Nam
2018-11-25,Tín dụng,6827140.33,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-11-25,Cung tiền M2,8879582.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-11-25,Tăng trưởng tín dụng,8.1,%,Ngân hàng Nhà nước Việt Nam
2018-11-25,Tăng trưởng Cung tiền M2,7.93,%,Ngân hàng Nhà nước Việt Nam
2018-11-25,Tín dụng,6842262.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-11-25,Cung tiền M2,8842552.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-11-25,Cung tiền M2,8888384.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-11-25,Tăng trưởng tín dụng,9.01,%,Ngân hàng Nhà nước Việt Nam
2018-11-25,Tăng trưởng Cung tiền M2,8.49,%,Ngân hàng Nhà nước Việt Nam
2018-11-25,Tín dụng,6900174.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-12-14,Tăng trưởng tín dụng,10.36,%,Ngân hàng Nhà nước Việt Nam
2018-12-14,Tăng trưởng Cung tiền M2,9.04,%,Ngân hàng Nhà nước Việt Nam
2018-12-14,Tín dụng,6985654.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2018-12-14,Cung tiền M2,8933435.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2019-01-14,Tăng trưởng tín dụng,11.19,%,Ngân hàng Nhà nước Việt Nam
2019-01-14,Tăng trưởng Cung tiền M2,9.84,%,Ngân hàng Nhà nước Việt Nam
2019-01-14,Tín dụng,7038597.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
2019-01-14,Cung tiền M2,8999033.0,Tỷ VNĐ,Ngân hàng Nhà nước Việt Nam
