last_updated,group_name,name,value,unit,source,report_type
2015-07-05,Tăng trưởng thực của GDP,Công nghiệp,9.09,%,Tổng cục thống kê,6 tháng
2015-07-05,Tăng trưởng thực của GDP,Dịch vụ,5.9,%,Tổng cục thống kê,6 tháng
2015-07-05,Tăng trưởng thực của GDP,Nông nghiệp,2.36,%,Tổng cục thống kê,6 tháng
2015-07-05,Tăng trưởng thực của GDP,Tổng GDP,6.28,%,Tổng cục thống kê,6 tháng
2015-10-14,Cơ cấu GDP  theo giá hiện tại,Công nghiệp,,%,Tổng cục thống kê,9 tháng
2015-10-14,Cơ cấu GDP  theo giá hiện tại,Dịch vụ,,%,Tổng cục thống kê,9 tháng
2015-10-14,Cơ cấu GDP  theo giá hiện tại,Nông nghiệp,,%,Tổng cục thống kê,9 tháng
2015-10-14,Giá trị GDP (2010),Công nghiệp,549546.0,Tỷ VNĐ,,9 tháng
2015-10-14,Giá trị GDP (2010),Dịch vụ,749668.0,Tỷ VNĐ,,9 tháng
2015-10-14,Giá trị GDP (2010),GDP thực,1954503.0,Tỷ VNĐ,,9 tháng
2015-10-14,Giá trị GDP (2010),Nông nghiệp,245283.0,Tỷ VNĐ,,9 tháng
2015-10-14,Giá trị GDP hiện hành,Công nghiệp,800805.0,Tỷ VNĐ,Tổng cục thống kê,9 tháng
2015-10-14,Giá trị GDP hiện hành,Dịch vụ,1155502.0,Tỷ VNĐ,Tổng cục thống kê,9 tháng
2015-10-14,Giá trị GDP hiện hành,GDP danh nghĩa,2851390.0,Tỷ VNĐ,Tổng cục thống kê,9 tháng
2015-10-14,Giá trị GDP hiện hành,Nông nghiệp,348438.0,Tỷ VNĐ,Tổng cục thống kê,9 tháng
2015-10-14,Tăng trưởng thực của GDP,Công nghiệp,9.69,%,Tổng cục thống kê,9 tháng
2015-10-14,Tăng trưởng thực của GDP,Dịch vụ,6.17,%,Tổng cục thống kê,9 tháng
2015-10-14,Tăng trưởng thực của GDP,Nông nghiệp,1.77,%,Tổng cục thống kê,9 tháng
2015-10-14,Tăng trưởng thực của GDP,Tổng GDP,6.5,%,Tổng cục thống kê,9 tháng
2016-03-29,Cơ cấu GDP  theo giá hiện tại,Công nghiệp,34.24,%,Tổng cục thống kê,Quý 1
2016-03-29,Cơ cấu GDP  theo giá hiện tại,Dịch vụ,43.61,%,Tổng cục thống kê,Quý 1
2016-03-29,Cơ cấu GDP  theo giá hiện tại,Nông nghiệp,11.44,%,Tổng cục thống kê,Quý 1
2016-03-29,Giá trị GDP (2010),Công nghiệp,197759.0,Tỷ VNĐ,,Quý 1
2016-03-29,Giá trị GDP (2010),Dịch vụ,229578.0,Tỷ VNĐ,,Quý 1
2016-03-29,Giá trị GDP (2010),GDP thực,564255.0,Tỷ VNĐ,,Quý 1
2016-03-29,Giá trị GDP (2010),Nông nghiệp,66186.0,Tỷ VNĐ,,Quý 1
2016-03-29,Giá trị GDP hiện hành,Công nghiệp,291109.0,Tỷ VNĐ,Tổng cục thống kê,Quý 1
2016-03-29,Giá trị GDP hiện hành,Dịch vụ,370846.0,Tỷ VNĐ,Tổng cục thống kê,Quý 1
2016-03-29,Giá trị GDP hiện hành,GDP danh nghĩa,850315.0,Tỷ VNĐ,Tổng cục thống kê,Quý 1
2016-03-29,Giá trị GDP hiện hành,Nông nghiệp,97253.0,Tỷ VNĐ,Tổng cục thống kê,Quý 1
2016-03-29,Tăng trưởng thực của GDP,Công nghiệp,6.72,%,Tổng cục thống kê,Quý 1
2016-03-29,Tăng trưởng thực của GDP,Dịch vụ,6.13,%,Tổng cục thống kê,Quý 1
2016-03-29,Tăng trưởng thực của GDP,Nông nghiệp,-1.23,%,Tổng cục thống kê,Quý 1
2016-03-29,Tăng trưởng thực của GDP,Tổng GDP,5.46,%,Tổng cục thống kê,Quý 1
2016-07-06,Cơ cấu GDP  theo giá hiện tại,Công nghiệp,32.94,%,Tổng cục thống kê,6 tháng
2016-07-06,Cơ cấu GDP  theo giá hiện tại,Dịch vụ,41.01,%,Tổng cục thống kê,6 tháng
2016-07-06,Cơ cấu GDP  theo giá hiện tại,Nông nghiệp,15.74,%,Tổng cục thống kê,6 tháng
