item,item_en,2025,2024,2023
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,759.5,988.22,725.48
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),12591.28,13308.22,13077.07
Chỉ số giá thị trường trên thu nhập (P/E),P/E,37.92,0.0,0.0
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,2.29,0.0,0.0
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,8.08,0.0,0.0
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0
Beta,Beta,0.0,0.0,0.0
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,32.82,4.8,6.35
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,6.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,50.96,62.96,27.41
Tỷ lệ lãi EBIT,EBIT margin,29.83,44.06,18.06
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,30.59,45.69,19.1
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,20.64,29.61,11.18
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,5.99,7.49,11.1
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),7.29,9.85,0.0
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,2.93,3.72,5.44
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,16.87,-42.8,0.0
Tăng trưởng  lợi nhuận gộp,Gross profit,-5.41,31.42,0.0
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-18.05,47.96,0.0
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-17.26,36.22,0.0
Tăng trưởng tổng tài sản,Total assets,11.5,-1.21,0.0
Tăng trưởng nợ dài hạn,Long-term liabilities,140.75,-38.4,0.0
Tăng trưởng nợ phải trả,Liabilities,18.0,-4.06,0.0
Tăng trưởng vốn chủ sở hữu,Owner's equity,5.13,1.77,0.0
Tăng trưởng vốn điều lệ,Charter capital,11.11,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.08,0.03,0.01
Tỷ số thanh toán nhanh,Quick ratio,0.71,0.56,0.62
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.08,0.03,0.01
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,2.44,2.24,2.29
Khả năng thanh toán lãi vay,Interest coverage,9.65,7.43,5.45
