time,open,high,low,close,volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,ADX_14,DMP_14,DMN_14
2025-08-07,59.25,61.0,57.5,57.5,4150748,,,,,,,,,,,,,,,,,,
2025-08-08,57.45,58.8,56.6,58.5,3225919,,,,,,,,,,,,,,,,,,
2025-08-11,58.5,59.45,57.5,57.75,3288425,,,,,,,,,,,,,,,,,,
2025-08-12,57.75,58.4,57.25,57.75,2965537,,,,,,,,,,,,,,,,,,
2025-08-13,57.5,58.25,57.0,58.0,4117115,,,,,,,,,,,,,,,,,,
2025-08-14,58.2,59.4,57.6,59.1,4322205,,,,,,,,,,,,,,,,,,
2025-08-15,59.6,63.0,58.95,59.1,5273549,,,,,,,,,,,,,,,,,,
2025-08-18,59.1,59.25,58.0,59.1,3598749,,,,,,,,,,,,,,,,,,
2025-08-19,59.1,60.55,58.25,59.1,5299079,,,,,,,,,,,,,,,,,,
2025-08-20,59.3,63.0,58.95,62.1,7480307,,,,,,,,,,,,,,,,,,
2025-08-21,61.1,63.4,61.0,62.5,4080223,,,,,,,,,,,,,,,,,,
2025-08-22,61.0,63.75,61.0,62.05,5042251,,,59.37916666666666,,,,,,,,,,,,,,,
2025-08-25,62.0,66.3,61.75,65.5,3827541,,,60.320833333333326,,,,,,,,,,,,,,,
2025-08-26,65.5,69.95,64.5,67.75,2607365,,,61.46378205128204,,,,,,,,,,,,,,,
2025-08-27,66.6,67.8,66.0,66.0,2357528,,,62.161661735700186,,77.84508948715546,,,,,,,,,,,,44.906513287536164,4.432104849934007
2025-08-28,66.1,67.0,65.0,65.05,2185914,,,62.60602146866939,,71.17461673730377,,,,,,,,,72.03158214394166,,,41.43310711943425,7.956667246222081
2025-08-29,65.55,66.25,64.05,64.15,2479328,,,62.843556627335644,,65.452518109651,,,,,,,,,62.59550079774798,,,37.955369396760574,10.913332693553114
2025-09-03,63.55,64.1,62.25,62.5,2297551,,,62.790701761591706,,56.48647551428808,,,,,,,,,53.28185328185327,62.63631207451431,,35.2068893868333,16.983283892597356
2025-09-04,62.5,63.0,61.5,62.5,1996539,,,62.74597841365453,,56.486475514288074,,,,,,,,,45.786503681240525,53.88795258694726,,33.16504654138496,18.898106438360546
2025-09-05,62.6,64.9,62.5,62.5,2146701,61.425,,62.7081355807846,,56.486475514288074,,,,55.294706369185896,61.425,67.5552936308141,19.960256022186748,0.5876793237599973,39.93468653235223,46.33434783181534,,37.34438064420879,17.181177762771835
2025-09-08,62.55,64.0,62.5,62.5,2206675,61.675,,62.67611472220236,,56.48647551428807,,,,55.80299012262411,61.675,67.54700987737588,19.041783145118405,0.5702485194361324,38.3299736305682,41.35038794805365,,35.19235709278787,16.191087726498385
2025-09-09,62.5,64.8,62.05,64.6,2666127,61.98,,62.972097072632764,,64.75219402733839,,,,56.165930856964295,61.98,67.7940691430357,18.761113723897072,0.7253155178880463,43.19577060162831,40.48681025484958,,34.569077050948195,14.537122662386686
2025-09-10,64.6,65.5,63.5,65.45,1989904,62.364999999999995,,63.35331290761234,,67.4475970845271,,,,56.704602487457265,62.364999999999995,68.02539751254272,18.15248139996065,0.7725073630574563,50.340439043367894,43.95539442518813,,34.60100014851704,13.460201634758297
2025-09-11,65.0,68.75,64.55,68.0,3026831,62.8775,,64.06818784490275,,73.89662465677998,,,,57.125937168907925,62.8775,68.62906283109207,18.29450226580915,0.9453137477963857,63.858901289068854,52.465036978021686,,40.73973983092904,11.528720424596745
2025-09-12,68.0,69.05,67.05,68.9,1972031,63.4225,,64.81154356107156,,75.72457751283001,,,,57.55833126095438,63.4225,69.28666873904562,18.492392255258373,0.9670312403810069,75.19045200609446,63.1299307795104,,38.97544566020374,10.738500539911005
2025-09-15,68.85,68.9,67.4,68.9,2149664,63.9125,,65.44053685936825,62.57115384615386,75.72457751283,2.8693830132143887,,,57.93823226244422,63.9125,69.88676773755579,18.69514645039948,0.9174151727957633,84.6848038081386,74.57805236776731,,36.930873812405196,10.175180851846745
2025-09-16,68.9,68.9,66.95,67.5,2925338,64.33250000000001,,65.75737734254237,62.93625356125358,67.23096297840586,2.82112378128879,,,58.59418360928053,64.33250000000001,70.07081639071949,17.839556649343578,0.7759955868870143,82.28267936046193,80.71931172489833,,34.40419129027862,11.057873385759475
2025-09-17,66.75,71.95,66.7,71.55,3999937,64.95500000000001,,66.64855005907431,63.57430885301257,75.71648999485384,3.0742412060617426,,,58.92831766226229,64.95500000000001,70.98168233773774,18.55648475941105,1.0471501259244729,84.9173768202108,83.96161999627044,50.689771320725704,38.32580403308399,9.227447844206585
