time,open,high,low,close,volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,ADX_14,DMP_14,DMN_14
2025-08-07,23.19,23.23,22.78,23.08,27017474,,,,,,,,,,,,,,,,,,
2025-08-08,23.23,23.27,22.78,22.93,25628530,,,,,,,,,,,,,,,,,,
2025-08-11,23.12,24.36,23.04,23.87,48711115,,,,,,,,,,,,,,,,,,
2025-08-12,24.24,24.32,23.76,24.32,56680478,,,,,,,,,,,,,,,,,,
2025-08-13,25.4,25.8,24.7,25.8,79742535,,,,,,,,,,,,,,,,,,
2025-08-14,27.6,27.6,27.6,27.6,40356994,,,,,,,,,,,,,,,,,,
2025-08-15,29.5,29.5,27.7,28.25,117609377,,,,,,,,,,,,,,,,,,
2025-08-18,28.55,28.6,27.65,27.8,51109955,,,,,,,,,,,,,,,,,,
2025-08-19,28.35,29.4,27.9,28.2,54061803,,,,,,,,,,,,,,,,,,
2025-08-20,28.2,28.3,26.85,27.8,77487429,,,,,,,,,,,,,,,,,,
2025-08-21,28.05,28.7,27.75,28.2,57200998,,,,,,,,,,,,,,,,,,
2025-08-22,27.75,28.0,26.9,26.9,72987402,,,26.22916666666666,,,,,,,,,,,,,,,
2025-08-25,27.15,27.3,25.8,26.2,56269717,,,26.224679487179483,,,,,,,,,,,,,,,
2025-08-26,26.2,27.6,26.1,27.55,40433700,,,26.428574950690333,,,,,,,,,,,,,,,
2025-08-27,28.2,28.25,27.4,27.4,39077600,,,26.578024958276433,,64.64996919593857,,,,,,,,,,,,42.16320807728705,20.58884572522698
2025-08-28,27.4,27.55,26.7,27.2,32467000,,,26.673713426233903,,62.65857558710143,,,,,,,,,68.04280922895474,,,39.07380052535512,25.114461104767013
2025-08-29,27.45,28.2,27.2,27.75,55715700,,,26.83929597604407,,65.78021964451854,,,,,,,,,67.5528266505575,,,41.27617899354474,22.98103817745296
2025-09-03,27.8,28.8,27.5,28.45,46653600,,,27.087096595114215,,69.29807618449613,,,,,,,,,70.67782665055752,68.75782084335658,,41.79461059611373,20.538457316667124
2025-09-04,28.45,28.6,28.1,28.25,28054200,,,27.26600481125049,,67.17329506573908,,,,,,,,,71.2844704460558,69.83837458239027,,40.032227195154825,19.672397417078948
2025-09-05,28.5,28.65,27.4,27.4,66550600,26.747500000000002,,27.286619455673492,,58.90662216168704,,,,23.26330784112013,26.747500000000002,30.231692158879873,26.052469642993707,0.5936372005684336,62.528153153153134,68.16348341658882,,35.95078896368287,23.37613504118994
2025-09-08,27.2,27.25,26.7,26.7,62869000,26.928500000000003,,27.1963703086468,,53.11000953523857,,,,23.875814133422843,26.928500000000003,29.981185866577164,22.672528113910246,0.46257394144255487,44.81981981981979,59.54414780634291,,33.868359287603155,27.814530272163612
2025-09-09,26.7,27.0,26.3,26.65,32840700,27.1145,,27.112313338085755,,52.71101387142684,,,,24.665332998752444,27.1145,29.563667001247556,18.06536724813333,0.4051718401065762,30.618118118118076,45.988697030363674,,31.879698082587833,29.536612684260394
2025-09-10,27.0,27.55,26.8,26.95,28898300,27.268499999999996,,27.08734205530333,,54.90029450920617,,,,25.31821514901029,27.268499999999996,29.218784850989703,14.304306074699431,0.418345261247769,28.98148148148144,34.806473139806435,,34.07755293366612,27.315810446298865
2025-09-11,26.8,26.95,26.05,26.7,31166200,27.3875,,27.02775096987205,,52.7103129141234,,,,25.947751758118823,27.3875,28.827248241881176,10.513907745366874,0.261242979848438,30.6481481481481,30.082582582582535,,31.52492268222203,31.511887078055505
