time,open,high,low,close,volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,ADX_14,DMP_14,DMN_14
2025-08-07,62.45,62.45,60.86,61.26,9509430,,,,,,,,,,,,,,,,,,
2025-08-08,61.75,62.84,61.16,61.45,10690824,,,,,,,,,,,,,,,,,,
2025-08-11,61.65,62.74,61.65,62.05,7276190,,,,,,,,,,,,,,,,,,
2025-08-12,62.35,64.33,62.25,62.55,12145378,,,,,,,,,,,,,,,,,,
2025-08-13,63.04,63.14,61.55,62.05,7530834,,,,,,,,,,,,,,,,,,
2025-08-14,63.24,65.82,62.84,64.73,19031114,,,,,,,,,,,,,,,,,,
2025-08-15,66.91,67.01,63.74,63.84,16686938,,,,,,,,,,,,,,,,,,
2025-08-18,64.33,65.13,63.54,64.04,8310087,,,,,,,,,,,,,,,,,,
2025-08-19,64.04,64.93,63.74,63.74,9202625,,,,,,,,,,,,,,,,,,
2025-08-20,64.04,64.13,61.75,62.55,10551682,,,,,,,,,,,,,,,,,,
2025-08-21,62.84,64.53,62.84,63.74,9648977,,,,,,,,,,,,,,,,,,
2025-08-22,63.54,66.72,63.24,64.13,18963941,,,63.01083333333333,,,,,,,,,,,,,,,
2025-08-25,65.33,65.33,62.94,63.14,7761134,,,63.03070512820513,,,,,,,,,,,,,,,
2025-08-26,63.14,64.53,62.45,64.13,7996194,,,63.19982741617356,,,,,,,,,,,,,,,
2025-08-27,64.53,68.6,64.53,68.6,31104601,,,64.0306231983007,,76.84528010146182,,,,,,,,,,,,39.583599058167614,11.16389551463127
2025-08-28,69.0,70.09,68.21,68.5,8814793,,,64.71821962933136,,76.11464227456415,,,,,,,,,78.18415490946474,,,42.825182964179966,10.25169145728683
2025-08-29,68.7,69.6,68.01,68.11,14710787,,,65.24003199404962,,73.19185634743482,,,,,,,,,86.06557377049178,,,39.85881782516398,10.412870193993083
2025-09-03,68.3,68.3,66.52,66.52,14234980,,,65.43695014881122,,62.632327341000206,,,,,,,,,72.13114754098356,78.79362540698003,,36.78679201742474,16.061911696618214
2025-09-04,67.01,68.5,66.42,68.4,8952641,,,65.89280397207104,,68.4316703530666,,,,,,,,,71.58264021101618,76.59312050749718,,34.384433639962,14.641798724496628
2025-09-05,69.0,69.1,67.01,67.01,11059084,64.527,,66.0646802840601,,60.905394351532415,,,,59.73519825117941,64.527,69.31880174882059,14.852082845384379,0.7590883481992079,67.00082556905296,70.2382044403509,,33.888781130126,13.363281960068935
2025-09-08,66.62,67.01,64.83,64.83,11267729,64.7055,,65.87472947112778,,51.364067295500185,,,,60.15383887465246,64.7055,69.25716112534755,14.06885388521083,0.5136763256942253,59.91207034372503,66.16517870793139,,30.861683052904688,21.102062578599394
2025-09-09,65.03,65.72,64.04,64.43,6203308,64.8545,,65.65246339864659,,49.82179666188111,,,,60.550508945176574,64.8545,69.15849105482343,13.272759962141185,0.45068530642921956,44.044764188649104,56.9858867004757,,28.731731094638626,22.89107957981024
2025-09-10,65.13,65.52,64.33,65.33,5013842,65.0185,,65.60285364500865,,53.224958232481406,,,,60.908885541197314,65.0185,69.1281144588027,12.64136963726537,0.5378989322627049,37.330135891286965,47.09565680788703,,27.294748018030816,21.746209684810843
2025-09-11,65.13,65.52,63.74,65.23,6357770,65.1525,,65.54549154577656,,52.79649385761931,,,,61.20188549083815,65.1525,69.10311450916186,12.127284476150114,0.5098086006392513,37.149128864447725,39.50800964812793,,25.25969517858862,22.596164878726505
2025-09-12,65.72,65.72,64.53,65.33,5700154,65.3165,,65.51233900027248,,53.202198079199945,,,,61.63126310123757,65.3165,69.00173689876245,11.284244865424316,0.5018316325884672,39.00314303530994,37.82746926368154,,24.82906032251185,21.445008143919924
2025-09-15,65.52,65.52,65.03,65.33,5376095,65.3465,,65.4842868463844,64.65461538461538,53.202198079199945,0.8296714617690242,,,61.67109376394933,65.3465,69.02190623605068,11.24897656661237,0.49775535016535516,37.26003490401393,37.80410226792386,,24.280541057004392,20.97124876828865
2025-09-16,65.52,66.12,65.13,65.13,6774895,65.411,,65.42978117770988,64.68982905982905,52.16229862015026,0.7399521178808328,,,61.79887652481256,65.411,69.02312347518745,11.044391540222415,0.46110321228907775,36.823734729493815,37.695637556272565,,25.946551822612175,20.009436613915334
2025-09-17,65.03,65.33,64.33,64.33,5636500,65.4255,,65.26058407344682,64.66317505539728,48.111373575882006,0.5974090180495466,,,61.83323344530223,65.4255,69.01776655469777,10.981242954804388,0.34751966713503407,27.35540256420819,33.81305739923865,21.496752349968055,24.713585495578847,22.86015624327047
2025-09-18,64.43,64.43,63.14,63.44,8795058,65.4105,,64.98049421599346,64.57256949573822,44.016006569297,0.40792472025523807,,,61.78782985216702,65.4105,69.03317014783298,11.07672360808426,0.22803209792937917,16.2288064588935,26.80264791753184,20.048705757437258,23.183138843929175,27.15716478835165
2025-09-19,63.74,64.04,62.55,62.55,6943361,65.4105,,64.60657202891754,64.42274953309095,40.31986323392477,0.18382249582658972,,,61.78782985216702,65.4105,69.03317014783298,11.07672360808426,0.1051945273417859,4.535961781755663,16.04005693495245,19.339808436627468,21.52504982119653,28.046900961234392
2025-09-22,62.55,62.74,61.36,61.55,6074286,65.301,,64.13633017831484,64.20995327138051,36.60087883075412,-0.07362309306567738,,,61.364204856739406,65.301,69.2377951432606,12.05738087704812,0.02359725823918657,2.2571090414489876,7.673959094032718,19.67920066591638,20.09176901240619,31.92124366079087
2025-09-23,61.95,62.65,61.75,61.75,3274863,65.18199999999999,,63.76920245857409,64.02773451053751,37.83585882886396,-0.2585320519634209,,,60.97612506129815,65.18199999999999,69.38787493870183,12.905019602656685,0.09199928076567003,2.4978466838931896,3.096972502365947,19.976342833387495,19.005435379353546,30.195307006025764
2025-09-24,61.95,62.25,61.36,62.25,3884578,65.1375,,63.53547900340885,63.89605047271992,40.9335779890687,-0.3605714693110684,,,60.82857496003931,65.1375,69.44642503996069,13.23024383791422,0.16493963422181704,6.330749354005167,3.695235026449115,20.532171038331033,18.150345153985498,30.808317638265805
2025-09-25,62.84,62.94,62.25,62.55,3876042,65.0585,,63.383866849038256,63.79634303029622,42.776111533848656,-0.4124761812579649,-0.5962069610560872,0.1837307797981222,60.62252310646231,65.0585,69.49447689353768,13.63688647459651,0.217255064644907,12.533138200971075,7.120578079623144,20.195193025316172,21.113672473647846,29.69291734119597
2025-09-26,62.74,62.94,62.45,62.55,3987553,64.756,,63.25557964149391,63.70402132434835,42.776111533848656,-0.44844168285444397,-0.5057379701220529,0.05729628726760895,60.50606635345912,64.756,69.00593364654088,13.125991866517023,0.24046653624868744,19.18688497099689,12.683590841991043,19.895647612684794,20.544823651709844,28.89292477379571
2025-09-29,62.45,62.45,61.95,62.15,2787923,64.4385,,63.08549046587946,63.58890863365588,40.80766082819305,-0.5034181677764238,-0.4485715640352262,-0.0548466037411976,60.41190702330118,64.4385,68.46509297669883,12.497475815541398,0.21582675313308933,20.88619518603896,17.535406119335644,20.045464896079896,19.839946500219718,30.760733461859687
2025-09-30,62.35,62.45,61.36,61.55,4111201,64.1105,,62.849261163436466,63.437878364496186,37.98407655010158,-0.5886172010597193,-0.42701647785481733,-0.16160072320490193,60.26916963149479,64.1105,67.95183036850521,11.983467196497333,0.16671702842934857,15.196078431372493,18.42305286280278,20.638296377571404,18.591997065997397,32.23058201266026
2025-10-01,62.25,62.25,61.55,61.95,3025888,63.882000000000005,,62.71091329213855,63.32766515231128,40.91902277635236,-0.6167518601727338,-0.36412090957426546,-0.2526309505984683,60.09790380671945,63.882000000000005,67.66609619328057,11.847143775337521,0.24472107719794892,10.994397759103633,15.692223792171697,21.17091272075516,17.816919212272992,30.88692806080218
2025-10-02,61.95,62.65,61.65,61.65,3664921,63.544500000000006,,62.54769586257878,63.20339365954749,39.412496116917765,-0.6556977969687097,-0.3224534770961931,-0.33324431987251657,60.26156548953526,63.544500000000006,66.82743451046476,10.33271018094327,0.21146241358743814,7.4929971988795465,11.227824463118557,21.113142076967538,19.153916141116753,29.025341369851727
2025-10-03,62.0,62.0,61.4,61.7,2827042,63.278999999999996,,62.41728111448974,63.09203116624767,39.81024373323727,-0.6747500517579326,-0.2732045855083328,-0.40154546624959975,60.31687306146403,63.278999999999996,66.24112693853597,9.362116779772027,0.2334685459529265,8.543417366946812,9.010270774976664,21.277545090191317,18.435940388169456,29.499195644944287
