period,Doanh thu kế hoạch,Lợi nhuận trước thuế kế hoạch,Lợi nhuận sau thuế kế hoạch,Tỷ lệ cổ tức bằng tiền (% VĐL) kế hoạch,Tỷ lệ cổ tức (%) kế hoạch,symbol,Doanh thu thuần kế hoạch,Tỷ lệ cổ tức bằng cổ phiếu (%VĐL) kế hoạch
2020,6740000000,,25000000,,,CFM,6740000000,
2025,4551342661,684909661,547927729,,,DST,,
2024,57600000000,,3064000000,,,DST,,
2023,100000000000,,10000000000,,,DST,,
2022,250000000000,,130000000000,,10,DST,,
2021,120000000000,,6500000000,,,DST,120000000000,
2020,120000000000,,6500000000,,,DST,120000000000,3
2019,199838299946,,1450100336,,,DST,199838299946,
2025,16500000000000,,170000000000,,,VPG,,
2024,10500000000000,,150000000000,,,VPG,,
2023,5500000000000,,110000000000,,10,VPG,,
2022,8621000000000,,280000000000,,15,VPG,,
2021,3000000000000,,150000000000,,15,VPG,3000000000000,
2020,2600000000000,,43000000000,,10,VPG,2600000000000,
2019,,,79500000000,,15,VPG,2650000000000,
2025,450000000000,14500000000,,,14,STC,,
2024,463000000000,16000000000,,,14,STC,,
2023,480000000000,17800000000,,,14,STC,,
2022,489000000000,19800000000,,,14,STC,,
2021,440000000000,20200000000,,,,STC,,
2020,397000000000,17500000000,,,13,STC,397000000000,
2019,356000000000,17300000000,,,13,STC,,
2025,60526000000,,,,,MBN,,
2024,72166177000,-9676856000,,,,MBN,,
2023,125256100000,2340600000,1872500000,,2,MBN,,
2022,108989000000,4077000000,3261600000,,3,MBN,,
2021,193000000000,6880000000,5500000000,,,MBN,,
2020,215330000000,6750000000,6400000000,,5.5,MBN,,
2019,200000000000,7500000000,6000000000,,4,MBN,,
2025,170000000000000,,15000000000000,,20,HPG,,
2024,140000000000000,,10000000000000,,,HPG,,
2023,150000000000000,,8000000000000,,,HPG,,
2022,160000000000000,,,,,HPG,,
2021,120000000000000,,18000000000000,40,40,HPG,,
2020,86000000000000,,9000000000000,,20,HPG,,
2019,70000000000000,,6700000000000,,,HPG,,
2025,4719000000000,975000000000,,,,VCS,,
2024,4602590000000,1033910000000,,,,VCS,,
2023,4713000000000,1060000000000,,,,VCS,,
2022,8065000000000,2431000000000,,,,VCS,,
2021,6797000000000,1919000000000,,,,VCS,6797000000000,
2020,6106000000000,1815000000000,,,,VCS,,
2019,5309890000000,1564630000000,,,,VCS,,
2025,14437000000000,1743000000000,,22,,VGC,,
2024,13353000000000,1110000000000,,20,,VGC,,
2023,16000000000000,1300000000000,,20,,VGC,,
2022,15000000000000,1700000000000,,16,,VGC,,
2020,10230000000000,1000000000000,,,11,VGC,,
2019,9300000000000,950000000000,,,10.5,VGC,,
2025,7162082000000,230000000000,184000000000,,3,HT1,,
2024,7031973000000,29005000000,23204000000,,,HT1,,
2023,8986816000000,345000000000,276000000000,,3,HT1,,
2021,8079000000000,815000000000,,10,,HT1,,
2020,8583800000000,830000000000,,,,HT1,8583800000000,
2019,8931266000000,917000000000,733600000000,,,HT1,8931266000000,
2025,1609000000000,86000000000,68000000000,,,SKV,,
2024,1510000000000,75000000000,60000000000,,17.7,SKV,,
2023,2150000000000,130000000000,103000000000,,,SKV,,
2022,1850000000000,101000000000,80500000000,,22.7,SKV,,
2021,1860000000000,110000000000,88800000000,23.95,,SKV,,
2020,1377000000000,99000000000,79500000000,,23.5,SKV,,
2019,2000000000000,,81000000000,,23.95,SKV,,
2025,175609000000,,6904000000,,12,HAD,,
2024,169938000000,,4507000000,,10,HAD,,
2023,187904000000,,5618000000,,,HAD,,
2022,141100000000,,3630000000,,,HAD,,
2021,196200000000,,1800000000,,10,HAD,,
2020,140200000000,,3300000000,,5,HAD,,
2019,162000000000,,7500000000,,5,HAD,,
2025,100000000000,,4000000000,,,SSG,,
2024,30216000000,,5242000000,,,SSG,,
2023,49414000000,,15616000000,,,SSG,,
2022,70868000000,,32212000000,,,SSG,,
2021,23450000000,,-200000000,,,SSG,,
2020,27467000000,,1715000000,,,SSG,,
2019,28400000000,,2207000000,,,SSG,,
2025,358488000000,133451000000,101451000000,,20,VRG,,
2024,300424000000,107589000000,82859000000,,,VRG,,
2023,246044000000,110984000000,88787000000,,,VRG,,
2022,396155000000,223481000000,178785000000,,60,VRG,,
2021,90998000000,44262000000,35410000000,,,VRG,,
2020,77313610000,40022310000,32017850000,,10,VRG,,
2019,67987000000,30013000000,,,,VRG,,
2025,1200000000000,38000000000,,,7,TVT,,
2024,1250000000000,37000000000,,,10,TVT,,
2023,1200000000000,35000000000,,,10,TVT,,
2022,1356000000000,85000000000,,,25,TVT,,
2021,1707000000000,85000000000,,25,,TVT,,
2019,2402660000000,119000000000,,,25,TVT,,
2025,25450000000000,,523000000000,5,,DGW,,
2024,23000000000000,,490000000000,,,DGW,,
