open,high,low,close,volume
198.75,198.75,198.75,198.75,10.0
193.5,195.0,193.0,194.5,77.0
195.0,196.0,190.0,196.0,67.0
186.0,186.3,186.0,186.3,39.0
180.0,183.0,180.0,183.0,55.0
179.5,179.5,179.5,179.5,0.0
180.0,197.0,180.0,197.0,146.0
195.0,204.0,195.0,199.65,57.0
201.85,201.85,201.85,201.85,5.0
202.0,203.0,202.0,203.0,24.0
197.0,197.0,197.0,197.0,57.0
194.0,194.1,194.0,194.1,55.0
196.0,196.75,196.0,196.75,112.0
198.0,198.0,198.0,198.0,5.0
195.0,196.0,193.5,195.4,33.0
190.0,190.0,188.75,188.75,19.0
186.25,186.25,176.0,183.25,40.0
183.0,186.0,182.25,182.25,71.0
180.9,184.0,180.9,184.0,33.0
192.0,193.0,192.0,193.0,43.0
192.0,199.7,191.5,191.5,8.0
187.0,187.0,187.0,187.0,6.0
182.5,182.5,180.0,180.0,83.0
180.0,180.0,179.25,179.65,57.0
176.0,176.0,175.0,175.05,10.0
175.0,177.0,174.05,174.05,26.0
181.0,181.0,179.0,179.0,38.0
182.8,182.8,182.8,182.8,10.0
183.1,183.1,183.1,183.1,45.0
193.35,193.35,193.35,193.35,113.0
195.0,195.0,195.0,195.0,0.0
196.0,196.0,196.0,196.0,77.0
200.0,200.0,198.0,198.0,16.0
198.0,199.5,195.4,195.4,49.0
199.5,199.5,199.5,199.5,17.0
212.0,212.0,212.0,212.0,20.0
204.0,205.0,204.0,204.65,35.0
205.5,209.5,205.5,209.5,77.0
204.0,204.0,203.25,203.25,27.0
203.25,203.25,203.25,203.25,0.0
202.0,205.0,202.0,205.0,80.0
202.4,202.4,202.4,202.4,65.0
195.0,195.0,190.25,190.25,50.0
181.0,181.0,181.0,181.0,47.0
180.0,183.0,180.0,183.0,87.0
183.0,183.0,183.0,183.0,40.0
196.5,197.0,196.5,196.5,51.0
194.0,194.25,194.0,194.25,13.0
195.5,195.5,195.5,195.5,52.0
192.25,192.25,192.25,192.25,31.0
190.0,191.75,190.0,191.75,22.0
191.5,193.5,191.5,193.0,38.0
190.0,190.0,186.5,188.5,108.0
186.0,187.6,186.0,187.6,79.0
187.6,187.6,187.6,187.6,0.0
190.0,190.0,190.0,190.0,28.0
182.0,182.3,182.0,182.3,27.0
170.0,170.0,170.0,170.0,152.0
168.5,168.5,168.5,168.5,47.0
168.5,168.5,168.5,168.5,0.0
167.65,167.65,167.65,167.65,25.0
171.0,171.0,164.25,164.95,154.0
162.0,162.0,160.1,160.1,85.0
163.0,163.0,163.0,163.0,68.0
162.5,162.5,162.5,162.5,0.0
