open,high,low,close,volume
123.76,123.76,123.76,123.76,0.0
124.2,124.2,124.2,124.2,0.0
124.34,124.34,124.34,124.34,0.0
124.69,124.69,124.69,124.69,0.0
124.94,124.94,124.94,124.94,0.0
126.34,126.34,126.34,126.34,0.0
125.77,125.77,125.77,125.77,0.0
125.92,125.92,125.92,125.92,0.0
125.85,125.85,125.85,125.85,0.0
124.12,124.12,124.12,124.12,0.0
124.05,124.05,124.05,124.05,0.0
126.8,126.8,126.8,126.8,0.0
127.02,127.02,127.02,127.02,0.0
126.64,126.64,126.64,126.64,46.0
125.5,125.5,125.5,125.5,0.0
127.33,127.33,127.33,127.33,0.0
127.37,127.37,127.37,127.37,0.0
129.48,129.48,129.48,129.48,0.0
129.44,129.44,129.44,129.44,0.0
130.49,130.49,130.49,130.49,0.0
130.04,130.04,130.04,130.04,0.0
130.09,130.09,130.09,130.09,0.0
128.91,128.91,128.91,128.91,0.0
130.0,130.0,130.0,130.0,0.0
128.26,128.26,128.26,128.26,0.0
128.01,128.01,128.01,128.01,0.0
127.73,127.73,127.73,127.73,0.0
126.66,126.66,126.66,126.66,0.0
126.01,126.01,126.01,126.01,0.0
126.01,126.01,126.01,126.01,0.0
126.01,126.01,126.01,126.01,0.0
126.01,126.01,126.01,126.01,0.0
125.86,125.86,125.86,125.86,0.0
125.64,125.64,125.64,125.64,0.0
122.19,122.19,122.19,122.19,0.0
120.24,120.24,120.24,120.24,34.0
119.67,119.67,119.67,119.67,0.0
119.16,119.16,119.16,119.16,0.0
119.75,119.75,119.75,119.75,0.0
121.05,121.05,121.05,121.05,0.0
120.5,120.5,120.5,120.5,0.0
119.92,119.92,119.92,119.92,0.0
119.11,119.11,119.11,119.11,0.0
120.01,120.01,120.01,120.01,0.0
120.34,120.34,120.34,120.34,0.0
120.26,120.26,120.26,120.26,0.0
119.31,119.31,119.31,119.31,0.0
117.21,117.21,117.21,117.21,0.0
116.76,116.76,116.76,116.76,0.0
117.6,117.6,117.6,117.6,0.0
116.71,116.71,116.71,116.71,0.0
116.21,116.21,116.21,116.21,0.0
103.61,103.61,103.61,103.61,20.0
103.61,103.61,103.61,103.61,20.0
106.01,106.01,106.01,106.01,20.0
105.48,105.48,105.48,105.48,20.0
103.87,103.87,103.87,103.87,20.0
103.55,103.55,103.55,103.55,20.0
107.4,107.4,107.4,107.4,20.0
106.05,106.05,106.05,106.05,20.0
106.85,106.85,106.85,106.85,20.0
104.8,104.8,104.8,104.8,20.0
105.16,105.16,105.16,105.16,20.0
106.77,106.77,106.77,106.77,20.0
106.84,106.84,106.84,106.84,20.0
107.38,107.38,107.38,107.38,20.0
107.27,107.27,107.27,107.27,20.0
107.1,107.1,107.1,107.1,20.0
107.16,107.16,107.16,107.16,20.0
106.54,106.54,106.54,106.54,20.0
