open,high,low,close,volume
2.58,2.605,2.375,2.405,15979.0
2.44,2.62,2.415,2.565,10411.0
2.605,2.605,2.45,2.47,9346.0
2.47,2.56,2.36,2.39,8911.0
2.395,2.42,2.22,2.275,11030.0
2.2249999046325684,2.2320001125335693,2.184000015258789,2.196000099182129,3802.0
2.31,2.375,2.165,2.175,13417.0
2.2249999046325684,2.2950000762939453,2.056999921798706,2.072999954223633,133999.0
2.195,2.425,2.115,2.3,17803.0
2.295,2.485,2.235,2.43,17517.0
3.215,3.255,3.18,3.255,786.0
3.135,3.155,3.02,3.03,558.0
2.455,2.59,2.415,2.55,13337.0
3.135,3.155,3.02,3.035,777.0
2.609999895095825,2.609999895095825,2.54099988937378,2.5480000972747803,3838.0
2.657000064849853,2.66599988937378,2.640000104904175,2.640000104904175,710.0
2.9049999713897705,2.91599988937378,2.867000102996826,2.867000102996826,2011.0
2.727999925613404,2.7330000400543213,2.7049999237060547,2.71399998664856,5500.0
3.035,3.06,2.925,3.01,3617.0
3.03,3.09,2.955,2.995,2165.0
2.92,2.935,2.9,2.925,395.0
2.650000095367432,2.6710000038146973,2.553999900817871,2.578000068664551,8740.0
2.8299999237060547,2.8299999237060547,2.694000005722046,2.713000059127808,21167.0
2.4260001182556152,2.463000059127808,2.4049999713897705,2.450999975204468,4478.0
2.150000095367432,2.191999912261963,2.1489999294281006,2.1689999103546143,5656.0
2.220000028610229,2.233999967575073,2.188999891281128,2.193000078201294,1197.0
2.4170000553131104,2.447999954223633,2.256999969482422,2.32699990272522,140560.0
2.21399998664856,2.2160000801086426,2.184000015258789,2.2070000171661377,4677.0
2.628999948501587,2.696000099182129,2.483999967575073,2.492000102996826,194535.0
2.6989998817443848,2.7929999828338623,2.6480000019073486,2.657000064849853,79618.0
2.569999933242798,2.638999938964844,2.569999933242798,2.624000072479248,4382.0
2.720999956130981,2.733999967575073,2.683000087738037,2.690000057220459,2118.0
2.5789999961853027,2.5999999046325684,2.571000099182129,2.586999893188477,1880.0
2.776000022888184,2.808000087738037,2.776000022888184,2.7780001163482666,3043.0
2.700000047683716,2.7049999237060547,2.651000022888184,2.687000036239624,4717.0
2.609999895095825,2.609999895095825,2.5409998893737797,2.5480000972747803,3838.0
2.657000064849853,2.6659998893737797,2.640000104904175,2.640000104904175,710.0
2.9049999713897705,2.9159998893737797,2.867000102996826,2.867000102996826,2011.0
3.400000095367432,3.4049999713897705,3.3550000190734863,3.380000114440918,6180.0
2.8970000743865967,2.950999975204468,2.7980000972747803,2.865000009536743,28008.0
2.7279999256134038,2.7330000400543213,2.7049999237060547,2.71399998664856,5500.0
2.950000047683716,2.963000059127808,2.8559999465942383,2.868000030517578,9112.0
3.11299991607666,3.188999891281128,2.822000026702881,2.900000095367432,265883.0
2.380000114440918,2.3980000019073486,2.311000108718872,2.33899998664856,11738.0
2.680000066757202,2.759999990463257,2.651000022888184,2.6700000762939453,553.0
1.8049999475479128,1.809999942779541,1.7829999923706057,1.8009999990463257,6118.0
1.5329999923706057,1.565999984741211,1.5219999551773071,1.5429999828338623,8164.0
1.5329999923706057,1.7089999914169312,1.5219999551773071,1.5759999752044678,170384.0
1.659999966621399,1.6979999542236328,1.6549999713897705,1.662999987602234,3812.0
