Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
KHG,2025,5,0.4009380104,0.3223250462,3.803421405026827e-05,1.1762000599941875,0.0911669581,1634.9298070317,93.71519798665945,89.3329365863,11.0842389489,194.13237352185945,4.0858390415,0.0495129655894971,0.21209806398833048,0.10729210093350612,0.0126446424,0.004637241,0.0097814945,30905518418.0,30652713179,2.1994322016,0.1043168374,2.0420179516,-0.22704994924315258,1.3223250462315546,2957283648900.0,449435205.0,44.5220599745,0.5594286401,4.7768653525,-5.1240003345,147.79190369388175,11762.0005999419,135.4594480515,year,KHG
KHG,2024,5,0.3110197803,0.2627194751,0.00010656734421438383,1.1614208696247994,0.0477344055,514.1606995485,262.2345780181621,231.57696984,60.3213715236,554.1329193817621,1.5761498229,-0.1312608754988636,0.14655163800805804,0.17630350344676637,0.0105201794,-0.0065042591,0.0084157429,-40125130162.0,-40670149987,2.2119014676,0.1370838791,2.0035399073,0.33853311044315076,1.262719475068156,3096608562450.0,449435205.0,56.6871849036,0.5932388663,9.994149299,-50.6977950186,121.54422576664861,11614.208696248,-100.2523913451,year,KHG
KHG,2023,5,0.2410357912,0.2372656424,0.00012564271089493938,1.1492664470481346,0.0492029802,450.5819766328,416.0552201838471,405.0647393102,183.7703600952,1004.8903195892472,0.9010905284,-0.37740126074235064,0.08388012048227896,0.07672862537530657,0.0049220775,-0.0202169149,0.003775277,-124299785191.0,-124742570079,1.8888042458,0.0509100273,1.6274177482,1.0681380819265065,1.2372656424493877,2494365387750.0,449435205.0,98.3538382431,0.4829167348,7.5465548088,-7.7694786358,56.42891115527988,11492.6644704813,-27.7492254126,year,KHG
KHG,2022,5,0.1960963102,0.3705942906,0.00015917898824815592,1.1436235559326067,0.2073829728,2746.3486587523,137.6065034765614,179.5436936282,139.7697626731,456.9199597778614,2.0329313307,0.24412280300288203,0.3766383485201213,0.31690820056616703,0.089958008,0.0554422677,0.0657213647,341139211621.0,340845305315,1.1446856595,0.102789429,0.8980945787,-2.8324973118462196,1.370594290581388,2817958735350.0,449435205.0,6.3687204028,0.5482573324,2.0182997228,-2.7618103045,984.4991777713542,11436.2355593261,10.6412828628,year,KHG
KHG,2021,5,0.255362184,0.366792213,4.2282246611525335e-05,1.0451736381554713,0.2930638637,6485.6008195817,102.06926880720707,203.9300649966,110.3057318817,416.3050656855071,1.7898292731,0.3914694376290266,0.4514631639916055,0.32100838098048895,0.1281101247,0.0941634473,0.0940759564,504395240570.0,504268299528,1.8499666439,0.4782994344,1.5114393331,-9.384546420779733,1.3667922129824566,1323092820050.0,318817547.0,3.1997064444,0.2816662275,1.0271325853,-0.53147937,1296.9939811970262,14733.7507845828,2.8096054327,year,KHG
KHG,2020,5,0.3247863985,0.3483632941,0.0,0.3911742158006959,0.1607155512,8331.368808866,115.52129204948987,0.0,0.6305913822,116.15188343168987,0.0,0.32777287130705185,0.47233054659620477,0.31919173301760956,0.0640552851,0.0468653364,0.0512990753,99378222190.0,99305492138,2.145851967,0.414383533,2.1434064576,-4.874240752010265,1.3483632941227157,3200000000000.0,160000000.0,33.0901001177,1.8201730061,10.5620864023,16.6832572024,604.4103804125,10987.9664918188,34.2025467804,year,KHG
KHG,2019,5,0.0288575354,0.1097037244,5.7659616875475775e-05,0.28065646922897375,0.097136922,395.4280933264,32.7639863311887,0.0,6.0368555788,38.8008419099887,0.0,-0.0733275198411852,0.34764398843748046,0.07431867333050468,0.0080838286,-0.0078309192,0.0072190872,-9474511994.0,-10020201272,6.1273998735,0.176714309,6.1223903907,18.34520576965491,1.1097037243991885,1644000000000.0,120000000.0,161.8804547545,1.3033458321,12.0307406355,-65.5875334278,84.63035281666667,10511.4081485417,-173.4027974282,year,KHG
KHG,2018,5,0.0,0.1299489453,0.0004942557056101847,0.27839682373947544,0.1209890183,276.6005775774,24.261997146002194,0.0,9.7122690267,33.974266172702194,0.0,0.1611888279611332,0.44140945480992433,0.09606964903763164,0.0131338175,0.0220363525,0.0116233725,28428444709.0,27572178156,4.4962769682,0.1639920894,4.4895778882,0.0,1.1299489452761586,1644000000000.0,120000000.0,100.0413331539,1.3139246149,9.6109357654,44.7491024602,136.943396975,10426.777795725,56.9549204621,year,KHG
KHG,2025,4,0.4009380104,0.3223250462,3.803421405026827e-05,1.1762000599941875,0.0911669581,1634.9298070317,93.71519798665945,89.3329365863,11.0842389489,194.13237352185945,4.0858390415,0.008196095567913638,0.10814582564160286,0.052153516591345164,0.0126446424,0.004637241,0.0097814945,30905518418.0,1939528920,2.1994322016,0.1043168374,2.0740235801,-0.05156015690867953,1.3223250462315546,2957283648900.0,449435205.0,44.5220599745,0.5594286401,4.7768653525,-5.1240003345,27.460330175959403,11762.0005999419,132.6701513891,quarter,KHG
