Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
BTU,2024,5,0.0,0.7692915678,0.18381317869866334,1.77430785025,1.0596086867,10.6908552629,179.28958955668733,40.907829482,19.0675147894,239.26493382808732,8.9224973464,0.11574477455212513,0.2818964501479355,0.11021462336671209,0.1932988892,0.193443279,0.1167843723,15096182522.0,12356205426,0.1298701299,2.0466587743,0.5858579086,1.7852372562,1.769291567821415,55440000000.0,3600000.0,4.7119456679,0.867944083,0.5193253171,4.3632229815,3268.288958611111,17743.0785025,1.7654651787,year,BTU
BTU,2023,5,0.0011155031,0.5292054255,0.1422342381047071,1.6072831895833333,1.2562984965,11.7139340948,114.13102244334522,44.3309162742,15.3823628392,173.84430155674522,8.2335316,0.08196115287850407,0.2548378961870213,0.08283068756476634,0.1517739509,0.1458716581,0.1040600682,10883098302.0,8449869655,0.0740740741,2.5631949449,1.0264351286,2.2013995165,1.529205425452853,48600000000.0,3600000.0,5.6911895682,0.8399266593,0.471405145,19.3707438493,2372.0875641666667,16072.8318958333,1.583564515,year,BTU
BTU,2022,5,0.0069345225,0.3837085462,0.17144293443928318,1.5185332630833333,1.0630056115,8.5157071829,138.41386811511344,33.827212584,13.910041057,186.15112175611344,10.7901293698,0.08538808142334957,0.2376830208886729,0.08915933430310066,0.129115657,0.1216614127,0.0947768727,8711954208.0,6689156517,0.0714285714,3.0802308711,1.6714481266,2.6790775664,1.383708546210505,50400000000.0,3600000.0,8.4892788751,0.922715517,0.6433635232,3.4636708491,1940.1638969444443,15172.6070955556,1.8092015654,year,BTU
BTU,2021,5,0.016424232,0.3404581643,0.16863897871637132,1.4867783179166667,1.2028498726,9.1389510501,153.7181157977917,27.0319000788,21.1374839105,201.8874997870917,13.5025654481,0.07966851870398288,0.1670647244931454,0.07466337652265757,0.1244646792,0.1304156101,0.0898088329,9130350719.0,7053993190,0.1333333333,3.4336932841,1.398277677,3.1757828772,1.3404581643149054,32400000000.0,3600000.0,5.7659361507,0.6063737105,0.3659289053,2.1375315596,1836.341373888889,14842.3321205556,0.8678732915,year,BTU
BTU,2020,5,0.026166636,0.432017688,0.1963897383517803,1.4640048049166667,1.1446975538,8.7480434355,164.2465335194238,27.2141956134,27.6654138286,219.1261429614238,13.4121178955,0.09123690221006016,0.24533611816995657,0.09633300750203912,0.1553331865,0.1431994553,0.110272158,9547311200.0,7663851330,0.0909090909,2.8708523856,0.6710238894,2.464216324,1.432017687953028,47520000000.0,3600000.0,6.9451229653,0.9039937127,0.5657178625,85.947708311,2247.7559633333335,14601.8714672222,3.5020054072,year,BTU
BTU,2019,5,0.0364987148,0.3846973887,0.17196907963207766,1.4301043211666666,1.1612676759,9.6264313229,158.98311824569842,17.6551604484,24.0453960593,200.68367475339844,20.6738421362,0.12813135583608118,0.23194873168691899,0.11142999574019365,0.1899269289,0.198446762,0.1294000522,12093242642.0,10428040183,0.1111111111,3.197085582,1.2114744572,3.0815050107,1.3846973886772647,48600000000.0,3600000.0,6.3047523513,0.9473590401,0.5971576427,5.0204944346,2519.1085819444443,14250.1411063889,2.2043126395,year,BTU
BTU,2018,5,0.054053137400000006,0.5648979306,0.18301373670871834,1.2226091161944443,1.2609241958,9.3029474881,146.91492294908022,26.0226573915,28.6470239006,201.58460424118022,14.0262385393,0.12997472270398547,0.2569861111047263,0.10780843843915265,0.1964226439,0.228427408,0.1359382685,12111475302.0,10354265741,0.0888888889,2.4617356688,0.7930959281,2.2374896147,1.5648979305510673,48600000000.0,3600000.0,6.995545805,1.1099724955,0.6100646518,3.5632976347,2385.6716083333336,12162.4635333333,2.5628412999,year,BTU
BTU,2017,5,0.0835533428,0.3233816033,0.20885267078328984,1.2065116418055555,1.2364744941,8.1217885637,149.98788096483565,36.9000184266,22.6116625456,209.49956193703568,9.8915939765,0.11317559157162935,0.24756492737496072,0.09476139854384841,0.1529800621,0.1719759102,0.1171700523,10638392315.0,7781731866,0.0777777778,3.8554604238,1.145082618,3.4271846703,1.3233816033327148,48600000000.0,3600000.0,8.7753065801,1.1263533243,0.7068264295,4.3492536499,1809.8911230555555,11985.5818852778,3.4223820621,year,BTU
BTU,2016,5,0.0,0.2871496051,0.1882808426172496,1.1596674507222222,1.0575590277,6.8230764137,161.4697661722478,30.1489820951,20.1272071581,211.7459554254478,12.1065447201,0.11778113430385394,0.253187901081842,0.09863485708208117,0.1340851708,0.1571356898,0.1043121836,8804614114.0,6560105214,0.0740740741,3.5675514276,0.8024911833,3.0175875501,1.2871496051287545,48600000000.0,3600000.0,10.4477775915,1.1731381774,0.8725718476,-18.019695133,1526.0297180555556,11507.5958319444,4.4272005006,year,BTU
