Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,Chỉ tiêu định giá,Chỉ tiêu định giá,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/S,P/Cash Flow,EPS (VND),EV/EBITDA,,P/B,BVPS (VND),
BHC,2024,5,-0.6175369064,-1.4458309862,-0.24782782737465867,-1.7120530134222223,0.2114494898,0.3708332198,1191.9482819818986,0.0,3234.4169910686,4426.365273050498,0.0,0.21696827498481502,0.2322393427137969,0.03941779568287032,-0.0038997496,-0.0321250642,0.0083348728,4403775064.0,1656982777,0.0047577998,0.0006419621,0.0047577998,-0.8627513166167116,-0.4458309861866047,5400000000.0,4500000.0,17.9382332813,0.7070856144,2.8625370735,66.89622,6.9973721787,year,,,BHC
BHC,2023,5,-0.6678850948999999,-1.4898502202,-0.28567372202647945,-1.7187426354222222,0.2557077741,0.4302972554,892.956819598998,0.0,3255.0962452398,4148.053064838798,0.0,0.43036227883979256,0.432852138069988,0.0442374310741115,-0.0058160025,-0.0880597776,0.011311855,7383795665.0,4388913436,0.0057418259,0.0017219429,0.0057418259,-1.638386350149172,-0.4898502202350169,7650000000.0,4500000.0,16.9569882601,0.7501335994,4.343593013,100.253652,4.7428616592,year,,,BHC
BHC,2022,5,-0.7164577632,-1.5383110148,-0.3252883118805727,-1.7287680006222221,0.1507281053,0.2438847899,1384.3841901799244,0.0,3199.2010911547,4583.585281334625,0.0,0.024276947124071385,0.033144550861890956,0.06678017995518928,-0.0056330565,-0.0033109736,0.01006565,3513905963.0,159758786,0.009747054,0.0023970786,0.006528347,-0.06470671381737407,-0.5383110148438052,7650000000.0,4500000.0,17.4077712387,1.1624940959,4.3536964014,97.65753333333333,10.5306285056,year,,,BHC
BHC,2021,5,-0.7645844773999999,-1.5808325579,-0.3663343475729666,-1.7385337539555556,0.2619568975,0.4086055362,722.1667162685721,0.0,2933.0058806926,3655.172596961172,0.0,0.34782266245516036,0.40406609214347206,0.04229490252339271,-0.0068008602,-0.0941130632,0.0110794414,8854899277.0,4390445989,0.0065886478,0.0024622352,0.0065886478,-1.7459953033178546,-0.580832557852102,9900000000.0,4500000.0,18.5437004197,0.7843040017,4.5761215099,118.63867244444444,4.6625160376,year,,,BHC
BHC,2020,5,-0.8124695745,-1.6465977911,-0.4205299942369206,-1.7503976212,0.2371970457,0.3633208291,698.474902573654,0.0,2813.4365688495,3511.911471423154,0.0,0.4399011002695129,0.385908899091932,0.08091094929955593,-0.0138334061,-0.1324333482,0.0191918381,11381057420.0,5965411796,0.0132543106,0.0008043335,0.0132543106,-1.9170866743344777,-0.6465977911424329,18000000000.0,4500000.0,16.4051357346,1.3273551057,-8.136175149,243.82608377777777,4.5388097718,year,,,BHC
BHC,2019,5,-0.9091889073,-1.7939754592,-0.5199382408025287,-1.7747802295777777,0.4326342182,0.9247827316,358.66153839677224,147.5470848022,930.5680780773,1436.7767012762722,2.4737865915,0.11893565517686802,0.10924537789389477,0.0034925053741335266,-0.0017950328,-0.1162454357,0.0015109773,10689722116.0,4886460860,0.0527984799,0.0324266277,0.0527984799,-1.3439756325290384,-0.7939754591735255,11250000000.0,4500000.0,78.4030728318,0.2738231532,0.6132434795,31.886505333333332,4.3137230095,year,,,BHC
BHC,2018,5,-1.1245073809,-2.5813069077,-0.591538740293641,-1.777968880111111,1.239371932,3.1492656327,137.5008990133694,51.3712093212,259.4931651044,448.36527343896944,7.1051471208,-0.062094115075985404,0.03199852523572147,-0.09323807923413006,0.186179251,0.3638044249,-0.1155566584,-3950443100.0,-9075473634,0.3984660872,0.0120013336,0.203285505,2.1337470009035484,-1.581306907665129,11250000000.0,4500000.0,-0.8255442314,0.0769721585,1.0551485444,-3028.305334888889,-16.316832452,year,,,BHC
BHC,2017,5,-1.4219821257,-2.6471222564,-0.6853049915874198,-1.4751383466222223,1.3390077657,3.8273305704,112.28344282221764,37.387625033,185.1574683419,334.8285361971176,9.7625885484,-0.12053094062916749,0.06692609022187519,-0.20683150661120045,0.8051741245,2.4431467223,-0.2769489935,-15602309712.0,-22015809248,0.370882988,0.016216263,0.2854853222,4.898357567500638,-1.647122256361206,11250000000.0,4500000.0,-0.2977828754,0.0615908808,-49.8544610904,-8395.378669777778,-4.2716819888,year,,,BHC
BHC,2016,5,-2.276375415,-6.9536473744,-1.819286501120521,-0.6102189478888889,1.510726345,4.6993362187,83.12675003454515,34.4497488992,145.1877281566,262.7642270903452,10.5951425384,0.038743688983502396,0.11963677437620947,-0.01149413387188366,0.1051340989,0.2688740813,-0.0173644909,13237629553.0,8994505049,0.4202579917,0.026837039,0.2898969323,-1.2685911017530795,-5.953647374441821,11250000000.0,4500000.0,-4.2159938746,0.048459198,1.1857045203,-592.9799886666667,5.0674293628,year,,,BHC
