Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
DST,2016,5,0.026121744199999998,0.0203114952,0.8283846640155859,0.6955760425479877,0.2096010241,0.2726354368,35.861932238975044,11.381123524,12.7506138686,59.993669631575045,32.0706474393,0.02011043065431663,0.20427720667344257,0.0167036699932462,0.0036232251,0.0037377497,0.0035011063,1491827811.0,852225850,18.1938720122,1.4032398701,12.9886984964,-3.198718535085697,1.020311495208137,77550000000.0,16500000.0,109.5561012107,0.4652879649,1.8299889604,-13.4856441458,42.90039484848485,10101.2713735758,52.3099111946,year,DST
DST,2015,5,0.0,0.054590378,0.7512717376341136,0.5141231512879257,0.3785768809,0.5533929037,61.90431227294557,13.9659374915,25.1901391042,101.06038886864556,26.1350160146,-0.005671819067967552,0.08616192824938179,0.021976123934641503,0.0088955056,-0.001219883,0.0083196525,-10485399.0,-202575935,16.9807024354,5.7115419125,16.3447213238,0.0,1.0545903779575039,77550000000.0,16500000.0,98.8018832625,0.467037389,2.1712824316,14.7981387778,47.56994345454545,10063.4341283636,-6354.5527408161,year,DST
DST,2014,5,0.0,0.3025198813,0.41529663652660614,0.032229955783281736,2.3296013203,7.6708698339,73.96216076758708,17.4319798263,43.3113374826,134.70547807648708,20.9385281326,-0.003501395361637281,0.07081423208208462,0.004167773392920888,0.0132482575,-0.0113814383,0.0097092504,57553757.0,-118483911,2.9327766527,0.0916652544,2.5057424382,0.0,1.3025198812510452,4700000000.0,1000000.0,33.3254122846,0.4514769952,0.1388927666,-2.0402497192,141.033514,10410.275718,76.6469025645,year,DST
DST,2013,5,0.0,0.4237980121,0.4135240185430965,0.03368607352321981,2.0467964911,6.927498374,79.5019986596738,23.3582829423,53.0120385128,155.8723201147738,15.6261485873,0.004225489003222981,0.08458287813539442,0.00588336256869752,0.0168864836,0.0120264964,0.0120420459,248623089.0,130855518,2.3838573206,0.6561727837,2.0266843033,-2.133513892029967,1.4237980120766387,4700000000.0,1000000.0,25.7962857871,0.4319614033,0.1517689022,2.036884613,182.196772,10880.601748,6.7341730076,year,DST
DST,2025,4,0.0,0.0026055496,0.0,1.2402794270959752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054156414,-0.0063247285,0.0053969396,-2533751091.0,-639392856,34.9734092042,3.3627036879,34.9734092042,0.0,1.002605549638576,347965200000.0,32219000.0,160.7272693273,0.8685878499,0.0,-224.256661422,-11.950951767590553,12433.9754477793,-136.1485540258,quarter,DST
DST,2025,3,0.0,0.0025668032,0.0,1.2416572837987616,0.077580898,0.0,3.5892757381408353,0.0,2.3443830702,5.9336588083408355,0.0,0.0,0.0,0.0,0.0062768706,-0.0110369197,0.0062493247,-4342092409.0,-475265032,6.0727734375,7.7816201389,6.0727734375,0.0,1.0025668031893715,438178400000.0,32219000.0,174.5484334514,1.092563537,14.0602889068,11.3328856699,38.12296896241348,12447.7886547379,-100.2235112268,quarter,DST
DST,2025,2,0.0,0.0077830461,0.0,1.2394276142229101,0.0962659458,11.0258232573,98.46376640659697,367.9186620487,88.494028986,554.876457441297,0.9920670997,0.0,0.0,0.0,0.0037021827,-0.0121234569,0.003564511,-4769122773.0,-759469148,2.5722667893,3.1609900895,2.5722667893,0.0,1.0077830460882786,302858600000.0,32219000.0,204.8024191547,0.7565126948,7.5833720122,7.6770076714,40.95402402309197,12425.4359040939,-62.4897906108,quarter,DST
DST,2025,1,0.0,0.0033147649,0.0,1.2353424820247678,0.124600992,14.5178262609,150.98064900053595,196.9601019145,93.9408437539,441.8815946689359,1.8531671971,0.0,0.0,0.0,0.0046270636,-0.0118218631,0.0043752487,-4590623878.0,-659624055,3.1385056378,5.0550706352,3.1385056378,0.0,1.003314764861548,264195800000.0,32219000.0,143.0792137755,0.6621189388,5.024094411,6.6754670357,0.06853033924082064,12384.4818800708,-57.1865032145,quarter,DST
DST,2024,4,0.0,0.0043286787,0.0,1.2363556639009288,0.1480929256,32.8872928506,19.283465720095485,13.4401966124,18.5506439184,51.274306250895485,27.1573408133,-0.0812487614032072,0.018611332060049716,-0.0012718217910567776,0.0044615972,-0.0114043764,0.0043148583,-4380608484.0,-2532056952,2.8460814788,4.3800245908,2.8460814788,0.0,1.0039652602776354,157873100000.0,32219000.0,88.9030949845,0.3957669205,2.5902942588,3.9632151198,-1.2301864117446228,12381.0246543034,-38.7916861212,quarter,DST
DST,2024,3,0.0315742264,0.1395214391,0.009076714925307297,1.2354788197739939,0.1346664721,15.8923265496,212.77073297459464,104.0718146867,101.478723748,418.32127140929464,3.5071935768,-0.10284981741679082,0.029347199012416038,0.022422809354863387,0.0257118948,-0.0067170461,0.0237361672,-2638652765.0,-902295396,1.6039921443,0.0999599071,0.8959271725,6.114133822477377,1.1395214391232618,177204500000.0,32219000.0,17.3138932715,0.4440663823,3.0517281675,10.1858055622,6.105527390670101,12385.5356298147,-71.7269781918,quarter,DST
