Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu thanh khoản,symbol
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,(ST+LT borrowings)/Equity,Interest Coverage,
VRG,2025,5,1.6898221447,0.30906555580521533,1.352122087561906,0.1359651724,1.3527236139,197.52437580405882,1.0728296517,95.6445841525,294.24178960825884,340.2217671892,0.3167448835243184,0.6183788617617768,0.2686946149755249,0.095033539,0.1211762452,0.0365331097,75786783090.0,42427466568,0.0,5.3292979688,1.6514281735,4.0672140974,2.689822144659116,471467861676.0,25894868.0,13.0995277585,1.3465500022,3.5197725674,25.87092289,1389.8974326109715,13521.2208756191,4.8354693405,year,,,VRG
VRG,2024,5,1.5252033305,0.22054174817869368,1.572945099476854,0.10333256,1.199742564,159.60738594547757,6.8851684138,866.4974403956,1032.9899947548777,53.0125013747,0.6549671842283836,0.92547815130876,0.5166976959072138,0.1356482886,0.1826517663,0.0533916956,86897371004.0,74396266695,0.1954324641,4.5880590029,1.4358199163,2.60822921,2.5252033304636616,463751191012.0,25894868.0,8.2592157932,1.1385648492,4.0827561013,70.2579141942,2266.4932233290397,15729.4509947685,3.8777596943,year,,,VRG
VRG,2023,5,1.5543396777,0.21729145835527086,1.768775236780508,0.5870458559,5.3244650743,46.386712581601046,0.0,24.2355700473,70.62228262890105,0.0,0.43396538599696527,0.5852682921506951,0.33997009980431186,0.4800010937,0.5200097997,0.1995780382,250418625210.0,238175935142,0.1542395584,3.6103568078,1.2143504204,2.2444600304,2.5543396776944878,637971862916.0,25894868.0,3.6333472259,1.3928847198,1.1624083918,1.2868021612,7205.594357036305,17687.7523678051,1.763682385,year,,,VRG
VRG,2022,5,1.1910571597,0.33382431556976006,1.2335489041457945,0.1861278903,1.1025039627,200.13835542577613,0.0,75.1946438514,275.3329992771761,0.0,0.4600564569861104,0.6585807210639776,0.40643461466927694,0.1693049955,0.1769103664,0.0756488174,95983319114.0,56509746008,0.0638162093,7.7519466104,1.0861260072,6.0850852822,2.1910571597464608,730390646808.0,25894868.0,14.9881346856,2.2865733094,5.9462474515,-25.5181465464,1927.9209005043008,12335.4890414579,7.231348404,year,,,VRG
VRG,2021,5,1.2935557387,0.42983486177666663,1.0439041558775275,0.0279924849,0.1478065643,452.0530906799401,0.0,656.3478329027,1108.4009235826402,0.0,-0.18731309754547198,0.4640723989202064,0.2438478172304919,0.0158985958,-0.0123525391,0.0068259063,4605338450.0,-3339108766,0.0,10.2507760269,0.6987153287,2.8395557828,2.293555738676995,877188653500.0,25894868.0,242.5238920608,3.2450297098,49.2074189053,-14.0056818592,167.86787424442556,10439.0415587753,187.1776247183,year,,,VRG
VRG,2020,5,1.3639572394,0.45213106004542436,1.067827933959733,0.0328438417,0.3470638683,286.4874951460591,0.0,553.1227600935,839.6102552395591,0.0,-0.09326314054695234,0.49173737507812565,0.5077783760313637,0.0392121694,-0.0073452561,0.0166773926,8344517275.0,-2031056106,0.0149214757,7.2507564033,0.1307347988,0.7804332329,2.363957239391002,694163726476.0,25894868.0,63.8355970993,2.5104231822,31.8749880881,-86.5936502351,427.0437651197913,10678.2793395973,82.6121253093,year,,,VRG
VRG,2019,5,1.3389640475,0.0016583842570493002,1.1102906044471823,0.0974451385,103.3293492197,104.1458310299848,0.6122836239,144.7856391228,249.5437537766848,596.1289601341,0.3316867285728927,0.532972135524514,0.5066518546549644,0.1008619227,0.0628605515,0.0493707601,18205199095.0,18072929441,0.0338767732,11.9158048648,2.1480002863,3.2467714778,2.3389640475458635,611507307820.0,25894868.0,23.199694899,2.1269206373,11.2227992198,2.8005576022,1066.0961951997592,11102.9060444718,30.427147254,year,,,VRG
VRG,2018,5,0.7154906854,0.0022233272637681425,1.0036809849272064,0.0166420126,11.4050042762,761.335269058917,6.4379722629,714.6512569381,1482.424498259917,56.6948699213,-0.7761911233647372,0.31226161355682974,0.2768379055945211,0.0075248981,-0.0210190362,0.0046071399,-5340513364.0,-5462886730,0.0,2.4980129236,0.602916204,1.4945822062,1.7154906854362013,611507307820.0,25894868.0,313.8503176408,2.3528392342,86.8856646059,16.7890813348,75.2428743023521,10036.8098492721,-110.2934756337,year,,,VRG
VRG,2017,5,0.550513135,0.0025444910341226356,0.9961566974969712,0.0786974698,47.6129537234,92.19066927786615,0.0,54.8440525221,147.03472179996615,0.0,-0.03825446555738894,0.12547619305785473,0.10411556754127527,0.0126937348,-0.0046345566,0.0081936317,-1166962509.0,-1195499913,0.0,6.1489037139,1.222400019,2.710006306,1.5505131349567096,611507307820.0,25894868.0,187.9397179239,2.3706109751,19.5674503952,87.4014882007,125.6519923561688,9961.5669749697,-510.7166623354,year,,,VRG
