Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
DBM,2024,5,0.4878925175,0.059173034300767695,3.484833335496511,2.0615727701,53.1982947026,45.79937278785375,48.8755263119,58.2118179868,152.88671708655374,7.4679502717,0.0004844073474612389,0.09306214300942538,0.013118463923756504,0.0408221863,0.0015252722,0.027044668,803303892.0,103201601,0.0429104478,2.9132025237,0.3357529612,1.0732993977,-33.63266626321129,1.4878925175318471,52034558400.0,1941588.0,18.618006392,0.7690468215,0.2442396452,14.0011840897,1439.4666880924274,34848.3333549651,50.978093354,year,DBM
DBM,2023,5,0.5304793567,0.057831837702585896,3.5675409723381066,2.1970509867,63.2043410434,48.047285134402614,47.3993986704,56.2938895247,151.7405733295026,7.7005196319,0.015622856365528634,0.09953031346790603,0.023771194551240285,0.0817737196,0.0533095092,0.0522265264,4312887094.0,3692586970,0.0596491228,2.7619659939,0.2434644638,1.0330085857,-641.5593059612443,1.5304793567180253,55335258000.0,1941588.0,12.2463457259,0.7988695917,0.234116297,14.4343155883,2893.771401038737,35675.4097233811,10.7559580826,year,DBM
DBM,2022,5,0.6016005554,0.05096667863858648,3.509968561146855,2.4790705355,68.0870093172,45.586421816997984,42.752670561,45.3343271818,133.673419559798,8.5374783659,0.019369855941433728,0.10986078187025763,0.024510770043420532,0.0938918777,0.0732637565,0.0607639278,5682812127.0,4992861145,0.0534591195,2.5648739363,0.3618282758,1.1771719045,0.0,1.601600555390534,61742498400.0,1941588.0,12.0637793474,0.9059910209,0.2395306548,7.9675598753,3254.040648685509,35099.6856114686,8.2543750233,year,DBM
DBM,2021,5,0.4873229075,0.0616920556311994,3.4214950090338423,2.9933284272,71.8250422367,37.2569829478156,41.0208988442,40.6505385683,118.92842036031558,8.8979035147,0.026510583288412416,0.1327594084218816,0.027162268662942034,0.1258545037,0.1173952478,0.0813055909,8443555489.0,7798723215,0.0485714286,2.9059087466,0.5264908032,1.4859253498,-1799.3259763460642,1.4873229075438341,67955580000.0,1941588.0,9.5841239608,1.0229446458,0.2310047445,10.5399373904,4115.410726168477,34214.9500903384,6.0295954349,year,DBM
DBM,2020,5,0.614404495,0.06760171620522169,3.1184548634416775,2.5631335348,57.0959333709,38.8136102531181,53.7267926869,57.6073052523,150.1477081923181,6.7936309194,0.09281453169151115,0.12600473511751287,0.02702898807340837,0.113126833,0.3809462281,0.0692789057,23723226464.0,23065359046,0.0507462687,2.504123616,0.4429694843,1.2390550031,0.0,1.6144044950234817,65043198000.0,1941588.0,10.9926351892,1.0742499561,0.2617324946,-160.1428299416,3459.528790350991,31184.5486344168,2.047125851,year,DBM
DBM,2019,5,0.6521788092,0.07923693727278043,2.997740026668892,2.7708390502,54.0762476535,38.811855908051996,51.4765605577,56.2903872119,146.578803677652,7.0906058223,0.021394748260977443,0.11899731148191639,0.026552960851783856,0.1241599073,0.0975965359,0.0735739808,6420382655.0,5680485413,0.0609318996,2.3986540802,0.5321686533,1.1622485181,0.0,1.652178809200291,54170305200.0,1941588.0,8.6672014148,0.9307011199,0.2040248251,3.593941293,3631.0660103997348,29977.4002666889,5.2908960611,year,DBM
DBM,2018,5,0.7247419352,0.09407314845391829,2.8512753084588494,2.628980841,47.4557802547,42.18386449384756,57.6083785596,63.2931667245,163.08540977794755,6.3358839309,0.022904858620500755,0.11753916126318645,0.02496770709571331,0.1180997187,0.1079373597,0.0656396236,6827322181.0,5975414307,0.0609318996,2.2375371414,0.3252323845,1.1591250428,-7931.000838835982,1.7247419352034707,54170305200.0,1941588.0,-36.4432203443,0.9785095083,0.2076447119,-56.2765933455,3354.764114734949,28512.7530845885,6.0230671723,year,DBM
DBM,2017,5,0.8742465331,0.1053166582144455,2.8299644975144056,2.8698130885,43.2028705088,31.270713252200746,50.885940332,54.493066355,136.64971993920074,7.1729046888,0.020270337278680387,0.11562662927798338,0.025163296998831387,0.1281148676,0.1001577796,0.0722139591,6498159617.0,5503294506,0.0430107527,2.0129677458,0.3906639751,1.0051092126,0.0,1.8742465330540259,54170305200.0,1941588.0,8.9809223708,0.9858780923,0.1995260031,-25.2264100623,3518.6190031046754,28299.6449751441,5.4483346191,year,DBM
DBM,2016,5,0.6676747899,0.13116370407096,2.6629483386279684,2.9983675238,38.4049162972,28.648887967848122,42.1880063043,52.8315543108,123.66844858294813,8.6517480197,0.02151972753008036,0.12728836836157892,0.023492001969773826,0.1303919543,0.1134134497,0.0704376558,6872619829.0,5863870641,0.0430107527,2.2868027684,0.5900438659,1.1636767561,0.0,1.6676747898574826,54170305200.0,1941588.0,9.6710374615,1.0477108998,0.1987987593,-27.0204292284,3296.9363454038653,26629.4833862797,4.918260377,year,DBM
