Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Payable Outstanding,Cash Cycle,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,Days Inventory Outstanding,Inventory Turnover,
VLG,2025,5,0.0,0.6266454051,0.22019281834644938,1.180626184569097,1.4853614127,9.586049887,87.74674085640657,65.4971353492,153.24387620560657,0.015821390108442784,0.03309556917416721,0.017349858798702045,0.0375383704,0.0352041701,0.0257708108,10190203565.0,5906982622,0.0,2.0007773908,0.3066807606,1.7894373221,0.0,1.6266454051265355,114762949750.0,14212130.0,17.7167763821,0.6839590808,0.3073835686,-37.6257224265,455.7826901386351,11806.261845691,8.0976442733,year,,,VLG
VLG,2024,5,0.0,0.2957456432,0.2309193214820233,1.2477301120029158,0.8565407184,4.1272722256,131.53549473153794,69.4089034992,200.94439823073793,0.002098985102960917,0.04056508749573698,0.15951082832342656,0.1749293295,0.0021167358,0.1366275195,6559342048.0,375358704,0.0943952802,3.1423935109,0.4250954047,2.2214917165,0.0,1.2957456431585987,120447801750.0,14212130.0,4.9892144015,0.679233427,0.6735374426,-4.7005056612,2007.0959452242557,12477.3011200292,14.9639972646,year,,,VLG
VLG,2023,5,0.0,0.2619755628,0.3071718510352842,1.0470205174804903,0.7267438465,2.8694185136,150.42933542473511,69.9905479036,220.41988332833512,-0.05088235699328556,-0.012563245232999497,0.07136073836205856,0.0697566951,-0.0480622925,0.0518609775,-746835146.0,-7151857381,0.0,2.301443337,0.3501297469,1.9887928675,70.9163922295304,1.2619755627830667,144338392280.0,14212130.0,14.3903349889,0.9699905427,1.0269049301,-27.5709448177,705.7514649809705,10470.2051748049,-174.9908110042,year,,,VLG
VLG,2022,5,0.0515155353,0.4341723069,0.37658732403464373,0.9764453709823933,0.9960704208,4.0541206276,98.94451882513107,64.8757127885,163.82023161363105,-0.07907975908693862,-0.009416358970428711,-0.10081600633673188,-0.1486093984,-0.1224175747,-0.1004198419,-10885997391.0,-17863501345,0.0,1.4790331436,0.2407606806,1.3097453845,22.009943319967675,1.4341723069226802,52229577750.0,14212130.0,-2.2934315138,0.3763651413,0.231214606,-3.3094923558,-1602.4023294186022,9764.4537098239,-4.1220237943,year,,,VLG
VLG,2021,5,0.0867367863,0.5177017653,0.35284805640298705,1.1800835527679525,2.378943983,9.8495338599,40.050436571227856,30.0273099626,70.07774653382785,0.013806433616813175,0.020257289317044604,0.010301031332255598,0.0382186179,0.047067376,0.0245055765,16390731287.0,8578597356,0.1581027668,1.6247268127,0.4355226787,1.5412393475,-3.5702750159062613,1.5177017653416163,53935033350.0,14212130.0,12.2617549087,0.3215873987,0.0868032881,1.3885776852,450.35637212718996,11800.8355276795,1.8710115197,year,,,VLG
VLG,2020,5,0.2591028664,0.6015975121,0.4005918697057728,1.1766545858643285,1.0303931548,3.8925143687,101.9878756007083,59.3259713424,161.3138469431083,0.011638026818386172,0.023073543599802588,0.015567275306476454,0.0259286503,0.0152330463,0.0160404139,11077514234.0,3207422250,0.0290416263,1.4384178094,0.2539210765,1.3649985874,-0.8467984648353133,1.601597512131772,146811302900.0,14212130.0,54.2387187116,0.8779126962,0.5327000149,21.6493581926,301.8771342508125,11766.5458586433,14.8584832755,year,,,VLG
VLG,2019,5,0.3103258366,0.631637635,0.45578541334991163,1.1518671889294567,3.4221825202,11.6789611631,31.56976569506329,16.4381694574,48.00793515246329,0.006201802053768215,0.010216061515853279,0.002492601472896836,0.0135809165,0.0265953021,0.0085301372,13984582539.0,5704870764,0.0,1.4138401503,0.2592074082,1.341618936,-1.7680562982903218,1.631637635015014,166409830170.0,14212130.0,96.5883405837,1.0165234423,0.180905207,15791.4233884115,161.3323968328463,11518.6718892946,13.6156423801,year,,,VLG
VLG,2018,5,0.24309129159999998,0.5549118181,0.47662561100031475,1.2240018724146204,6.8820345515,22.0089714425,17.611020673492103,7.4732621047,25.084282778192105,0.005391378115120141,0.008468542602437916,0.008121349939003807,0.0890762435,0.0477368959,0.0558914109,18592285199.0,10205846195,0.0597830728,1.573659015,0.3142510992,1.4922695921,-2.6565718566992236,1.5549118181089896,166409830170.0,14212130.0,12.9263743125,0.9566161837,0.0879082733,3.8667260751,1081.7285207776738,12240.0187241462,9.5029712912,year,,,VLG
VLG,2017,5,0.3610988449,0.6331832404,0.5204199638378935,1.2047680857971323,11.9577167818,35.1308045038,10.400005768028974,4.2179749442,14.617980712228974,0.0047422142610128075,0.006245895648387272,0.004828513680155955,0.0936435094,0.0681227301,0.0577379991,24422463055.0,15542530516,0.0597830728,1.461685151,0.0321705587,1.3839996628,-3.5055304147424686,1.6331832403808795,166409830170.0,14212130.0,12.4881907151,0.9718882944,0.0507736542,-12.82671544,1113.5118709159008,12047.6808579713,9.0085592408,year,,,VLG
VLG,2016,5,0.31375319799999996,0.6102539045,0.5845189785981402,1.173425295279455,16.3901868026,43.6615644342,6.271440156806953,3.2616226906,9.533062847406953,0.0040256175187745585,0.005545456009963525,0.0030281962466885896,0.0815912784,0.0845111054,0.0496327022,26503527446.0,17895196648,0.0597830728,1.4289880215,0.0769950465,1.3718485952,-4.235470642532995,1.61025390445452,166409830170.0,14212130.0,13.7295832136,0.9978479284,0.0374347564,10.3980118867,947.1719130067063,11734.2529527945,7.7016262333,year,,,VLG
VLG,2015,5,0.411000184,0.6782848418,0.6504072773180054,1.1483226440301348,15.643404911,36.593128202,5.469939267315928,3.7219372556,9.191876522915928,0.0043009539142847735,0.005929893232222252,0.002497467903854858,0.0704276698,0.0889118571,0.0390689017,28032812812.0,19603913345,0.0512426339,1.2813836716,0.069872708,1.1568790561,-3.281848896126461,1.6782848417594443,166409830170.0,14212130.0,14.6184415848,1.0196611606,0.0365090887,13.1077130076,800.9745725658294,11483.2264403013,7.7282691997,year,,,VLG
VLG,2014,5,0.1528869314,0.9294551168,0.8931983729582236,1.1262792972341233,8.8692951256,16.5886491839,8.047412135595762,6.0504410435,14.097853179095761,0.007408908021695664,0.010237870260090218,0.004618251251321425,0.0656844589,0.0972706129,0.0409606333,22314620641.0,16760159637,0.0,1.186315159,0.1709634328,0.7891624268,-5.563550847960609,1.9294551168155747,166409830170.0,14212130.0,15.9285951143,1.0396177954,0.0735622543,-16.3510726517,735.0930773219778,11262.7929723412,7.4078175697,year,,,VLG
VLG,2013,5,0.0476164257,0.2735529231,0.8211036861866808,1.1119764178346243,29.3689132113,47.2670533811,1.6532608913661657,1.1857538807,2.839014772066166,0.00260300550709462,0.0035923769231530752,0.0014089609355252266,0.0528467835,0.0930200329,0.0413796514,18883554378.0,15400454451,0.0,1.4114840517,0.1087790031,0.9381264412,-50.933721008430666,1.2735529231185703,166409830170.0,14212130.0,19.9628055078,1.0529899566,0.0281268131,8.3483280772,586.5408043692255,11119.7641783462,9.0176499611,year,,,VLG
VLG,2025,4,0.0,0.6266454051,0.22019281834644938,1.180626184569097,1.4853614127,9.586049887,87.74674085640657,65.4971353492,153.24387620560657,0.008454072667206923,0.026922193303197766,0.0078024307036677915,0.0375383704,0.0352041701,0.0257708108,10190203565.0,892978208,,2.0007773908,0.3066807606,2.0007773908,0.0,1.6266454051265355,114359199750.0,14162130.0,17.6544466103,0.6815528297,0.3063021559,-37.4933505638,58.19373441706862,11847.9443533565,8.4965573408,quarter,0.0,0.0,VLG
VLG,2025,3,0.0,0.7320413424,0.225969024702646,1.1748272843901653,1.2908255065,8.3889704902,106.07943120049029,72.9389785688,179.0184097692903,0.01874376584958692,0.030164913933676235,0.02130302844467187,0.0107312585,0.0345880681,0.0072140924,10548529353.0,1966295498,,1.8478927233,0.2272611223,1.8478927233,0.0,1.7320413424179022,122417451720.0,14162130.0,66.3736328444,0.7331792062,0.370945196,-9.7770554304,157.7991665801684,11789.7506189394,8.9718573753,quarter,0.0,0.0,VLG
VLG,2025,2,0.0,0.6239739561,0.23554830029467377,1.1591028833960848,1.1119097478,6.647890617,108.85191472161958,65.628074919,174.47998964061958,0.02251733677465592,0.03936771428059582,0.022418226229598,0.0768772627,0.0226789743,0.056139689,8979594289.0,2312875827,,1.9739410876,0.1042314651,1.9739410876,0.0,1.623973956112651,125405661150.0,14162130.0,9.2995410398,0.761265213,0.4695285235,-15.832202436,162.59529138625334,11631.9514523592,12.7724911865,quarter,0.0,0.0,VLG
VLG,2025,1,0.0,0.3234128679,0.22346185595954382,1.2555827537040543,0.9120610726,5.0194634396,114.23314396931139,63.6522092657,177.8853532350114,0.012225229698641146,0.038340584793654806,0.018567065826031407,0.1236681882,0.0078923616,0.0961774368,7122151605.0,734833089,,2.986835339,0.2516887564,2.986835339,0.0,1.3234128678635302,134667694170.0,14162130.0,6.1856439252,0.7546731711,0.6522801986,-4.7649107508,78.8036578537268,12600.1564181377,16.8688317367,quarter,0.0,0.0,VLG
VLG,2024,4,0.0,0.2957456432,0.2309193214820233,1.2477301120029158,0.8565407184,4.1272722256,131.53549473153794,69.4089034992,200.94439823073793,0.012219033055438729,0.033945850563235624,-0.061153756619440024,0.1749293295,0.0021167358,0.1366275195,6559342048.0,761095476,,3.1423935109,0.4250954047,3.1423935109,0.0,1.2957456431585987,128493005490.0,14162130.0,4.5045579935,0.7246022194,0.7185257768,-5.0144717542,-268.9656781854142,12521.3527602839,16.0558575643,quarter,0.0,0.0,VLG
VLG,2024,3,0.0,0.2552611737,0.22678112673962367,1.274532054428154,0.737309333,3.5254624299,138.77085975785945,66.9555765307,205.72643628855946,-0.001734837540208728,0.04267153058956296,0.3305470605813574,0.275463326,-0.0075736763,0.2170248746,4807588631.0,-72824193,,3.5091792379,0.5012625056,3.5091792379,0.0,1.255261173702341,168515184870.0,14162130.0,3.7422951941,0.9303130377,1.1015337919,-4.9343846308,979.7642580600517,12790.3184384694,30.230964455,quarter,0.0,0.0,VLG
VLG,2024,2,0.0,0.2683423461,0.25482046487101595,1.1769003215914855,0.7421239789,3.2870466829,146.06668845851735,74.0783459946,220.14503445311735,-0.0003505274976148959,0.05425538569025976,0.25160725380225607,0.2211799556,-0.0068650358,0.1691406957,5066027212.0,-14751484,,3.2444680853,0.5653080064,3.2444680853,0.0,1.268342346148164,116412708600.0,14162130.0,3.4578420524,0.6959876628,0.7880917839,-2.7020355596,747.6669803200507,11810.5541804093,17.9706156381,quarter,0.0,0.0,VLG
VLG,2024,1,0.0,0.2933877634,0.2818919627430184,1.1023966618867123,0.7115593052,2.9721304823,162.21132523307205,78.6113184131,240.82264364617203,-0.009179903378183942,0.03279827504138115,0.24230870763183354,0.1391458787,-0.0273617766,0.1030341484,1981693985.0,-298161095,,2.3487273298,0.5336457606,2.3487273298,0.0,1.293387763425401,155117809890.0,14162130.0,7.7525686654,0.9900670414,1.1225758762,-45.242534059,555.7165223027891,11062.8872000893,65.8972159281,quarter,0.0,0.0,VLG
VLG,2023,4,0.0,0.2619755628,0.3071718510352842,1.0470205174804903,0.7267438465,2.8694185136,150.42933542473511,69.9905479036,220.41988332833512,-0.027061155971019154,0.04889751080311877,0.34838631231130807,0.0697566951,-0.0480622925,0.0518609775,-746835146.0,-986144963,,2.301443337,0.3501297469,2.301443337,0.0,1.2619755627830667,75059289000.0,14162130.0,7.4833056935,0.5044174272,0.5340142197,-14.3375264362,896.4517585278486,10507.1706777865,-89.4970871309,quarter,0.0,0.0,VLG
