Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,symbol
VLG,2023,3,0.0,0.4223896003,0.347210286115874,0.9576907242475265,0.7383240277,2.8880080972,154.24994551107994,74.2185156448,228.46846115587994,0.004107716953993202,0.02545900819044491,0.06842669961856471,-0.1813145638,-0.1564732885,-0.1271162112,-14713404514.0,150793782,,1.5426531903,0.1429747331,1.5426531903,-3.7655856726042845,1.422389600332826,53816094000.0,14162130.0,-2.1778524612,0.3953918569,0.3749578003,9.4244874252,177.3699077045614,9610.7189192586,-3.0989683652,quarter,0.0,0.0,VLG
VLG,2023,2,0.0263966958,0.4427653746,0.3655506918920228,0.9400161343655032,0.815351483,3.1933760006,131.68228043338365,63.3913525491,195.07363298248364,-0.09687987236314484,-0.07122611829625361,-0.09429284136618821,-0.214558446,-0.1820119532,-0.1518357064,-18213788860.0,-3153367984,,1.4563376488,0.1443181584,1.4563376488,61.26005333451449,1.4427653746184368,55331441910.0,14162130.0,-1.8109227014,0.414168923,0.3372321426,6.9243050475,-216.71613267213337,9433.3490115541,-2.7628112688,quarter,0.0,0.0,VLG
VLG,2023,1,0.0,0.4063784809,0.36903049591015974,0.9616115042643151,0.9072561772,3.5686785145,112.77574991295536,55.7437456909,168.51949560385538,-0.09074811333862645,-0.06208298185911666,-0.06048295197894787,-0.1698266889,-0.1621041585,-0.1228427691,-15252106432.0,-3163138216,,1.5158937445,0.1398862346,1.5158937445,339.07261271635036,1.406378480851337,52484853780.0,14162130.0,-2.0460358251,0.3840388582,0.2770338883,-11.8716930092,-148.86238313022122,9650.0651442262,-2.9317828995,quarter,0.0,0.0,VLG
VLG,2022,4,0.0515155353,0.4341723069,0.37658732403464373,0.9764453709823933,0.9960704208,4.0541206276,98.94451882513107,64.8757127885,163.82023161363105,-0.3839496461848036,-0.05814846567472751,-0.5593755154645776,-0.1486093984,-0.1224175747,-0.1004198419,-10885997391.0,-15131593166,,1.4790331436,0.2407606806,1.4790331436,97.03838458682226,1.4341723069226802,41254284690.0,14162130.0,-1.8114999328,0.2972774308,0.1826281887,-2.6140502319,-1556.629514628096,9798.9275273564,-3.375351682,quarter,0.0,0.0,VLG
VLG,2022,3,0.0589223528,0.3759169449,0.3362002779028007,1.1299229929011345,1.4974801544,6.1753889869,61.905057715798634,40.5650468837,102.47010459949863,-0.061298126330339146,-0.0442421973115629,-0.05818648157573762,0.0066764019,-0.0090548976,0.0047580367,5634982787.0,-3509892267,,1.8639588916,0.2314562075,1.8639588916,19.210215278195523,1.3759169449116169,51082802910.0,14162130.0,46.0258049483,0.318102221,0.1462406496,7.3568816225,-235.2556741111683,11339.1223390126,8.2649032986,quarter,0.0,0.0,VLG
VLG,2022,2,0.0494885108,0.3266393483,0.33102578153950624,1.183260250863171,2.1027574874,8.9593876387,45.051157831660944,31.5477577988,76.59891563046094,-0.006032064111162189,0.013789328968364144,0.03164589824747917,0.0363105323,0.0262765908,0.0244752729,12013377165.0,-349418505,,2.0612611245,0.1313411199,2.0612611245,1.879351875662727,1.3266393482938994,61888508100.0,14162130.0,10.1719632901,0.3680192761,0.1183976655,2.0439153955,129.44008909676722,11874.3780131237,5.2438440805,quarter,0.0,0.0,VLG
VLG,2022,1,0.0941017431,0.3915790185,0.3408173001672295,1.1855029614069108,2.3235601969,10.1380226232,40.998566337623025,30.513449943,71.51201628062303,0.015813069275339434,0.026636667706678507,0.010803095489073255,0.038457496,0.0454750366,0.024550309,15976860754.0,1127402593,,1.8646446665,0.4539977837,1.8646446665,-3.927660974086667,1.3915790184651577,82579380030.0,14162130.0,12.808937275,0.4901283272,0.1353368716,2.0152696186,54.38542090773069,11896.8842984071,4.2862927975,quarter,0.0,0.0,VLG
VLG,2021,4,0.0867367863,0.5177017653,0.35284805640298705,1.1800835527679525,2.378943983,9.8495338599,40.050436571227856,30.0273099626,70.07774653382785,0.00732161335993784,0.011789864922330692,0.011289655875883127,0.0382186179,0.047067376,0.0245055765,16390731287.0,1192138812,,1.6247268127,0.4355226787,1.6247268127,-2.8114659532110133,1.5177017653416163,122389127460.0,14162130.0,19.1217376439,0.7297446332,0.1969736186,3.1509540414,129.79924432271133,11842.4988774994,7.8359561098,quarter,0.0,0.0,VLG
VLG,2021,3,0.1980284509,0.7015534295,0.36836894099276485,1.1671492932867908,1.9721622897,8.3953282382,53.33054943072861,33.6290738318,86.95962326252861,0.01156369874759228,0.016489373551087393,0.007121118427817627,0.0700996777,0.0562213068,0.0430423246,19032158052.0,2667400914,,1.4289665196,0.2303005084,1.4289665196,-4.204798362158929,1.701553429454025,117574003260.0,14162130.0,10.020274736,0.708803287,0.2186918999,3.9444414759,115.98749213571688,11712.6996331766,6.4954235055,quarter,0.0,0.0,VLG
VLG,2021,2,0.2881200533,0.6569436051,0.3741824181821431,1.185485806237348,1.3893814648,5.7818721655,77.671673225975,49.2402317656,126.911904991575,0.02335797995955524,0.03322969544643709,0.015104167556492175,0.0645500184,0.0453566851,0.0389948353,17731235203.0,3395924794,,1.456566338,0.1378408526,1.456566338,-4.58933352292908,1.6569436050955637,164096600310.0,14162130.0,15.3207300813,0.9739665769,0.4299966289,15.6723090768,155.05686552799614,11896.7121410409,11.1319450046,quarter,0.0,0.0,VLG
VLG,2021,1,0.22137351334095,0.5550883412361145,0.3871159798375844,1.1817468845275128,1.0998282432556152,4.470284938812256,100.17905951938005,59.80952453613281,159.98858405551286,0.016044406088784553,0.024645035222342106,0.0087759317409205,0.03912687301635742,0.025375327095389366,0.023200346156954765,13084148736.0,1323132836,,1.5125184059143066,0.0868537500500679,1.5125184059143066,-2.1890775882494196,1.5550883617593585,71108054730.0,14162130.0,11.103398421,0.4233847009,0.2342208254,4.202710042,51.10277239370067,11859.1909197275,7.657422568,quarter,0.0,0.0,VLG
VLG,2020,4,0.2591028664,0.6015975121,0.4005918697057728,1.1766545858643285,1.0303931548,3.8925143687,101.9878756007083,59.3259713424,161.3138469431083,0.04786460784136288,0.05877009384729509,0.09066060547110265,0.0259286503,0.0152330463,0.0160404139,11077514234.0,3786126018,,1.4384178094,0.2539210765,1.4384178094,-4.211977656756264,1.601597512131772,83556567000.0,14162130.0,19.5443752792,0.4996575166,0.3031822728,12.3650738951,506.3730671163165,11808.0881473338,10.7736782017,quarter,0.0,0.0,VLG
VLG,2020,3,0.3385550526,0.8150318347,0.4308696396650837,1.1261954273497357,1.007558479,3.9174292821,111.40864194692874,65.7981817526,177.20682369952874,0.017924359887516117,0.028564998016960857,0.00830027130068956,-0.0095791887,0.0089386496,-0.0055442944,9830092146.0,1338398687,,1.2665306547,0.1410405308,1.2665306547,-1.4933565535033084,1.8150318346551344,73643076000.0,14162130.0,-47.6283192992,0.4601071575,0.2620844619,17.1833869649,43.76284605493665,11301.7150802175,11.1323557304,quarter,0.0,0.0,VLG
VLG,2020,2,0.3884367826,0.7848370176,0.44324263330426533,1.1220886107430765,1.4425835961,5.424167021,75.60153036547388,44.3027520022,119.90428236767389,-0.01844468277960817,-0.006617139986175485,-0.03133520626850879,-0.0304870149,-0.0102030514,-0.0178392815,5768352861.0,-1242381210,,1.2562845338,0.1466933273,1.2562845338,1.1423923896184198,1.7848370175874504,42486390000.0,14162130.0,-8.6001845349,0.2664179644,0.1063516272,-3.1448884665,-149.03479180038596,11260.5019212505,14.9212962669,quarter,0.0,0.0,VLG
VLG,2020,1,0.3512529373,0.6846581207,0.44785434159676957,1.1413998687740683,2.0314140449,7.4381322272,52.2075483110157,31.194565459,83.4021137700157,-0.012386727202807625,0.00042333107872862035,-0.025520391807060096,-0.0040313064,0.0103183878,-0.0023793108,10405501660.0,-674721245,,1.386928671,0.0997081286,1.386928671,0.7455085548678009,1.6846581206794973,56648520000.0,14162130.0,-85.9404265333,0.3492139454,0.100658448,-3.9282449351,-98.15819710735603,11454.2962937072,9.8557363782,quarter,0.0,0.0,VLG
VLG,2019,4,0.3103258366,0.631637635,0.45522925484807825,1.153274437526254,3.4221825202,11.6789611631,31.56976569506329,16.4381694574,48.00793515246329,0.029514673418196205,0.040358065435317385,0.015797925558832228,0.0135809165,0.0265953021,0.0085301372,13984582539.0,2493758010,,1.4138401503,0.2592074082,1.4138401503,-2.689733406151432,1.6296466780513952,59834999250.0,14162130.0,26.1881685448,0.3655053271,0.0650470162,5698.0753109607,94.25140053085235,11559.3390484341,6.5507812986,quarter,0.0,0.0,VLG
VLG,2019,3,0.2471174608,0.7388304253,0.47148698501675823,1.1439000468684146,5.1163136041,17.6338569573,20.34185723374297,11.6026125285,31.94446976224297,-0.014680354197922312,-0.0095493741996511,-0.014361467938677557,0.0284284744,0.0183382194,0.0175130077,9979409672.0,-2835792249,,1.3758253727,0.0699302934,1.3758253727,3.558844045791914,1.7388304252949238,72226863000.0,14162130.0,14.9993849258,0.4442746195,0.0513425024,-4.5602190694,-195.88813589481242,11479.3863444976,10.4216390481,quarter,0.0,0.0,VLG
VLG,2019,2,0.2885283063,0.7241322798,0.4761558316336573,1.1634199446318039,5.6684433387,19.1007786032,19.464656649468722,9.8751687838,29.33982543326872,0.014214409759762877,0.01776431225356651,0.009409886330652885,0.0702216591,0.0465278741,0.0436093142,16183691668.0,3278510097,,1.3822940384,0.2153928308,1.3822940384,-4.133327563124126,1.7241322798300762,76475502000.0,14162130.0,6.3569255936,0.4625158928,0.0489060486,-10.4749272299,153.25106294039102,11675.2744803924,6.0797690682,quarter,0.0,0.0,VLG
VLG,2019,1,0.219019978,0.4891029821,0.46004871306386863,1.2359790761131513,6.3417360157,20.6476990973,17.97640695469255,8.5628273528,26.55452702289255,0.00672651037708409,0.009074880189618783,0.004280998216892162,0.0857086361,0.0415398598,0.0537604495,15190636573.0,2768394906,,1.6237118349,0.1815207369,1.6237118349,-3.902027484187788,1.4891029821278896,74492803800.0,14162130.0,5.0689283305,0.424076328,0.042970547,-77.9016017574,124.40982959484202,12403.4275260854,6.4098835867,quarter,0.0152927154,23867.5729081617,VLG
VLG,2018,4,0.24309129159999998,0.5549118181,0.47662561100031475,1.2240018724146204,6.8820345515,22.0089714425,17.611020673492103,7.4732621047,25.084282778192105,0.000887156718340019,0.005219726291043422,0.006400671700718101,0.0890762435,0.0477368959,0.0558914109,18592285199.0,506907687,,1.573659015,0.3142510992,1.573659015,-0.6319934844093112,1.5549118181089896,73643076000.0,14162130.0,4.807121103,0.4233413269,0.0389029641,1.7172239808,258.24118561261616,12283.2326288489,5.9386541317,quarter,0.0,0.0,VLG
VLG,2018,3,0.3050860397,0.6811389185,0.4991630685153523,1.1983519153568114,7.5422383839,24.1889891403,16.200919791485408,7.0265117084,23.23996001808541,0.009594065081566225,0.012360882751493983,0.012683276852473044,0.0788651451,0.0574966053,0.0478588476,20921410382.0,3359135797,,1.4144630987,0.1050058878,1.4144630987,-3.8716661978036773,1.6811389185170753,72226863000.0,14162130.0,5.3795311718,0.4240872414,0.0341355112,4.743523625,313.56515573575444,12025.8274756693,5.2098274602,quarter,0.0125285182,29133.5331645859,VLG
VLG,2018,2,0.0,0.0,0.5249350081916342,1.167523661688994,0.0,0.0,0.0,0.0,0.0,0.005644324778678951,0.009008623757360876,0.01207499256913143,0.0,0.0,0.0,0.0,2260565452,,0.0,0.0,0.0,-2.126782760134448,1.6576999560328642,77891715000.0,14162130.0,4.8312556839,0.4694252041,0.0313690893,3.8465896497,341.4785165790739,11716.4565344337,5.3808045068,quarter,0.0,0.0,VLG
VLG,2018,1,0.33985134269999995,0.6203054956,0.5110382721421746,1.2208402852774356,10.6445454777,32.7375242386,11.677902500803214,4.4039503764,16.081852877203215,0.007144266541822016,0.008954038384372495,0.004272662992243453,0.0939911558,0.0655166551,0.0570422732,23564832111.0,4079237259,,1.4791622423,0.095053327,1.4791622423,-3.6778577874642777,1.6203054956105782,81049869990.0,14162130.0,5.097219228,0.4687754876,0.0273151138,13.8396855789,172.26275122456863,12208.4028527744,5.3274681885,quarter,0.0,0.0,VLG
VLG,2017,4,0.3610988449,0.6331832404,0.5204199638378935,1.2047680857971323,11.9577167818,35.1308045038,10.400005768028974,4.2179749442,14.617980712228974,0.003635543244951239,0.0058699762897083865,0.002152670058258174,0.0936435094,0.0681227301,0.0577379991,24422463055.0,2887628443,,1.461685151,0.0321705587,1.461685151,-2.824758181496781,1.6331832403808795,83556567000.0,14162130.0,5.2985515055,0.4897208076,0.0254941204,-6.4632010501,120.73158147820985,12047.6808579713,5.3171502469,quarter,0.0,0.0,VLG
VLG,2017,3,0.3317306967,0.6036452607,0.5410004105157543,1.1929378679128322,11.9248301647,34.9969807579,10.10314552236994,4.026659369,14.12980489136994,0.0051691110076242585,0.0067741758237606885,0.00994960022107298,0.1182515867,0.0748939291,0.0713800406,25506474048.0,3707866919,,1.4634687086,0.0457731642,1.4634687086,-3.3804644880240673,1.6036452607378622,80724141000.0,14162130.0,4.0888783412,0.4778119761,0.0244753425,-183.0825733487,503.94754489614206,11929.3786791283,4.9801269758,quarter,0.0,0.0,VLG
VLG,2017,2,0.44051787109999996,0.738444111,0.5728763795440682,1.1428337199490857,12.1840776626,34.7470775816,8.749141157619087,3.9501751845,12.699316342119086,0.004802863444302506,0.005824924301540072,0.0052160988088381065,0.0902696426,0.0723374318,0.0542218458,25397567632.0,4248839324,,1.3306494889,0.0762327155,1.3306494889,-4.170775973649083,1.7384441110453999,82140354000.0,14162130.0,5.5188429904,0.5075104014,0.0245600744,-8.2207428381,325.82717430217065,11428.3371994909,5.4687486465,quarter,0.0,0.0,VLG
