Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Cash Cycle,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
DCV,2012,5,0.0,0.017158898902113588,0.4926772833129863,0.0,0.0,0.0,0.0,-0.054673962496562215,1,0.3033542380912901,0.0,0.0,0.0,0.0,-2428765693,0.0,0.0,0.0,0.0,1.0573809716488678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,year,DCV
DCV,2011,5,0.0,0.027674871855261966,0.46198668338848997,0.0,0.0,0.0,0.0,0.15242529546444844,1,0.13856555078653324,0.0,0.0,0.0,0.0,8651279658,0.0,0.0,0.0,0.0,1.7804235453553696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,year,DCV
DCV,2010,5,0.0,0.03960236326373361,0.4677094051041656,0.0,0.0,0.0,0.0,0.31607183533882605,1,0.11698616566434279,0.0,0.0,0.0,0.0,26431728929,0.0,0.0,0.0,-2.923701787638473,1.687005740460753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,year,DCV
DCV,2009,5,0.0,0.0601706850865113,0.4752679417898248,0.0,0.0,0.0,0.0,0.3948230379149734,1,0.3595923043480803,0.0,0.0,0.0,0.0,31889738774,0.0,0.0,0.0,-16.171267126774847,2.6769092145304794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,year,DCV
DCV,2025,4,0.3228241617,0.10293375502543417,2.491735967121461,1.0220090407,8.8764054516,0.0,0.0,0.3095917324291374,1,0.10022990059846885,0.1477777707,0.2298227779,0.1112194591,191047734804.0,93553606063,3.5132663483,2.9585413392,3.5132663483,,1.3228241617084744,5449778843238.0,31201143.0,46.5811772289,7.0098117258,5.0691658599,24.6273746019,970.7289315330531,24917.3596712146,27.6457119529,quarter,DCV
DCV,2025,3,0.0,0.19791911423659375,2.5646630739681555,0.0,0.0,0.0,0.0,0.074689146186216,1,0.10685325440598636,0.0,0.0,0.0,0.0,21847469222,0.0,0.0,0.0,,1.3560881126087432,0.0,31201143.0,0.0,0.0,0.0,0.0,1001.7535528105493,25830.6249432913,0.0,quarter,DCV
DCV,2025,2,0.0,0.18408652287169605,2.8844877186871005,0.0,0.0,0.0,0.0,0.07035243669297624,1,0.08229874833497258,0.0,0.0,0.0,0.0,16807063384,0.0,0.0,0.0,,1.1581145103195871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2025,1,0.0,0.19393292990335062,2.8214739549765855,0.0,0.0,0.0,0.0,0.19242034095781804,1,0.14820724020407205,0.0,0.0,0.0,0.0,46467603479,0.0,0.0,0.0,,1.1403431969889195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2024,4,0.334376489,0.20126462175257032,2.583062494329134,1.0093519981,7.1733164325,0.0,0.0,0.11157612676605716,1,0.11106018348330865,0.2417826246,0.1847733102,0.1872729042,183633375790.0,28779933519,3.1286322547,2.664185614,3.1286322547,,1.3343764890127592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2024,3,0.0,0.18381826583393024,2.8512490272167272,0.0,0.0,0.0,0.0,0.13084608336305772,1,0.0,0.0,0.0,0.0,0.0,33771080455,0.0,0.0,0.0,,1.3073772485636932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
