Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,Chỉ tiêu cơ cấu nguồn vốn,symbol
ticker,yearReport,lengthReport,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROA (%),Dividend yield (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),,Debt/Equity,
TCB,2025,5,0.06753669421775453,2.5330983922781707,0.6628271440893694,0.1585291213,0.0239085825,0.0,6.642532359155087,251207222180000,7086240400,9.9329749939,1.4773028017,4.7050370671,6.3825676301,3568.9206931224066,23996.4345550569,year,,TCB
TCB,2024,5,0.08427008880873096,2.087702538397112,0.606143697964313,0.1556763471,0.0238039002,0.0286532951,6.616202896720954,246563324330000,7064851700,11.4750384201,1.6955353944,5.2471002603,5.8183900114,3046.4798008428115,20583.4688646048,year,,TCB
TCB,2023,5,0.06756543739550336,1.8573468766311039,0.6501651793065791,0.1484720002,0.0234946012,0.060851927,6.454242588091355,86829891220000,3522510800,4.8228641495,0.6663883577,2.167436954,7.2038350385,5111.070773721971,36990.442158474,year,,TCB
TCB,2022,5,0.0741581178873794,1.6006367181095191,0.6652534394857671,0.1979636613,0.0322401747,0.0,6.162951320611373,111848184300000,3517238500,5.5611618806,0.9960117324,2.7345353659,2.0164270222,5729.033444846006,31927.3347542397,year,,TCB
TCB,2021,5,0.07764796541482061,1.3129877983843408,0.6761493565227527,0.2196802221,0.0365264301,0.0,6.112639211039138,90757147580000,3510914800,5.0380752782,0.9844087742,2.4478486152,7.0748038703,5141.751090057782,26259.416491679,year,,TCB
TCB,2020,5,0.06182987645370986,1.0529530701863652,0.6572904712437475,0.1841055272,0.0305658458,0.0,5.891632966688399,175245310000000,3504906200,14.2452802965,2.3639976017,6.4803602297,-17.370856246,3516.4966754317134,21150.613674055,year,,TCB
TCB,2019,5,0.05167768660933063,0.8759619117263554,0.7066383248406982,0.1796349147,0.0290233498,0.0,6.181446059912232,172906916000000,3500140000,17.1992962596,2.7986597788,8.2070308516,13.6882224721,2878.4960030170223,17651.3059477621,year,,TCB
TCB,2018,5,0.03318860998088068,0.7307500448008367,0.7430044181974987,0.2153125546,0.0287068601,0.0,6.198767349059884,172731654680000,3496592200,20.4833705014,3.340172852,9.4132882051,577.8292544124,2420.2922491218737,14789.6537663157,year,,TCB
TCB,2017,5,0.05612343810020852,0.380042779056635,0.7217578539489555,0.27712726,0.0255394733,0.0,10.003153644654093,57577216580000,1165530700,8.9328008632,2.1379734047,3.4984359315,8.2633149177,5530.180371911268,23105.9936902563,year,,TCB
