Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
VNG,2016,5,1.2294629412,1.3200619727,1.1217136989477974,0.1844974611049349,0.6118220849,1.3276490206,17.56155834251325,19.6347545027,39.1716119179,76.36792476311325,18.5894863086,-0.0518473024239331,0.08962691969694674,0.023660420807351052,0.0331929891,-0.0406474757,0.014475968,-1986977652.0,-12835707634,0.0,1.0496982619,0.3902358831,1.0072331583,1.1284752213908034,2.320061972664701,170300000000,13000000,29.0735813519,1.1527792715,0.6878931692,12.4166024633,450.58088446153846,11363.8406966923,-150.1105046903,year,VNG
VNG,2015,5,1.3990169788,1.2649439488,0.9893801612292107,0.17832263122394235,0.2997248075,0.5875840151,28.733863546968365,56.2303812903,86.3191412614,171.28338609866836,6.4911528541,-0.1638728212061652,0.07636399988326474,0.028734315383764857,0.0161510557,-0.042912191,0.0086123871,-9729950262.0,-14414088951,0.0,0.670756748,0.0594127839,0.4267231186,2.832557322485507,2.2649439488117835,170300000000,13000000,67.3803909453,1.2003746108,1.9361294041,-6.1508631563,194.4185810769231,10913.2598122308,-33.3564449514,year,VNG
VNG,2014,5,0.356248924,0.3908794745,0.9158396046500245,0.1434149444221986,0.2845951314,0.418399835,20.45338340583215,21.6608663174,17.209791813,59.324041536232144,16.8506649111,0.026125682012771944,0.3450472302580076,0.007507334141741688,0.002917889,0.0079624846,0.0021365507,5894376903.0,1419784202,0.0,0.4731264976,0.1136384606,0.3851910482,-0.3433611447088928,1.3908794744739656,170300000000,13000000,417.4209084197,1.2207080836,3.1337182373,-38.9128370807,31.38319076923077,10731.4764076154,34.6580289369,year,VNG
VNG,2013,5,0.3271889765,0.3406340726,0.941998610613931,0.14405553473760105,0.291992067,0.4166199348,18.4188848329599,29.2167672458,16.2689299001,63.90458197885991,12.4928263599,0.13637510733988856,0.3914494822745128,0.008111163680451262,0.00328498,0.0443637954,0.0023683954,11931470903.0,7756774093,0.0,0.3108150156,0.0266866072,0.1613048151,-1.2783066378166796,1.340634072588216,170300000000,13000000,369.1351864437,1.2152798036,2.9941159175,88.2789331713,35.48835353846154,10779.4106022308,17.1034978713,year,VNG
VNG,2025,4,4.0803944391,2.9204836461,1.5868988204727477,1.1623118976290785,0.1617540133,0.4027204378,125.48189869408314,6.2314454103,92.1672068087,223.88055091308314,58.5738903203,0.28984318099700207,0.46610482485468574,0.19140512793697678,0.0063366259,0.0284325876,0.0015847415,191489737101.0,63471138855,0.0,1.0029997209,0.2181160255,0.9959847447,-0.9621264552864964,3.9204836460774093,667317530880,97276608,93.8141667947,0.5926061599,0.9191191203,2.5848573026,430.8820018477618,11575.9849696239,16.9342456123,quarter,VNG
VNG,2025,3,4.0574478582,2.7834509093,1.6098290791682928,1.1192157103432308,0.1550676657,0.3662890181,71.03745810578388,9.1421258969,93.3752279706,173.55481197328388,39.9250682078,0.1212218802573296,0.29874842471715185,0.3326735304970573,0.0069636972,0.0114406278,0.0017785212,124659060360.0,21774548991,0.0,1.0096788505,0.2761384603,0.9975901572,-0.37734942082265965,3.783450909259004,695527747200,97276608,92.8519175605,0.6415373658,1.0649486784,210.6572530673,614.2964153108628,11145.1029677762,26.239123311,quarter,VNG
VNG,2025,2,4.2980203642,3.013851135,1.7241936606417827,1.0578680480840779,0.1578641175,0.356096292,91.0672945669136,8.1413748104,97.1046173513,196.3132867286136,44.8327227897,0.10102747991733628,0.2476241965813933,-0.2864493868682616,-0.086951601,0.0081502421,-0.0223701205,113428545451.0,17844990931,0.0,1.0585864848,0.2869891744,1.0448748061,-0.292409581160777,4.013851134965066,729574560000,97276608,-7.8137239287,0.7121475915,1.1072430429,43.148588629,-520.1352535339225,10531.5247700968,28.5389949994,quarter,VNG
VNG,2025,1,3.9698013801,2.7540478855,1.6614323221346319,1.1098731625346148,0.1692388145,0.3652722414,117.17584377994926,6.989959326,103.8977227304,228.06352583634927,52.2177573541,0.04551812567114228,0.24185631427673376,-0.2915291796285297,0.0031992299,0.0186555315,0.0008486906,153046751673.0,6863919859,0.0,1.051021527,0.2967471927,1.0399108647,-0.12881587470976602,3.754047885506265,753893712000,97276608,214.7786598407,0.7012521181,1.0770615643,2.7227716036,-451.9198792170056,11051.6600236308,20.9801996368,quarter,VNG
VNG,2024,4,4.2002942084,3.0443780288,1.6121380643837873,1.1550831615212158,0.1678293879,0.3661986918,107.19743714068346,5.9887345898,108.0410078923,221.22717962278347,60.9477669328,-0.030402960023827287,0.31619608443303304,0.28956745710882176,0.0021428872,0.016538522,0.0005666601,156907582109.0,-4440451819,0.0,1.0133932197,0.3515643999,1.0085269548,0.05370726890273619,4.044378028825853,773349033600,97276608,322.8493234462,0.6910892146,1.0900703157,-3.9700597097,434.76305066064805,11503.5799028478,19.886127936,quarter,VNG
VNG,2024,3,3.4417746879,2.6571431853,1.8637091780537172,1.1153052533112586,0.2015766534,0.3884191065,83.6754558668443,6.147836243,101.4783781319,191.30167024174432,59.3704818368,0.04804094298559341,0.21610653905619748,-0.2216769334037175,-0.0359637554,0.0401529025,-0.0100031282,226474005306.0,8908104393,0.0,0.6856671685,0.0251415191,0.6786233946,-0.17086512303647933,3.6571431852887453,826851168000,97276608,-20.9838008179,0.7679230864,1.0413093298,-2.8100782684,-422.55754510889193,11068.8168521871,14.013910259,quarter,VNG
