Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
HAD,2025,5,0.3265549472,0.22075125091412598,1.853817346925,1.6833636664,10.4065039833,0.11220317570487262,69.5866667867,3.9014446098,73.60031457220487,5.2452577032,0.03342179453327798,0.24813554131244497,0.04263942592828342,0.0937992184,0.0733972939,0.0717776604,9877424962.0,5442607064,0.0,2.9562770259,0.0569321124,0.1312103643,0.0,1.3265549472169718,57200000000,4000000.0,8.2377283001,0.7713812811,0.3512520057,-139.9664877651,1735.91547075,18538.17346925,5.6514114917,year,HAD
HAD,2024,5,0.2869825754,0.20199548270465253,1.84752579985,1.8224672165,10.5082987549,0.0890363136133383,57.3479305283,4.9005269185,62.33749376041334,6.3646586134,0.028244702504367218,0.22984936082245944,0.03668513508959747,0.0851833048,0.0657142758,0.066857456,10118572156.0,4856352802,0.0827586207,3.5714370961,0.041218192,0.1163530643,0.0,1.286982575354589,58000000000,4000000.0,12.5145956191,0.7848334243,0.3373298465,6.6046993151,1576.89710625,18475.2579985,5.6456415972,year,HAD
HAD,2023,5,0.2612747676,0.23986834881776425,1.854836089225,1.7710856668,8.9636354072,0.07513288304494949,54.4605173601,4.5356090735,59.07125931664495,6.7021030591,0.013502362171488227,0.21023561033746221,0.03605920560255512,0.0797798945,0.0303108783,0.0638639422,7672968206.0,2248868439,0.075,3.6183368617,0.1615283417,0.2364209588,0.0,1.261274767560452,64000000000,4000000.0,15.217101891,0.8626099143,0.3842604414,29.239561413,1501.4485685,18548.36089225,7.9328874691,year,HAD
HAD,2022,5,0.2375013562,0.2535882233409877,1.909141232375,1.6446601499,7.1779205466,0.0,68.365359664,2.1518957028,0.0,5.3389611609,0.06717575221811535,0.2790571229489101,0.0694715951784828,0.1419756819,0.1333465013,0.1142571641,16155235166.0,10183092155,0.0666666667,3.8406541319,0.0870306875,0.1510187476,0.0,1.2375013562306936,72000000000,4000000.0,9.7665307421,0.94283229,0.4749691043,5.2941867603,2632.77906275,19091.41232375,4.3590531775,year,HAD
HAD,2021,5,0.2480040221,0.31773273160238347,1.799633435675,1.3850752323,4.866380618,0.12237702727292563,71.6999514935,3.2839626491,75.10629116987293,5.090658953,0.01406485021722393,0.22878802831395356,0.02489468430000414,0.042293551,0.0247289619,0.0344810106,9528611985.0,1780122663,0.0675675676,3.5089335291,0.181986899,0.2029452907,0.0,1.24800402209831,59200000000,4000000.0,49.3333333333,0.8223896993,0.4677425608,184.3740610101,787.70109575,17996.33435675,5.8718994006,year,HAD
HAD,2020,5,0.206544866,0.3784380972953759,1.9252895261,1.5444224236,4.7156603557,0.9794818935951872,63.3846419132,2.858926748,67.2230505547952,5.7584927355,0.05457315045216131,0.2604129246316162,0.055042229205797454,0.1086964544,0.1065704532,0.085008453,16496587445.0,8207159096,0.0578034682,3.7820624963,0.3370817397,0.3642828593,0.0,1.2065448660366034,69200000000,4000000.0,15.9056509297,0.8985661515,0.4601424156,3.4551533557,2069.425754,19252.895261,3.8697858693,year,HAD
HAD,2019,5,0.352406424,0.4600227840395718,1.8824257597,1.2875077725,4.6633463587,10.764865882920574,76.2700733601,5.3824821774,92.41742142042057,4.7856253956,0.06229306129944192,0.2499126360762156,0.0624673232280863,0.1318272694,0.1313501514,0.0804271642,18685350327.0,9890276345,0.0297619048,2.3681278564,0.2973558924,0.3970650093,0.0,1.3524064239753721,67200000000,4000000.0,12.0759239843,0.8924654751,0.4232534636,4.8195533524,2479.48598275,18824.257597,3.1741237712,year,HAD
HAD,2018,5,0.9262491096,0.4450399783106018,1.87929363745,0.9672704862,4.545634488,15.905870142063575,84.6579916433,15.0446358175,115.60849760286357,4.3114653787,0.049493860181615945,0.24043612794129313,0.06580832358353421,0.1389619484,0.1033579514,0.0636544491,16766581591.0,7769597618,1.306547619,1.4798366368,0.3551953643,0.4936728483,-2793.9931495075916,1.9262491095920142,67200000000,4000000.0,9.9732858415,0.8939529015,0.4280771756,16.8063487369,2582.66476025,18792.9363745,2.532927858,year,HAD
HAD,2017,5,1.4456856325,0.4844748794911532,1.837788326425,0.9213797861,4.0912114218,13.705406590127065,76.9646496515,11.3576264612,102.02768270282706,4.7424369714,0.07819029758494984,0.24405155557612562,0.08096119926390212,0.1153424072,0.173372102,0.0745960125,23354631128.0,12744849008,0.119047619,1.2684868319,0.0884336766,0.15924428,0.0,2.445685632451658,67200000000,4000000.0,7.6000445994,0.9141422741,0.4122754216,3.3233658781,3299.12499375,18377.88326425,2.4749587771,year,HAD
HAD,2016,5,0.1204989466,0.2837358987208811,3.882787605275,1.0840855049,4.9099572001,17.61542614624427,61.4399224482,6.7854020589,85.84075065334427,5.940762707,0.09288826454558531,0.2321907879858109,0.09085474513795694,0.1113938306,0.1126363974,0.0984943123,29585859684.0,17493728305,0.1488095238,6.2949661397,0.7352918483,1.1538014692,0.0,1.1204989465917137,67200000000,4000000.0,4.6204173123,0.4326788305,0.3568188135,2.4209774336,4277.688453,38827.87605275,1.8062380904,year,HAD
HAD,2015,5,0.14167041,0.21491986672795535,3.797509284975,1.1614204471,5.4358072911,14.521155456009192,65.1320305288,10.4648624043,90.11804838910919,5.6040015494,0.125055948543573,0.2528635131047996,0.10808112109094374,0.1420014393,0.16248116,0.125527624,37025890621.0,24680948552,0.1488095238,5.9423671723,2.409827409,3.156048288,0.0,1.1416704100444461,67200000000,4000000.0,3.811427732,0.4423952317,0.340495817,3.5675705766,5332.70232275,37975.09284975,0.4143323771,year,HAD
HAD,2014,5,0.1205660157,0.2690902000895766,3.7132629277,1.2250152675,5.1998701713,10.25330421163529,68.6256218228,8.2970338567,87.17595989113529,5.3187131906,0.1291804140619575,0.22735874175241977,0.11707033314519912,0.1623085456,0.1714110518,0.1434129455,38810513948.0,25459772163,0.1488095238,6.7364326851,4.6668392599,5.1086035155,0.0,1.120566015716345,67200000000,4000000.0,2.9124909075,0.4524322766,0.3409662808,2.5043976296,5768.25835125,37132.629277,-0.4218575888,year,HAD
