Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
NBW,2025,5,0.8132984249,1.1201850378560043,1.6778631205504586,2.7850652272,4.7518561906,5.240582005653302,15.3778317636,52.5045059589,73.1229197281533,23.7354658063,0.04543433586743089,0.32626358661592963,0.03482157999203678,0.1742077393,0.2272975491,0.0969803716,78644111582.0,41569785072,0.0,0.7430200433,0.3347358913,0.417123627,1.8132984248648851,348800000000.0,10900000.0,10.947990414,1.9071877561,0.381226324,6.428187301,2922.910853027523,16778.6312055046,3.8033303538,year,NBW
NBW,2024,5,0.7793400563,0.9854599035250374,1.6777981888990825,2.8763911663,5.5521422024,5.124507305074201,15.8241436463,53.0563219141,74.0049728654742,23.0660191262,0.041169993835686716,0.317921538049416,0.03344985460598752,0.1683106578,0.2039710461,0.0962148663,73020893955.0,37302225438,0.0589968652,0.8868121238,0.1766468827,0.2587608725,1.779340056285593,347710000000.0,10900000.0,17.9012612818,1.9013013729,0.3837631237,4.9142665897,2780.4921732110092,16777.9818889908,4.4177860625,year,NBW
NBW,2023,5,0.722467787,0.8245641537761256,1.6262019383394495,2.9440479018,6.1913228543,5.143648223332123,16.6378741321,51.0585718193,72.84009417473212,21.9378988626,0.03359525082559113,0.3193267506160437,0.03023218410128632,0.1460396606,0.1589541437,0.083886775,58526275423.0,29861555448,0.0509868421,1.1168680574,0.2654770385,0.3643667261,1.7183488976945367,331360000000.0,10900000.0,18.4168516869,1.8858268304,0.372791107,8.2672317295,2465.344208348624,16120.2500200917,5.0873766577,year,NBW
NBW,2022,5,0.6558011883,0.8237284074575664,1.5700898233486238,2.978140276,6.0767903744,7.888187154634375,15.9180595541,42.365151841,66.17139854973438,22.9299305458,0.029128584111254442,0.3136375179894036,0.024320719957582337,0.115031992,0.1366683955,0.0724305156,56377700649.0,24859206704,0.0586956522,1.3052940449,0.4883968901,0.6023519898,1.7598528794438137,250700000000.0,10900000.0,16.598664228,1.3782727323,0.2937557953,2.8863944348,1904.223058440367,16687.5535307339,3.4164098445,year,NBW
NBW,2021,5,0.5296374101,0.828507859194861,1.5492548816788991,2.8128897636,5.0619490336,10.083900808487982,6.8988227787,46.8988378695,63.88156145668798,52.9075773805,0.02754469963416245,0.2687664770799092,0.024427623009371065,0.108792416,0.122110919,0.0687122107,54556675661.0,20620722171,0.0666666667,1.1770159721,0.6345498525,0.9296451771,1.5296374101250245,196200000000.0,10900000.0,14.1316161413,1.1618488483,0.2620795733,9.305466305,1677.7240919266055,15492.548816789,2.5607012221,year,NBW
NBW,2020,5,0.6374714173,0.9316319252487424,1.5350117495412845,2.8841646971,4.7076798909,7.558818754988236,9.0217514343,47.880706727,64.46127691628824,40.4577761489,0.025218375202911203,0.30250436204042325,0.021806351340418723,0.0985795264,0.1129414991,0.0628931087,51215994765.0,18896951574,0.047008547,0.9742208261,0.5874731587,0.75219236,1.637471417292866,255060000000.0,10900000.0,21.3258892231,1.5244182989,0.3403828789,3.352514887,1499.1019025688074,15350.1174954128,3.7637903538,year,NBW
NBW,2019,5,0.4960252797,0.9894674620933538,1.5063944260275228,2.7004893795,4.2632557085,9.358674896087603,10.5963660117,48.1184908831,68.07353179088761,34.4457712764,0.025251804146021243,0.33367107254411904,0.020405674195236513,0.0830025905,0.1022706803,0.0551053064,48512832928.0,16792538119,0.038961039,0.7955244929,0.2966768862,0.4796717778,1.49602527974591,251790000000.0,10900000.0,25.5066963865,1.5334629232,0.3786295866,5.4125665473,1244.9398847706423,15063.9442602752,4.6960264274,year,NBW
NBW,2018,5,0.5165720332,0.9184479325003287,1.493367091678899,2.5451711816,4.324329935,7.917877938934559,10.8146141278,53.4436415145,72.17613358123455,33.7506262993,0.021447967801235864,0.2950380137148437,0.01795468426119948,0.0709729389,0.0845640336,0.045697745,42379052441.0,13765080792,0.0346320346,0.7390116568,0.2369039681,0.4650946854,1.5165720332429002,251790000000.0,10900000.0,29.7815079369,1.5468400321,0.3923248904,15.4100946318,1057.1677112844036,14933.670916789,5.4765399432,year,NBW
NBW,2017,5,0.5898062959,0.9097401374669799,1.4857055735688074,2.4423848299,4.2730155518,4.924522269151558,12.4412193114,54.0650356077,71.43077718825155,29.3379604414,0.018141486554423658,0.29590352171718914,0.01898925927900198,0.0708431294,0.0675864644,0.0463790788,34790821803.0,10945080963,0.0346320346,0.7797686341,0.3754143019,0.4676150443,1.5898062959446966,251790000000.0,10900000.0,29.7745277467,1.5548168097,0.4173422668,6.6486829186,1051.0603028440366,14857.0557356881,6.2137429811,year,NBW
NBW,2016,5,0.4649809204,0.8363227033176922,1.4815837354311927,2.3017331577,4.3127191491,4.582093412334841,11.1838290682,51.5048105858,67.27073306633484,32.6364072426,0.014997160791660476,0.2997684733121806,0.019902505232274832,0.0675802285,0.0519130595,0.0458102562,27942139310.0,8383576356,0.0303030303,1.1762169026,0.2058935568,0.3550038096,1.4649809203591264,251790000000.0,10900000.0,30.5257705769,1.5591423858,0.4504205551,-147.5874734892,1020.708015412844,14815.8373543119,8.4581808277,year,NBW
NBW,2015,5,0.4850771059,0.7401835552641329,1.539145961412844,2.1143662642,4.3509494519,3.7306334282983866,13.9172622519,53.6923694692,71.34026514939839,26.22642251,0.051571877410360324,0.32215090474830727,0.0487918936934762,0.1512528205,0.1584065519,0.103163934,43132020035.0,26575377701,0.0432900433,1.4889925543,0.7146859256,0.8393728095,1.4850771059139487,251790000000.0,10900000.0,13.5059958727,1.5008323173,0.4886208264,5.5760463882,2306.681753027523,15391.4596141284,4.4900540857,year,NBW
NBW,2014,5,0.4468505538,0.684256550788669,1.5109548503302752,2.0882077555,4.6714515546,3.2671539561486775,20.7948730481,48.8075919798,72.86961898404869,17.5524033812,0.05935232410901123,0.36691855509086263,0.05466918760861142,0.1641457335,0.1745800895,0.1141606216,43280264728.0,28752306990,0.0562770563,1.6432565398,1.2687585107,1.3850141433,1.4468505537974505,251790000000.0,10900000.0,9.5073808296,1.5288345641,0.5197607862,5.8292720148,2429.6912487155964,15109.5485033028,4.8187728946,year,NBW
NBW,2013,5,0.4284654621,0.5994612433333439,1.4494525832018348,2.0282311377,4.7289297297,4.7214241883912385,21.4681032393,43.757586368,69.94711379569124,17.0019677999,0.05429319897268001,0.34192983432170543,0.05397901344072075,0.1574674904,0.1558245183,0.1094819158,41042325584.0,24618767309,0.0562770563,1.8704498079,1.2861302835,1.5372530452,1.4284654620870638,251790000000.0,10900000.0,10.2870929201,1.5937051179,0.555287127,8.8975823463,2245.5323558715595,14494.5258320183,5.2357431676,year,NBW
NBW,2025,4,0.8132984249,1.1201850378560043,1.6778631205504586,2.7850652272,4.7518561906,5.240582005653302,15.3778317636,52.5045059589,73.1229197281533,23.7354658063,0.04461728081486459,0.3230565707910655,0.03330919728620263,0.1742077393,0.2272975491,0.0969803716,78644111582.0,10405741355,0.0,0.7430200433,0.3347358913,0.5528238078,1.8132984248648851,348800000000.0,10900000.0,10.947990414,1.9071877561,0.381226324,6.428187301,712.7013754128441,16778.6312055046,3.8917253623,quarter,NBW
NBW,2025,3,0.7771036557,1.0326057092848762,1.6065929830091743,2.8725280743,5.034299856,8.110784051061982,18.334458788,45.1091140216,71.55435686066198,19.9078687961,0.023289616881931034,0.30004397323340604,0.013861813196847567,0.1706686045,0.2306678571,0.0970668502,77889159283.0,5217001567,0.0,0.862446802,0.3147404964,0.6072694021,1.7771036557359452,338990000000.0,10900000.0,10.9624721704,1.9357734242,0.370437683,7.3638457016,284.8735756880734,16065.9298300917,3.8034982835,quarter,NBW
NBW,2025,2,0.8711032934,1.067623225143371,1.578105625440367,2.880996862,5.1885989059,7.980090680075442,17.0446922294,46.075009469,71.09979237847544,21.4142910349,0.047395443034425964,0.34451484766426,0.038803643080595945,0.1982463411,0.2627053072,0.113351709,82667156248.0,11156589489,0.0,0.8507510941,0.3633266758,0.6380546309,1.8711032933807887,417470000000.0,10900000.0,11.6322646996,2.4269604887,0.4576669625,7.6791151831,837.9939233944954,15781.0562544037,4.3928770483,quarter,NBW
NBW,2025,1,0.6218328849,0.9366843558035997,1.7865323867522935,2.8960293696,5.4529236307,8.079909615269383,16.124593868,46.3456964837,70.55019996696939,22.6362290417,0.06652756818986974,0.33672168810380165,0.05331050983749746,0.195787126,0.2234955254,0.1121210153,80187405260.0,14790452661,0.0,1.0108866799,0.2999835857,0.7336823497,1.6218328848520405,370600000000.0,10900000.0,10.537218635,1.9031281074,0.4079529248,8.2621703612,1087.34197853211,17865.3238675229,4.1698848738,quarter,NBW
NBW,2024,4,0.7793400563,0.9854599035250374,1.6777981888990825,2.8763911663,5.5521422024,5.124507305074201,15.8241436463,53.0563219141,74.0049728654742,23.0660191262,0.039548915982860006,0.3282213735135121,0.02927108545899232,0.1683106578,0.2039710461,0.0962148663,73020893955.0,9230196592,0.0,0.8868121238,0.1766468827,0.7200925251,1.779340056285593,356430000000.0,10900000.0,11.7605078392,1.948982912,0.3933872773,5.0375083851,626.7418520183486,16777.9818889908,4.6137639035,quarter,NBW
