Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Payable Outstanding,Cash Cycle,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,P/B,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
IVS,2016,5,0.0,0.0115391099,0.016180560018138734,0.3263679712528393,0.0797263433,2.963796164,7.528592368112846,14.6136503612,22.142242729312844,-0.1183953800794504,0.5306906185198371,0.00423627942025361,0.0003816098,-0.0079518451,0.0003377431,1809890223.0,-2722999315.0,0.0,74.7532492353,35.3601499278,40.6440585003,0.0,1.0115391099395834,1.1418186575,391000000000,34000000,4013.0944706661,17.0005895176,-4.683051655,2.8656190588235293,10071.6518551176,162.4948903931,year,IVS
IVS,2015,5,0.0,0.370821275,0.059331454474790185,0.16030330992811742,0.1304019658,2.547502657,11.291422983318167,26.3617113544,37.65313433771817,0.18021465159255276,0.6161762287994612,0.18439108897168804,0.0315316349,0.0403721388,0.0228564223,11442203038.0,5275294934.0,0.0260869565,2.8833486007,1.4198240774,2.8391381094,0.0,1.0307652645852596,1.1008018133,185150000000,16100000,34.3092853442,6.013617275,19.8155696257,335.2514786335404,10446.930465528,10.5118986876,year,IVS
IVS,2014,5,0.0,0.3879878652,0.08151960123564582,0.1659263630990536,0.1528932957,2.2841615883,15.239451637136987,33.9276962463,49.16714788343699,0.32789796650600933,0.6658494099349395,0.2560696244683862,0.0541556453,0.067518229,0.0391513288,16588595724.0,11754618176.0,0.0608695652,2.7734800516,1.3417930913,2.7434260337,0.0,1.3879878651746098,1.0634969088,185150000000,16100000,20.1695332706,5.1648048103,50.7619178812,570.1668871428571,10813.3835693789,7.1304588579,year,IVS
IVS,2013,5,0.0,0.3782258193,0.10427431358545126,0.1571774162651481,0.1219124751,1.3581389216,27.971690761036964,36.0651926746,64.03688343563697,0.0,0.5929838888425402,0.043382073732328254,0.0070179265,0.0092977813,0.005288816,6539279286.0,0.0,0.0,2.7926081488,1.4832123466,2.7686870025,0.0,1.3782258192594399,1.1226942041,185150000000,16100000,160.5365489911,6.9644084051,-9.022194016,71.63477770186336,10243.216682236,19.3015723643,year,IVS
IVS,2025,4,0.3037522916,0.3109863343,0.006873920491064973,1.1196803271533418,0.0874052793,14.1980862664,0.0,-7.0418329704,0.0,-0.04034059233553281,0.7477247286028099,-0.1422440536112258,0.0134167892,-0.0354523229,0.0106694181,-51637710536.0,-1252158823.0,0.0,4.1465345413,0.1181833713,4.1465345413,0.440145369182195,1.3109863342749408,0.7412830072,870863688800,104923336,63.7004417991,8.1386809484,-1.370370054,-42.080333873486445,11196.8032715334,-20.2202488062,quarter,IVS
IVS,2025,3,0.1474871769,0.1520621512,0.007232518803555177,1.1238883605406904,0.0764297571,11.4038695181,0.0,14.0262645478,0.0,0.272094251353695,0.772481323599365,0.14037630627153255,0.0176484506,0.0232046658,0.0153699464,34061718908.0,8330731172.0,0.0,7.4380155838,0.1922992406,7.4380155838,-2.8403281487801735,1.1520621511796063,0.7652005575,902340689600,104923336,41.3520028629,9.5589180523,-1.5336490411,40.96240754297023,11238.8836054069,31.5780996996,quarter,IVS
IVS,2025,2,0.1964316888,0.2028074249,0.007144183237983156,1.1246821197907775,0.0744225321,10.229370266,0.0,14.9308451532,0.0,0.48880369047325695,0.7735992240777324,0.3365654879289335,0.0197244954,0.0208533788,0.0173452709,32083858825.0,13139747153.0,0.0,5.8272708024,0.1432486554,5.8272708024,-7.189798705980517,1.202807424911453,0.8624659208,1017756359200,104923336,41.5801999921,12.3529410043,-1.3845437426,86.2283393467398,11246.8211979078,38.9323328754,quarter,IVS
IVS,2025,1,0.0657553918,0.0710224916,0.007817350115387693,1.1160592858561036,0.0773397823,9.2379402441,0.0,14.1430005781,0.0,0.36916106052049885,0.7408586108047971,0.2237549226284604,0.0173562541,0.0182514271,0.0157741713,25333734687.0,6816530240.0,0.0,14.7687970688,1.5827353487,14.7687970688,-3.7146504513192813,1.0710224915553055,0.851209261,996771692000,104923336,46.2028674631,13.4626957341,-1.7876437217,39.377486291514785,11160.592858561,38.5243213737,quarter,IVS
IVS,2024,4,0.1661241361,0.1761325563,0.00906088912488086,0.7360229640744552,0.0893079628,9.0336193332,0.0,10.139558934,0.0,0.16882509778206717,0.6956758772322259,0.0817172433212094,0.0224150864,0.0263780384,0.0204519042,26309670286.0,3112179862.0,0.0,6.5045223969,0.2630420936,6.5045223969,-2.624754253979573,1.1761325562877647,0.8989905703,1049233360000,104923336,43.7571378693,14.0362820042,-4.5861708876,14.35718496407701,11123.5871992576,41.6888773767,quarter,IVS
IVS,2024,3,0.0895617146,0.0981281288,0.009905771762052262,0.7345872455780476,0.0939796061,8.7896462512,0.0,9.8936423592,0.0,0.3424921400232473,0.6999034434330423,0.24271866232482375,0.0237367519,0.0284755152,0.0225473487,26459750338.0,6373469028.0,0.0,10.8766621282,0.7307512782,10.8766621282,-9.162259970533391,1.0981281287530593,0.9093379043,1400870000000,138700000,39.3976022617,18.5486186698,-11.4326051059,32.565067253064164,11106.9822919322,54.7419094992,quarter,IVS
IVS,2024,2,0.0,0.0,0.010796213335908411,0.730282412163296,0.0,0.0,0.0,0.0,0.0,0.3494502954287718,0.6952610521735488,0.26691560753053606,0.0,0.0,0.0,0.0,6475723016.0,0.0,0.0,0.0,0.0,-24.739602033644065,1.0707804000496626,0.9050728424,693500000000,69350000,32.0375594136,8.7553317069,-7.9888588913,71.32312386445565,11048.8344493583,24.3990230613,quarter,IVS
IVS,2024,1,0.019046608,0.0270718898,0.01170381403471152,0.7255682476803825,0.1108128745,9.4362974066,0.0,13.2675793961,0.0,0.40639313309987823,0.7571422751683016,0.3206437444217148,0.0331658319,0.0489416868,0.0319795784,40380105728.0,7793392897.0,0.0,36.6957348237,3.2697589141,36.6957348237,-100.30000579659247,1.0270718897622113,1.0567058103,804460000000,69350000,32.1943667253,9.2909987195,20.9350162472,88.66587749098774,10977.5113254939,19.4501221264,quarter,IVS
IVS,2023,4,0.0,0.0140310713,0.012649638776924618,0.7197077986721657,0.1021273932,8.0935457171,0.0,14.4137471374,0.0,0.17028610956762577,0.7123192754357844,0.13055505163810233,0.0364247179,0.0457155924,0.0342618141,36857949467.0,3270681262.0,0.0,67.0019773915,3.8514430724,67.0019773915,-35.389638090050966,1.0140310712954492,1.2122497342,915420000000,69350000,33.8870891567,11.3684792307,21.5378426713,36.15815105984139,10888.8454480029,25.2163487985,quarter,IVS
IVS,2023,3,0.0189999423,0.0302474894,0.011996054743670383,0.717317893936388,0.0955061989,7.8988842894,0.0,12.0398448893,0.0,0.46275247321686475,0.7600730824299775,0.3608034699257419,0.0338355377,0.03866683,0.0316074908,31940947603.0,10316488562.0,0.0,31.7400442906,1.4989298049,31.7400442906,-37.316313798234965,1.0302474894455445,0.9306450765,700435000000,69350000,27.9361094515,9.2453718511,-25.7861677565,115.98648644556597,10852.687296943,22.3674613114,quarter,IVS
IVS,2023,2,0.0671510314,0.0776514867,0.012371904754313384,0.7096516650385573,0.0873442936,6.8268906263,0.0,9.5755463561,0.0,0.6402832682354418,0.8846992800766232,0.3198879522767419,0.0280926157,0.0244215067,0.0262586899,21695501894.0,16587928538.0,0.0,12.9596557187,1.6506323264,12.9596557187,-40.399376242439,1.0776514867159988,0.9220709581,686565000000,69350000,33.2347760587,9.9915133787,43.6542786148,119.50096741167988,10736.7008066042,31.1103738929,quarter,IVS
IVS,2023,1,0.057041749,0.0648287025,0.013281031854679121,0.7017531436934106,0.0795302382,5.7624965232,0.0,10.4894299325,0.0,0.33149295969928916,0.8247193190441706,0.6234754585036159,0.0259112426,0.0094543243,0.0245961002,9648160306.0,4346639302.0,0.0,15.2975123509,0.7149130271,15.2975123509,-7.060456230126728,1.0648287024881553,0.9418679267,693500000000,69350000,36.6237645863,11.3265319527,-45.1027101506,117.88327456380678,10617.1998391925,76.2012490162,quarter,IVS
IVS,2022,4,0.1001198136,0.1140478698,0.014161638234736014,0.6962661197095372,0.0875860744,6.7350151589,0.0,17.7191218745,0.0,-0.11048064075519883,0.46004424012094763,0.03921036822114287,0.0239677294,0.0107518762,0.0208598054,10868855818.0,-1596155054.0,0.0,9.492097738,1.2372373827,9.492097738,2.244995720449582,1.1103604774861768,0.5524169087,402230000000,69350000,23.324570671,5.5550612237,33.1450198655,8.168519466474406,10499.3165646287,33.8217191624,quarter,IVS
IVS,2022,3,0.0178087277,0.0263778435,0.014965746951727144,0.6957262142446557,0.1130678318,7.6712758854,0.0,15.9316054731,0.0,0.0043728582005718745,0.5498766343121531,0.2379955351067228,0.0352085792,0.025390507,0.0330672762,19368876068.0,66677159.0,0.0,36.7436702935,4.2304983056,36.7436702935,-0.44096132394768756,1.0263778435356665,0.5890168205,429970000000,69350000,16.9107398451,4.9456339357,0.0591206233,52.32798800288392,10526.0151897909,20.4112715526,quarter,IVS
IVS,2022,2,0.0,0.0119622688,0.015766087596089662,0.6922675499414163,0.1228361584,8.1208318915,0.0,18.3213889293,0.0,0.24653081292547957,0.5720807671310398,0.35640911083112164,0.0449620053,0.0396048334,0.0423508941,29777677957.0,4541165783.0,0.0,75.1229508386,5.3162728778,75.1229508386,-136.59521742286148,1.0119622688270105,0.5919596299,429970000000,69350000,13.3524940442,4.6036123878,0.0591123179,94.66697088680606,10473.687201788,14.0243004333,quarter,IVS
IVS,2022,1,0.0272998167,0.0407781151,0.016393526386254208,0.6860104533971356,0.1270370222,8.1950194393,0.0,18.3998461344,0.0,0.3540660984433021,0.6317624906186948,0.36647743457371906,0.0528929819,0.0459161573,0.0498080366,36013952482.0,8600861770.0,0.0,22.7076513049,1.1581723884,22.7076513049,-19.57015661562484,1.0407781151360889,0.72261156,520125000000,69350000,13.878534453,5.4414259745,-4.724199569,128.36847909156452,10379.0202309012,14.9835019403,quarter,IVS
IVS,2021,4,0.1614213662,0.1821212773,0.015658176129997467,0.6790511583190607,0.1104426358,7.0540124805,0.0,19.6208396625,0.0,0.19517017175213475,0.5927295791967394,0.21841036914239748,0.0526805063,0.0358361148,0.0479944347,31706619129.0,5655912676.0,0.0,5.6829720379,0.26191667,5.6829720379,-5.450986643381728,1.1821212773464227,0.9733563818,693500000000,69350000,18.9632732271,8.2407629254,-5.0064674073,91.2674756741168,10273.7293216294,21.6547395064,quarter,IVS
IVS,2021,3,0.0,0.0124996434,0.016422266878266138,0.6730187543951138,0.0931139283,5.3704191532,0.0,15.3147377195,0.0,0.4592536752624588,0.6973280994119261,0.4793175861994716,0.05149325,0.0347557547,0.0509554103,30925129663.0,9969038717.0,0.0,69.12169988,4.6148513241,69.12169988,-47.82234153546547,1.0124996434420692,1.2472425816,880745000000,69350000,24.6525532199,13.4907954993,-14.0387114118,150.02980346070657,10182.4618459553,28.2567474216,quarter,IVS
IVS,2021,2,0.0007114791,0.0109273701,0.017395759829090276,0.6631024028315302,0.0719191271,3.9755245755,0.0,13.2858472388,0.0,0.47195080588103716,0.6970450572256581,0.5745499950605066,0.0414872345,0.0194536729,0.0411139727,15541485304.0,9726203012.0,0.0,82.6097583021,4.4630441218,82.6097583021,-30.841552125189253,1.0109273701437727,1.1761853905,818330000000,69350000,28.659476943,16.3837493659,-13.9550936139,170.7371225955299,10032.4320424946,52.6800227456,quarter,IVS
IVS,2021,1,0.0,0.009790398180484772,0.017870613399327776,0.6518173828317849,0.05265418440103531,3.480963945388794,0.0,11.82439136505127,0.0,0.33459293624137865,0.700459371321675,0.6217638809705169,0.035682324320077896,0.006164109334349632,0.03538836911320686,5927499264.0,4302984324.0,0.0,87.3922348022461,17.14033317565918,87.3922348022461,0.0,1.009790398276961,0.8416403131,575605000000,69350000,23.5671464605,15.839252126,-31.6626826452,115.30072023071376,9861.6949198991,83.4533246467,quarter,IVS
IVS,2020,4,0.0,0.0085833138,0.01842721408227191,0.6570626936051671,0.0442534873,3.5777034847,0.0,8.3599929668,0.0,0.05387830634035422,0.6298285315763179,0.5425648205443109,0.0139884244,-0.0007665679,0.0138754241,908319888.0,544679706.0,0.0,73.4137318313,7.9274699601,73.4137318313,0.0,1.008946261153816,0.9644592459,651890000000,69350000,69.4291829417,21.7691173025,-6.3297970192,79.09197578947368,9746.3941996683,640.746768023,quarter,IVS
IVS,2020,3,0.0,0.0066199335,0.019338718138565362,0.6518350400343733,0.0347883929,3.8448694174,0.0,1.4437725765,0.0,-0.16159957117927284,0.5728963889158928,0.5073616547501092,-0.0589966777,-0.0896990936,-0.058585222,-64490116798.0,-1029360616.0,0.0,88.0297576145,22.9081673809,88.0297576145,0.0,1.0066199334618484,0.9835770951,672695000000,69350000,-16.7993822369,28.3712602732,-1.8951129604,46.601352314347515,9861.9620651911,-9.3472932365,quarter,IVS
IVS,2020,2,0.0,0.0078624795,0.0052989101102078,0.6487548827441019,0.0372377884,5.6461236703,0.0,1.3760782974,0.0,0.05676265606398013,0.5719131879155935,1.1014618094004605,-0.0750342074,-0.0923806128,-0.0744562925,-61881648777.0,397383589.0,0.0,69.2538281669,20.8977859266,69.2538281669,0.0,1.0078624795040352,0.6112867551,416100000000,69350000,-8.1189137352,18.7259971844,-1.0861244161,111.19114361932228,9815.3607128767,-5.4634375071,quarter,IVS
IVS,2020,1,0.0,0.0059478602,0.00564304337281759,0.6414056064973,0.0434440604,5.3372849774,0.0,1.2424036285,0.0,-0.1620207645285108,0.5048186758410387,1.265353569251245,-0.0989968764,-0.0939594717,-0.0981473574,-62200108807.0,-827291596.0,0.0,112.7800529239,37.4443398881,112.7800529239,0.0,1.0059478602188983,0.6801200198,457710000000,69350000,-6.7098787937,20.5387913866,-0.9497191292,93.16512360490266,9704.1695692574,-5.5909347393,quarter,IVS
IVS,2019,4,0.0,0.0076983389,0.006027531671785672,0.6382060156531812,0.0495882729,5.8458766832,0.0,1.6804645882,0.0,-11.442751479925807,-8.172419184719798,-10.954570326797358,-0.1152214277,-0.0644918413,-0.1141042854,-41919779392.0,-59888369550.0,0.0,86.9000803555,27.6953953979,86.9000803555,0.0,1.007662655204793,0.7491412621,499320000000,69350000,-8.5862578448,19.7572683617,-1.3428527555,-826.7246867916366,9611.0044456525,-10.9516509255,quarter,IVS
IVS,2019,3,0.0,0.011292163,0.01246093087529431,0.32898343911310635,0.07443608,5.6980737069,0.0,9.5354867501,0.0,-0.5255855118719408,0.31199744548994707,-0.2598725060258871,0.007985858,-0.0079718217,0.0078811702,-2606702203.0,-2564768197.0,0.0,77.2524575797,25.2660140316,77.2524575797,0.0,1.0112921629848546,1.9890034358,686565000000,69350000,162.846267815,26.4001579314,-31.2218263154,-18.28599529920692,4977.366967628,-247.9515266581,quarter,IVS
IVS,2019,2,0.0,0.013207415,0.013180428162692751,0.33019206802479095,0.0769474884,5.7037151539,0.0,15.9593516711,0.0,0.006679393234437855,0.5696232011659113,0.25399985720037865,0.011769075,-0.0035727313,0.0116110648,-1005641900.0,47193219.0,0.0,66.1399678572,16.4965285653,66.1399678572,0.0,1.0132074150052104,1.2071057031,418200000000,34000000,103.2639787801,15.5821166971,-18.8190518482,52.78337358823529,10189.6627346765,-400.4364983927,quarter,IVS
IVS,2019,1,0.0,0.0141645426,0.013864075070346807,0.328481643280004,0.0785185729,5.6082742373,0.0,19.6592348245,0.0,0.05978792569517747,0.6653202038558012,0.24978274907289363,0.0068700006,-0.0136040589,0.0067780712,-4358470399.0,420638805.0,0.0,61.6117004352,28.0991260908,61.6117004352,0.0,1.0141645426307537,1.0358217382,357000000000,34000000,151.4601181772,13.0747086935,12.400982857,51.68676758823529,10136.8793610882,-64.433010819,quarter,IVS
IVS,2018,4,0.0,0.0144785387,0.013444707450345629,0.3268067536272388,0.0715725706,4.7084445486,0.0,23.0057408121,0.0,-0.09320379652846203,0.5710913442268089,0.06684905429237953,0.001878527,-0.020876766,0.001852101,-6727615716.0,-654780414.0,0.0,60.3438412433,29.327683773,60.3438412433,0.0,1.0144785387294373,0.9816371783,336600000000,34000000,523.0476730481,13.5350332176,12.5686145598,13.812695176470589,10085.1925935,-38.7105003268,quarter,IVS
IVS,2018,3,0.0,0.0125837759,0.014213098097353678,0.32635915859842657,0.0720453932,4.6270916027,0.0,29.1155212889,0.0,-0.1839606539093314,0.6385335221959554,0.004936537495236413,0.0006131279,-0.0251248404,0.0006048769,-7517025285.0,-1050819135.0,0.0,69.2247451869,26.263588021,69.2247451869,0.0,1.0125837758769145,1.1815659939,404600000000,34000000,1926.810415899,16.1770655229,-103.5135907729,0.8293666176470588,10071.3798983235,-46.8970840653,quarter,IVS
IVS,2018,2,0.0,0.0,0.015242841834504353,0.32633228329491926,0.0,0.0,0.0,0.0,0.0,-0.45192313197019507,0.47135276905318374,0.013526358979353795,0.0,0.0,0.0,0.0,-3403731180.0,0.0,0.0,0.0,0.0,0.0,1.0130189918321613,1.3008226272,445400000000,34000000,2016.8784926435,18.7991020083,-8.1958071241,2.996350911764706,10070.5505317059,-49.2872645279,quarter,IVS
