Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
TNV,2025,5,0.2732286004,0.4064489166,0.2372578173002109,1.0565552949957806,0.6765441679,3.7108492835,23.685595562862392,183.517431837,37.6022703812,244.8052977810624,1.988911878,0.03970146005834805,0.18377141419190882,0.15208995606352763,0.1429103905,0.0273457192,0.1028955728,14388474182.0,8718390394,1.5259945902,0.2218375087,0.332626494,-2.241539077248427,1.4064489166398169,426600000000.0,23700000.0,12.7729285639,1.7036495946,1.9426341441,-558.465636583,1409.2304603375528,10565.5529499578,32.834588677,year,TNV
TNV,2024,5,0.3035516707,0.3686235706,0.27162878092040316,0.9156322489620253,0.6152271267,3.0998716116,40.950821795696385,179.9714628923,17.5775016845,238.49978637249637,2.0280993116,0.04287515746614114,0.17732331657812025,0.023595711919571757,0.019867928,0.0276947194,0.014516722,12656741447.0,7834199843,1.3826956279,0.1683813761,0.3519662504,-2.289971178212065,1.3686235706063274,462292200000.0,23700000.0,107.2246316429,2.1303312571,2.5300415189,318.0381483268,181.91715561181434,9156.3224896203,40.6656829122,year,TNV
TNV,2015,5,0.0,0.0,0.1905545366268823,1.1863910834472573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022152850230002115,0.07160937854050431,0.008942104792033247,0.0,0.0,0.0,0.0,-435326010,0.0,0.0,0.0,0.4120546301665147,1.8159160968922827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,year,TNV
TNV,2014,5,0.0,0.0,0.3302153612736878,1.2447104629578059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00471936586894973,0.07000453985547316,0.004251142660720565,0.0,0.0,0.0,0.0,-1712201722,0.0,0.0,0.0,0.16188538064388666,1.6646453183813172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,year,TNV
TNV,2013,5,0.0,0.0,0.48280502807874925,0.6349426644556962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01759098367113838,0.1024635777999107,0.015720826591069468,0.0,0.0,0.0,0.0,4603480156,0.0,0.0,0.0,-0.43463216768800705,2.16500168379242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,year,TNV
TNV,2025,4,0.2732286004,0.4064489166,0.2372578173002109,1.0565552949957806,0.6765441679,3.7108492835,23.685595562862392,183.517431837,37.6022703812,244.8052977810624,1.988911878,0.010845499862869826,0.20406770063731627,0.5355898751775665,0.1429103905,0.0273457192,0.1028955728,14388474182.0,603721102,1.5259945902,0.2218375087,0.4832844723,-0.6397787068286137,1.4064489166398169,426600000000.0,23700000.0,12.7729285639,1.7036495946,1.9426341441,-558.465636583,1257.9714807172995,10565.5529499578,33.4008993351,quarter,TNV
TNV,2025,3,0.2558675414,0.3688795226,0.2647801179076715,0.9307581469240507,0.7129449853,3.6657346474,34.40813510731401,173.8335755588,24.8891824029,233.13089306901398,2.0997094424,0.06586135020000213,0.16862160489616196,0.04243618388887705,0.0137909057,0.0293833512,0.0099659242,13704998854.0,4878042583,1.4238929385,0.030155228,0.3230573553,-5.051463178279673,1.368879522587593,443047800000.0,23700000.0,147.3948480639,2.0084701984,2.0603635826,25.7188589622,132.61814046413502,9307.5814692405,36.2667507698,quarter,TNV
TNV,2025,2,0.0,0.0,0.2666249038771978,0.9174963328776371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044607590712281306,0.1774079047219238,0.013267553363340253,0.0,0.0,0.0,0.0,2751198287,0.0,0.0,0.0,-2.6355391181593277,1.409237654209495,241194900000.0,23700000.0,55.9430470742,1.1114724292,1.3200160227,165.9322380561,34.526743797468356,9156.3224896203,23.8537030817,quarter,TNV
TNV,2025,1,0.0,0.0,0.2737996006980417,0.9140436584978903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017218501922341534,0.19741856486333395,-0.013354586943909482,0.0,0.0,0.0,0.0,485428422,0.0,0.0,0.0,-0.5184694542695483,1.3884905823481015,350760000000.0,23700000.0,81.3557135402,1.6163694558,1.9196459797,241.3085509708,-15.88590464135021,9156.3224896203,32.6414872043,quarter,TNV
