Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
PMG,2025,5,0.5346561577,1.2002864922,0.5813862364446262,1.4913633348280584,1.0673762249,4.1694322444,66.2587485033347,10.8321138106,117.3254300621,194.4162923760347,33.6961009072,0.01331223487286341,0.16098714857879345,0.011755323385461995,0.0486492183,0.0220623289,0.0125473527,68632058304.0,23397370327,0.7268747491,0.1189353495,0.4468043932,-1.0943080201677216,2.2002864921756973,375323851800.0,46336278.0,18.1658408971,0.8627674784,0.2135453343,-25.9178633248,445.8918277380846,9388.3928202218,9.5073126008,year,PMG
PMG,2024,5,0.6827180823,1.6506528065,0.6598540324850715,1.443387258011962,1.1404658965,4.4353456216,58.92700071503923,7.7072133089,100.3148404802,166.9490545041392,47.3582325247,0.016665911235068134,0.14629027763373909,0.01224261609905853,0.061664788,0.0299825652,0.0139622861,79024745509.0,33743036436,0.7793556242,0.1446537721,0.4440579252,-1.3955287363483957,2.650652806509485,319256955420.0,46336278.0,12.8798569626,0.7704779687,0.1576831442,2.2044579013,534.9438289583811,8942.5009924837,7.9237080354,year,PMG
PMG,2023,5,0.8361984838,1.7894856368,0.7400479952441763,1.3754429468784697,1.0857605348,3.7604257238,52.073954081541736,15.07649368,75.9446973956,143.09514515714176,24.2098731805,-0.0011893925880744009,0.1367200918034879,0.0013073221981317398,0.0063376285,-0.0018621957,0.0014194388,42726689694.0,-2179258064,0.7107813178,0.0725487063,0.3756629423,0.059497521269076085,2.7894856368078957,380420842380.0,46336278.0,158.8174554352,0.9765024299,0.2076255849,2.3299254107,51.69456957677956,8407.5571635253,19.5848584706,year,PMG
PMG,2022,5,0.9831752150999999,1.4936259383,0.7850369144555411,1.3823345693626925,1.2143636635,3.913703043,36.381392062540534,15.5946526924,50.5427604908,102.51880524574054,23.4054587299,-0.009342607189735553,0.11055412611422948,0.004118586544861297,0.0229885451,-0.0154013708,0.0050014618,29667645896.0,-18886210079,0.667289213,0.098513805,0.2990582547,0.5324047399343838,2.493625938317796,384591107400.0,46336278.0,46.1928028594,1.049838206,0.1902490563,34.677667918,179.68167087136348,7905.9801336007,29.9815654901,year,PMG
PMG,2021,5,1.1867007018,1.6491213104,0.8109111199373882,1.4110870509754798,0.9729491756,2.8889690881,42.184042600401085,11.1729568818,53.0804618424,106.43746132460109,32.6681650939,-0.09098421106696485,0.15085986206744467,-0.03936750970276682,-0.0854660169,-0.1028714645,-0.0383025861,-95695049740.0,-142555551442,0.6755525853,0.0828531198,0.2407192976,5.509437794861693,2.649121310420549,518966313600.0,46336278.0,-8.4136244792,1.4495945315,0.3312234433,-106.057742042,-1331.1742195823324,7726.2984627294,-12.2607248082,year,PMG
PMG,2020,5,0.5671410490000001,0.8853723557,0.7022499990004579,1.7040089101222158,0.8243510652,2.1383979426,63.60266178696711,10.3452239396,50.760945581,124.70883130756711,35.2819815337,0.052460623568706274,0.1987469681053316,0.0037863550205601807,0.006856273,0.0529202273,0.0031212858,111414141553.0,64254380250,0.6259225091,0.1462034693,0.4917309235,-1.4989919770431162,1.885372355690716,783083098200.0,46336278.0,176.4665853225,1.7507118662,0.6393498385,23.7815010499,100.08511145413966,9653.2161152434,10.0851756759,year,PMG
PMG,2019,5,1.3215478959,1.6329496657,1.049430604235923,1.215510538673391,0.9702962594,3.1421886426,54.50153947622669,7.1586259366,41.146086047,102.80625145982668,50.9874385437,0.08130123227500588,0.1822406716321457,0.04372415982026684,0.1144750837,0.0910843994,0.0424253887,143196130223.0,110508118839,0.5736964732,0.0649555323,0.4902795028,-2.4465232025728274,2.632949665675885,657135866400.0,42124094.0,11.0943176173,1.3942066544,0.4834572905,-13.0582913291,1410.8731145885297,11189.1590469815,8.8000265489,year,PMG
PMG,2018,5,1.4487759435,1.7757003703,0.5769029554896382,1.0253581639638816,0.9328918742,5.0276994433,44.07539816238627,8.6702791078,68.7469030114,121.49258028158627,42.0978373895,0.0752947082426405,0.16911190505310653,0.06437968405967279,0.159147733,0.0864233496,0.0600592841,114838555026.0,91207182290,0.4859298029,0.0578080759,0.3929591689,-2.726414403214495,2.7757003702977516,592017613200.0,37949847.0,7.6109070271,1.3968327515,0.488731176,60.9822668337,2054.9601102739625,11168.1230148833,9.8893777181,year,PMG
PMG,2017,5,0.8882079306,1.5314185907,0.4114883785825319,1.089697583189569,0.7798895327,7.3912235369,35.20451336876836,12.4812052559,112.8898651367,160.57558376136836,29.2439706356,0.06163142482570878,0.17347813883211072,0.055518788281191084,0.103790221,0.0606461759,0.0432985219,72088032029.0,54218617767,0.5201717267,0.0624741796,0.4037199853,-2.134616334512222,2.5314185907394293,514800000000.0,33000000.0,10.583623243,1.252175631,0.5851838134,18.9039279474,1480.0359774242424,12458.3162406364,12.0860797222,year,PMG
