Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu định giá,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Days Sales Outstanding,Cash Cycle,EBIT Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,Fixed Asset Turnover,Days Inventory Outstanding,Days Payable Outstanding,Inventory Turnover,P/S,
PGI,2025,5,0.4640008029,3.7186695499,0.331646248404675,1.761279776206519,0.4125950421,60.15239057122361,60.15239057122361,-0.21231747826142075,0.0779192875622526,0.1272080053,-0.2339858297,0.0278378783,-644286760317.0,-669080263415,0.0,1.0703316752,0.6241880465,0.722090505,4.71866954989737,2162487522000,110896796,8.806760083,1.1071494866,29.4228031625,2214.208155580978,17612.7977620652,-4.6039778647,year,,,,,,PGI
PGI,2024,5,0.3224711686,3.4169519686,0.323078744953775,1.7199604980255696,0.430699088,56.500726093594146,56.500726093594146,-0.2244197145944058,0.07947515895386136,0.1231390786,-0.2599823613,0.0292613543,-612547162596.0,-655794195158,0.06,1.1001161768,0.6626684671,0.7624108242,4.41695196863106,2217935920000,110896796,12.6793676146,1.1628174032,11.2245494413,2094.203922997018,17199.6049802557,-4.3800182147,year,,,,,,PGI
PGI,2023,5,0.1919982241,2.9947610576,0.33659598879998354,1.6814031411890384,0.454046493,50.01570886121358,50.01570886121358,-0.20562770503691108,0.08308495328955481,0.1292412976,-0.25508932,0.0322414235,-519164483311.0,-566968247980,0.0526315789,1.1225042361,0.6849703833,0.7938847336,3.9947610575894887,2528446948800,110896796,13.8962394406,1.3560103131,27.4013390796,2065.7629808078495,16814.0314118904,-5.2833514553,year,,,,,,PGI
PGI,2022,5,0.0,3.0238459602,0.34489071072300787,1.5153505587997331,0.4678160973,59.70336176058273,59.70336176058273,-0.18109080146444428,0.07615625911925457,0.1178149832,-0.2882741027,0.0310357122,-445830192745.0,-484437485547,0.0506329114,1.1066012435,0.6368177523,0.7283919994,4.023845960152643,2628254065200,110896796,15.7132465586,1.5639945399,9.1358741397,1837.079515299973,15153.5055879973,-5.650043335,year,,,,,,PGI
PGI,2021,5,0.0,2.580857967,0.2692972285966577,1.6032332844909243,0.4868283264,59.387369395069236,59.387369395069236,-0.1644606689841595,0.13256506045593108,0.2161298183,-0.2456448967,0.0564311349,-403843501560.0,-436740498410,0.0298507463,1.1317196972,0.6343750552,0.7383094338,3.5808579670148624,2377636316400,88717773,6.7539048594,1.3373026531,71.1382697949,3968.07484822686,20040.3401120765,-5.6381416731,year,,,,,,PGI
PGI,2020,5,0.0,3.1292957708,0.3394351699276742,1.33432705113861,0.4887322042,66.99862223038362,66.99862223038362,-0.166066822894658,0.06958604099225232,0.1162993735,-0.2829834701,0.0293583964,-368737295511.0,-418737983459,0.0411663808,1.1187554353,0.6348744172,0.7301873181,4.129295770829648,2586123082950,88717773,18.2814742826,1.7477040844,18.9909360596,1977.74810563606,16679.0249330763,-6.7157902064,year,,,,,,PGI
PGI,2019,5,0.0,2.7997670843,0.3014719681278623,1.3865895502418302,0.4650510749,78.02008715530954,78.02008715530954,-0.16447560477752637,0.07205415782046559,0.1073119521,-0.2413875986,0.029013616,-346358578788.0,-371177699644,0.0481481481,1.1713348955,0.6727218161,0.805941174,3.7997670842822915,2395379871000,88717773,17.8177225,1.5577848434,31.0933227664,1832.8579128220454,17332.3036962278,-6.5959470383,year,,,,,,PGI
PGI,2018,5,0.0,2.594549122,0.2963546105266353,1.3461757342556588,0.4647553873,84.82008758877095,84.82008758877095,-0.17282646687972947,0.06626421638576932,0.0956522545,-0.2473877494,0.0272686749,-319015554182.0,-369316700004,0.0444444444,1.1832243246,0.7080880446,0.8355838285,3.594549121998559,2395379871000,88717773,18.3873357897,1.6045514196,15.0238105506,1596.0890921146092,16827.1329107754,-6.9531952048,year,,,,,,PGI
PGI,2017,5,0.0,2.4195154241,0.2810612601411676,1.3236538887624851,0.5014942336,77.9327403399293,77.9327403399293,-0.16391067280303592,0.061398506343921716,0.1069286556,-0.2316271603,0.0273523828,-306885593316.0,-340003135044,0.0444444444,1.2221483228,0.0757109923,0.238796949,3.419515424116287,2395379871000,88717773,18.8079257266,1.63185271,-61.9189363345,1435.56500554855,16545.6109089551,-7.3420826701,year,,,,,,PGI
